Times	Accuary	p_micro	p_macro	p_weigh	r_micro	r_macro	r_weigh	F1_micro	F1_macro	F1_weigh	roc_micro	roc_macro	pr_micro	pr_macro
0	0.910303928836175	0.910303928836175	0.8644239706401327	0.911762102312813	0.910303928836175	0.8411278479002937	0.910303928836175	0.910303928836175	0.851695156112157	0.9101400202689203	0.9882235292027352	0.9460152377889446	0.9679677193095441	0.9067971850456711
1	0.9080800593031876	0.9080800593031876	0.939122362561865	0.9121466559283906	0.9080800593031876	0.765092879256966	0.9080800593031876	0.9080800593031876	0.8272940389493247	0.9075593156292108	0.9900831647709466	0.9673322222120075	0.9727822127965247	0.8248485216932354
2	0.905114899925871	0.905114899925871	0.9227081060192763	0.907725646525664	0.905114899925871	0.7635845836310233	0.905114899925871	0.905114899925871	0.8200686515220138	0.9045876430711988	0.988718729868449	0.9451071805796161	0.9696598612446767	0.8248115369601139
3	0.9221645663454411	0.9221645663454411	0.9104645715649538	0.9244855382940539	0.9221645663454411	0.7850381043105501	0.9221645663454411	0.9221645663454412	0.8262598917915696	0.921784171287124	0.988389572999099	0.9122416539643856	0.969567328634388	0.8201678278771094
4	0.905114899925871	0.905114899925871	0.938999218073999	0.9081603256289266	0.905114899925871	0.9133920774787647	0.905114899925871	0.905114899925871	0.9246393447752999	0.904891844254745	0.9852876770591951	0.9636234081773102	0.9593189868211646	0.9446123747239845
Times	Accuary	p_micro	p_macro	p_weigh	r_micro	r_macro	r_weigh	F1_micro	F1_macro	F1_weigh	roc_micro	roc_macro	pr_micro	pr_macro
0	0.8952270081490105	0.8952270081490105	0.8101000323792172	0.9060125475894037	0.8952270081490105	0.7808249730676002	0.8952270081490105	0.8952270081490105	0.7916920199799006	0.894532628387837	0.9864561870786452	0.9376473886631316	0.961860027382856	0.8353843477291623
1	0.9006596818005432	0.9006596818005432	0.8289197618821442	0.9092038479146767	0.9006596818005432	0.7682298680312416	0.9006596818005432	0.9006596818005432	0.7923831414018789	0.9001080013792804	0.9885458294564913	0.9254658167091309	0.9681954613146161	0.8386770210662009
2	0.8948389600310438	0.8948389600310438	0.9155803225781723	0.905209200991556	0.8948389600310438	0.7550203676272557	0.8948389600310438	0.8948389600310438	0.810169078132471	0.8939321439269858	0.9877893589887801	0.9472087750425319	0.9657796263661854	0.8284319856720426
3	0.8855258051998448	0.8855258051998448	0.9151936602432145	0.8957511544963372	0.8855258051998448	0.745152168058174	0.8855258051998448	0.8855258051998448	0.8041523477242034	0.8845542223041855	0.9841182360680762	0.9091418723431808	0.9564071085657556	0.8084808791027918
4	0.8913465269693442	0.8913465269693442	0.9181979488823606	0.900052181053495	0.8913465269693442	0.7532403043361164	0.8913465269693442	0.8913465269693442	0.8105419791786337	0.8903716894165297	0.9870215949204296	0.9188642306297523	0.9640987259028371	0.8214299823709872
