Times	Accuary	p_micro	p_macro	p_weigh	r_micro	r_macro	r_weigh	F1_micro	F1_macro	F1_weigh	roc_micro	roc_macro	pr_micro	pr_macro
0	0.6612305411415864	0.6612305411415864	0.44523225753375484	0.6954483270076828	0.6612305411415864	0.6633077319996824	0.6612305411415864	0.6612305411415864	0.48515596321536847	0.6750990470327333	0.8822010391978757	0.7821169310816812	0.6593928965708067	0.5163067132761889
1	0.6375092661230541	0.6375092661230541	0.40532410167348676	0.7340821570726843	0.6375092661230541	0.5763376200682703	0.6375092661230541	0.6375092661230541	0.3979578584589454	0.6766932159771836	0.8750456780713934	0.7917259017130808	0.6766839548777527	0.4811135626260427
2	0.6249073387694588	0.6249073387694588	0.3958805699147747	0.7089031592986803	0.6249073387694588	0.6082698261490831	0.6249073387694588	0.6249073387694588	0.3979422909056033	0.6586593046759164	0.8674855107783762	0.7789289136294675	0.6181806108722517	0.39471487232869723
3	0.647887323943662	0.647887323943662	0.40762842119880827	0.7257802713847783	0.647887323943662	0.6327399380804953	0.647887323943662	0.647887323943662	0.41073227703666615	0.6742446873300822	0.8793640989683305	0.7677526363281939	0.6629546752980682	0.4471530175357692
4	0.6404744255003706	0.6404744255003706	0.4059204772659446	0.7244269398292708	0.6404744255003706	0.6034075573549258	0.6404744255003706	0.6404744255003706	0.4048836232393913	0.6714484392797936	0.8758862461701398	0.7518254772826314	0.6458583451589717	0.39509219664504214
Times	Accuary	p_micro	p_macro	p_weigh	r_micro	r_macro	r_weigh	F1_micro	F1_macro	F1_weigh	roc_micro	roc_macro	pr_micro	pr_macro
0	0.5681024447031432	0.5681024447031432	0.384277484114414	0.7110632578386646	0.5681024447031432	0.578242829248586	0.5681024447031432	0.5681024447031432	0.34963885938692485	0.6068991376145036	0.8374181784907906	0.7892863244003383	0.5867463977621497	0.3677224740991839
1	0.5898331393092744	0.5898331393092744	0.38522348476706225	0.7113838597858244	0.5898331393092744	0.5790760503635874	0.5898331393092744	0.5898331393092744	0.3604483142805667	0.6258961687113382	0.8347234249906903	0.7899016319617613	0.5691313840953127	0.3660102723676901
2	0.5727590221187427	0.5727590221187427	0.38479468841982095	0.710413922961517	0.5727590221187427	0.5857376110961487	0.5727590221187427	0.5727590221187427	0.3532315191790538	0.6110757918753057	0.8388740992914294	0.7899572864337234	0.5948293990853541	0.36303802000015634
3	0.5312378734963136	0.5312378734963136	0.38880099368073723	0.7163828207908469	0.5312378734963136	0.6688913950983033	0.5312378734963136	0.5312378734963136	0.34226604089409407	0.5840556443816661	0.8244067459035725	0.7654797315144634	0.5791261999222488	0.3616240228487223
4	0.5638339154055103	0.5638339154055103	0.3847263991290314	0.7161464469300249	0.5638339154055103	0.5658244680851063	0.5638339154055103	0.5638339154055103	0.34908705105344073	0.6130133213780082	0.8375327206981633	0.7399001962785007	0.5810892936529115	0.3533072408355572
