Times	Accuary	p_micro	p_macro	p_weigh	r_micro	r_macro	r_weigh	F1_micro	F1_macro	F1_weigh	roc_micro	roc_macro	pr_micro	pr_macro
0	0.6627131208302446	0.6627131208302446	0.41504602345354835	0.7444555943419962	0.6627131208302446	0.7134039850758117	0.6627131208302446	0.6627131208302446	0.41793677164499665	0.6962985063903329	0.8819026549239908	0.8177077314944899	0.6647052113404313	0.44414614524031626
1	0.6300963676797627	0.6300963676797627	0.405586286299757	0.7279757706254942	0.6300963676797627	0.6346898070969278	0.6300963676797627	0.6300963676797627	0.39761802122113343	0.6643841584408006	0.8639241323639233	0.806667572497183	0.6356192986235354	0.4051020285798576
2	0.6212008895478132	0.6212008895478132	0.4084768397680121	0.7384186990617995	0.6212008895478132	0.5424803524648726	0.6212008895478132	0.6212008895478132	0.39136899805299996	0.6670338854644379	0.8529844746760772	0.7470914459448325	0.6112303073440237	0.3906944092963286
3	0.6686434395848777	0.6686434395848777	0.45177914095305904	0.7104070834647297	0.6686434395848777	0.6798592918948956	0.6686434395848777	0.6686434395848777	0.48917060555578107	0.6845566503660248	0.8898483955113773	0.8403026505763435	0.6615913984065612	0.5808497625737062
4	0.6404744255003706	0.6404744255003706	0.4009607347730365	0.7168887914968154	0.6404744255003706	0.6161883781852823	0.6404744255003706	0.6404744255003706	0.40425373334053805	0.6686487803365323	0.873792610657246	0.7821429014803374	0.6429755180399316	0.42215108827268083
Times	Accuary	p_micro	p_macro	p_weigh	r_micro	r_macro	r_weigh	F1_micro	F1_macro	F1_weigh	roc_micro	roc_macro	pr_micro	pr_macro
0	0.6080714008537058	0.6080714008537058	0.39735442744857613	0.7105205062982393	0.6080714008537058	0.7080527875033664	0.6080714008537058	0.6080714008537058	0.3881676296317069	0.6359928530921025	0.8523479169857109	0.8098788146368296	0.6214083227949243	0.4147450795885374
1	0.5502522312766783	0.5502522312766783	0.3872843992558878	0.7098044621078831	0.5502522312766783	0.5793874562348506	0.5502522312766783	0.5502522312766783	0.35409425297443187	0.6025811160499553	0.8260251439720757	0.6965145435246192	0.589063001569311	0.379759655841841
2	0.5448195576251456	0.5448195576251456	0.3748934338792751	0.7051166204318308	0.5448195576251456	0.4620589819552922	0.5448195576251456	0.5448195576251456	0.33079152282127516	0.5928940162896494	0.8334416766087999	0.7490163109113155	0.6013479558822825	0.34777016053143217
3	0.5836243694218083	0.5836243694218083	0.38572644908747045	0.7118173821792666	0.5836243694218083	0.66486415970913	0.5836243694218083	0.5836243694218083	0.36022288822414084	0.623342319627113	0.8607151700211422	0.7860117545318552	0.6470122202489375	0.41552682141334185
4	0.5529685681024447	0.5529685681024447	0.3857817224721587	0.7074916060041576	0.5529685681024447	0.6697246162133046	0.5529685681024447	0.5529685681024447	0.35162122483914315	0.5975100322761302	0.8316034799749653	0.7807414572442174	0.5898478306736398	0.36520203874950374
