Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.424+0.013,0.424+0.013,0.242+0.004,0.424+0.013,0.225+0.008,0.775+0.013,0.494+0.014
0.488+0.003,0.488+0.003,0.234+0.011,0.488+0.003,0.249+0.001,0.815+0.005,0.409+0.026
0.847+0.026,0.847+0.026,0.525+0.016,0.847+0.026,0.602+0.053,0.973+0.006,0.956+0.005
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.424+0.013,0.424+0.013,0.242+0.004,0.424+0.013,0.225+0.008,0.775+0.013,0.494+0.014
0.488+0.003,0.488+0.003,0.234+0.011,0.488+0.003,0.249+0.001,0.815+0.005,0.409+0.026
0.847+0.026,0.847+0.026,0.525+0.016,0.847+0.026,0.602+0.053,0.973+0.006,0.956+0.005
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.424+0.013,0.424+0.013,0.242+0.004,0.424+0.013,0.225+0.008,0.775+0.013,0.494+0.014
0.488+0.003,0.488+0.003,0.234+0.011,0.488+0.003,0.249+0.001,0.815+0.005,0.409+0.026
0.847+0.026,0.847+0.026,0.525+0.016,0.847+0.026,0.602+0.053,0.973+0.006,0.956+0.005
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.424+0.013,0.424+0.013,0.242+0.004,0.424+0.013,0.225+0.008,0.775+0.013,0.494+0.014
0.488+0.003,0.488+0.003,0.234+0.011,0.488+0.003,0.249+0.001,0.815+0.005,0.409+0.026
0.847+0.026,0.847+0.026,0.525+0.016,0.847+0.026,0.602+0.053,0.973+0.006,0.956+0.005
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.424+0.013,0.424+0.013,0.242+0.004,0.424+0.013,0.225+0.008,0.775+0.013,0.494+0.014
0.488+0.003,0.488+0.003,0.234+0.011,0.488+0.003,0.249+0.001,0.815+0.005,0.409+0.026
0.847+0.026,0.847+0.026,0.525+0.016,0.847+0.026,0.602+0.053,0.973+0.006,0.956+0.005
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.424+0.013,0.424+0.013,0.242+0.004,0.424+0.013,0.225+0.008,0.775+0.013,0.494+0.014
0.488+0.003,0.488+0.003,0.234+0.011,0.488+0.003,0.249+0.001,0.815+0.005,0.409+0.026
0.847+0.026,0.847+0.026,0.525+0.016,0.847+0.026,0.602+0.053,0.973+0.006,0.956+0.005
