G0	TEAD4
G1	CELF3
G2	SMARCD1
G3	RNF19A
G4	HEXIM1
G5	MSC
G6	FOXJ3
G7	ZFP275
G8	HMGA2
G9	MEIS3
G10	ZMYND11
G11	GRIN1
G12	LHX2
G13	ING3
G14	DNAJC2
G15	HDAC7
G16	MYBL2
G17	EYA1
G18	ANKS1
G19	MTA3
G20	RUVBL2
G21	ZFP91
G22	POLR1E
G23	CREB3
G24	XRCC5
G25	MDM2
G26	TCF12
G27	JARID2
G28	MAPK8
G29	BARD1
G30	CEBPZ
G31	HMGXB3
G32	BTBD11
G33	ZEB2
G34	ZFP423
G35	HIST1H2BB
G36	PMS1
G37	DIDO1
G38	ZDHHC15
G39	RHOX6
G40	TIMELESS
G41	MCM5
G42	NFATC3
G43	PCBP2
G44	TRIB3
G45	ZFP281
G46	ARID3B
G47	KLF15
G48	HES1
G49	XRCC6
G50	ING1
G51	RUNX3
G52	NDN
G53	TSHZ3
G54	POU4F2
G55	RARG
G56	ZFP398
G57	PREB
G58	SAP30
G59	SMURF2
G60	HSPB1
G61	YEATS2
G62	PLAG1
G63	RFXAP
G64	SMARCAD1
G65	STAT4
G66	FXR1
G67	HDGF
G68	FUS
G69	PITX1
G70	MAPK13
G71	PSIP1
G72	SALL4
G73	TSG101
G74	ASH2L
G75	YBX1
G76	PHF1
G77	TAF1A
G78	ZFP768
G79	TULP3
G80	TADA3
G81	TCF7
G82	SRF
G83	REST
G84	TOX4
G85	NR1D2
G86	CTBP1
G87	PHF14
G88	PEG3
G89	ELF3
G90	GLI2
G91	ILK
G92	NAA15
G93	RAD51
G94	TRP53BP1
G95	TRIP6
G96	PHF2
G97	ETV4
G98	BTF3
G99	NFIB
G100	SMARCA4
G101	WWTR1
G102	ID2
G103	KLF2
G104	NFE2L1
G105	ZFPM1
G106	RYBP
G107	EWSR1
G108	CNOT6
G109	ATF6
G110	ILF3
G111	SMARCA2
G112	KLF10
G113	MIS18BP1
G114	RAD54B
G115	TRIM28
G116	POU6F1
G117	NFYA
G118	HNF1B
G119	SOX7
G120	ZBTB43
G121	ECD
G122	MAFK
G123	RBPJ
G124	ZIC3
G125	DAXX
G126	SMURF1
G127	ZBTB38
G128	ARNTL
G129	ELK4
G130	RBL1
G131	TMF1
G132	THRAP3
G133	DDX54
G134	BMI1
G135	TFCP2L1
G136	NSD1
G137	ZFP219
G138	MLLT1
G139	SRSF1
G140	TAF6
G141	HCFC1
G142	MAZ
G143	HIST1H1B
G144	STAT5A
G145	DAZAP2
G146	SOX17
G147	TAX1BP3
G148	RBBP4
G149	GTF2A1L
G150	ELL2
G151	CTCF
G152	TCERG1
G153	SUZ12
G154	MPHOSPH8
G155	GNRH1
G156	ATF1
G157	BRPF1
G158	NR2F2
G159	SRSF6
G160	MED31
G161	CSF1
G162	NFE2L2
G163	POU2F1
G164	TCF20
G165	CREB5
G166	KDM5B
G167	RNF14
G168	MBD2
G169	GBX2
G170	APEX1
G171	TGFB1I1
G172	BCL3
G173	TOP2B
G174	TAF10
G175	FIZ1
G176	PAWR
G177	CNOT2
G178	TFAP2C
G179	E2F4
G180	ANKRD54
G181	NFKB2
G182	HDAC3
G183	MCM4
G184	PCBD1
G185	NANOG
G186	TAF5
G187	SIN3B
G188	FOXA2
G189	MEF2C
G190	AES
G191	YEATS4
G192	SFPQ
G193	NFYB
G194	GTF2I
G195	DEK
G196	NR5A2
G197	PROX1
G198	SUB1
G199	NFATC1
G200	BTG2
G201	MED4
G202	SMARCC1
G203	FOXP1
G204	PIAS1
G205	SPEN
G206	SSBP4
G207	EBF1
G208	SRSF3
G209	FOXD3
G210	RERE
G211	VEZF1
G212	MED21
G213	PAX1
G214	ZBTB24
G215	NONO
G216	ZEB1
G217	RNF2
G218	HOXD13
G219	NFX1
G220	NFIL3
G221	YAF2
G222	MEN1
G223	TBPL1
G224	NFKBIA
G225	ZBTB32
G226	ELAVL2
G227	PHF12
G228	PRRX2
G229	NFATC4
G230	SMARCA5
G231	TCEA3
G232	NOTCH2
G233	DDB2
G234	KLF6
G235	HNRNPAB
G236	SNAPC3
G237	PDCD11
G238	ZFP277
G239	GTF2H4
G240	BACH2
G241	CTNNBIP1
G242	HDAC10
G243	KLF13
G244	ZFP446
G245	JDP2
G246	TCF7L2
G247	TEAD1
G248	MITF
G249	TRRAP
G250	MATR3
G251	ZFP42
G252	H1F0
G253	EP300
G254	ZFP592
G255	SATB2
G256	PHF20
G257	PIAS3
G258	TRIP11
G259	SMAD2
G260	ATF2
G261	ESRRB
G262	COPS2
G263	ID4
G264	ZFP335
G265	RNF6
G266	IRF3
G267	HDAC4
G268	PAPOLA
G269	GATA6
G270	PAX6
G271	ELF4
G272	ELF1
G273	EMX2
G274	POU5F1
G275	RFX2
G276	IRF6
G277	SP1
G278	ZSCAN10
G279	TFEB
G280	SMARCB1
G281	LDB1
G282	NCOA6
G283	BMP4
G284	POLR1A
G285	SOX2
G286	HDAC1
G287	CNOT7
G288	HMGA1
G289	PRDM5
G290	ARNT2
G291	PAX8
G292	HNRNPK
G293	ELK1
G294	ASH1L
G295	CIC
G296	SATB1
G297	MLXIPL
G298	SMAD7
G299	HDAC5
G300	EHMT2
G301	EZH2
G302	USF1
G303	NFATC2IP
G304	TLE1
G305	EGR1
G306	NME2
G307	ZFP296
G308	FOXH1
G309	MYCN
G310	SRRT
G311	TBL1X
G312	KEAP1
G313	MAPK11
G314	MAPK3
G315	RLIM
G316	AKT1
G317	MEIS1
G318	PIAS2
G319	FOXQ1
G320	FOXO3
G321	PBXIP1
G322	CITED1
G323	RELA
G324	ZFP36L1
G325	ZBTB10
G326	NFIC
G327	CNOT8
G328	ASXL1
G329	HSF2BP
G330	CRAMP1L
G331	MCM2
G332	ZBTB7A
G333	HIVEP2
G334	PRDM1
G335	E2F2
G336	TAF1
G337	TCEA1
G338	JUN
G339	HTT
G340	KLF8
G341	RAI14
G342	KLF9
G343	ZFP462
G344	RBM14
G345	NUPR1
G346	NFIA
G347	HOPX
G348	MCM3
G349	BAZ1A
G350	KPNA2
G351	CHD7
G352	CITED2
G353	KNTC1
G354	SNAI1
G355	SIX5
G356	TCF4
G357	SIX1
G358	SREBF1
G359	TRPS1
G360	MEF2D
G361	TRP53
G362	ABTB1
G363	KLF4
G364	RUNX1
G365	BRD7
G366	JUND
G367	NR1H2
G368	RUVBL1
G369	ELL3
G370	TRIM13
G371	MKX
G372	ATM
G373	DAB2
G374	ILF2
G375	ESRRA
G376	ERCC3
G377	CRY1
G378	PHC1
G379	POLR3B
G380	GATA4
G381	CBX6
G382	DDX58
G383	NPAS2
G384	CREBZF
G385	POLR2A
G386	CENPB
G387	MLXIP
G388	EED
G389	ERF
G390	MAML3
G391	EOMES
G392	CUX1
G393	PARP1
G394	TCOF1
G395	CHD5
G396	BCLAF1
G397	HMGB2
G398	CBX7
G399	CNOT3
G400	HSBP1
G401	ZBTB3
G402	DNMT1
G403	IRF1
G404	POLR1B
G405	EP400
G406	CDC5L
G407	TWIST1
G408	POLR2B
G409	SALL1
G410	KAT2B
G411	MYC
G412	NOTCH1
G413	PITX2
G414	POLR2H
G415	TEAD3
G416	ZMYM2
G417	SMAD4
G418	E2F1
G419	GABPA
G420	SOX15
G421	NFXL1
G422	GATAD2B
G423	TRIM24
G424	NCOR1
G425	CALCOCO1
G426	BRCA1
G427	DDX20
G428	GRHL1
G429	NR0B1
G430	PURA
G431	MEF2A
G432	MXD4
G433	SIRT1
G434	SSB
G435	ABT1
G436	OVOL1
G437	BRCA2
G438	ZFP148
G439	GTF2H3
G440	NR4A1
G441	L3MBTL2
G442	TGFB1
G443	POLR2J
G444	HDAC11
G445	ZSWIM4
G446	XBP1
G447	TGIF1
G448	ZBTB39
G449	SKIL
G450	SCMH1
G451	IRF2
G452	NACC1
G453	RCOR2
G454	ARID5B
G455	ATF7
G456	OTX2
G457	HMGXB4
G458	FOXJ2
G459	DDIT3
G460	TBX3
G461	ELP2
G462	ETS1
G463	PKNOX2
G464	TTF2
G465	POLR3F
G466	E2F6
G467	ATF3
G468	COIL
G469	SOS2
G470	GLI1
G471	ZFP236
G472	HIF1A
G473	CCND1
G474	MYBBP1A
G475	MYD88
G476	DNMT3A
G477	HIF3A
G478	RBMXL2
G479	UBTF
G480	ANKRD6
G481	RBFOX2
G482	ZFP276
G483	HEY2
G484	FHL2
G485	SOX4
G486	CNOT6L
G487	DR1
G488	CRABP2
G489	MCM7
G490	TOPORS
G491	FUBP3
G492	GATA3
G493	AATF
G494	ATF5
G495	RFX5
G496	PHB2
G497	AIP
G498	XAB2
G499	ORC2
G500	NR2F6
G501	HDAC2
G502	ZFHX3
G503	PML
G504	ESPL1
G505	FOSL2
G506	TFE3
G507	RAPGEF3
G508	NR2C1
G509	HNF4A
G510	NR1D1
G511	PER1
G512	DDX5
G513	PA2G4
G514	CBX4
G515	NRF1
G516	AGAP3
G517	BTAF1
G518	ZHX3
G519	TRIM25
G520	BTG1
G521	GTF3C1
G522	CTNNBL1
G523	EBF4
G524	ETV1
G525	BRWD1
G526	ARID1A
G527	UBP1
G528	IRF4
G529	PBX4
G530	PLAGL2
G531	GLIS2
G532	UTF1
G533	NCOA3
G534	EPAS1
G535	BMP6
G536	POLR2K
G537	DDB1
G538	MSX2
G539	SND1
G540	RFX7
G541	POU4F1
G542	TAF9
G543	AIRE
G544	KHDRBS1
G545	PLRG1
G546	ZFAND3
G547	TAF6L
G548	POLR1C
G549	POLR2I
G550	RBMX
G551	CTNNB1
G552	GZF1
G553	WBP11
G554	ETV5
G555	MAML1
G556	STAT5B
G557	SMARCC2
G558	MED12
G559	TOX3
G560	KRBA1
G561	PELP1
G562	FOXO1
G563	FXR2
G564	HNRNPD
G565	MTF2
G566	CHD4
G567	APBB1
G568	NR3C1
G569	SIRT3
G570	HSF2
G571	HIST1H1D
G572	EZH1
G573	DTX1
G574	DMRT1
G575	SERTAD2
G576	CUX2
G577	LMO4
G578	SP8
G579	TRIM32
G580	BARX1
G581	DCP1A
G582	ELF2
G583	ZDHHC16
G584	PRDM14
G585	CREB3L2
G586	ETV3
G587	PATZ1
G588	MCM6
G589	KANK2
G590	HES6
G591	NKRF
G592	TFAP4
G593	SIN3A
G594	INTS12
G595	NRIP1
G596	TNFAIP3
G597	POLR3D
G598	KLF3
G599	ETV6
G600	JMJD1C
G601	ATF4
G602	ANKRD49
G603	RARA
G604	SIRT2
G605	MED15
G606	RB1
G607	TBX18
G608	NOTCH4
G609	CBX8
G610	POLR2E
G611	ERCC8
G612	ID3
G613	IKBKB
G614	SMAD3
G615	RBBP7
G616	GTF3C5
G617	ZBTB20
G618	ARL6IP5
G619	BIN1
