#ID,Gene,index
0,TEAD4,0
1,CELF3,1
2,SMARCD1,2
3,RNF19A,3
4,HEXIM1,4
5,MSC,5
6,FOXJ3,6
7,ZFP275,7
8,HMGA2,8
9,MEIS3,9
10,ZMYND11,10
11,GRIN1,11
12,LHX2,12
13,ING3,13
14,DNAJC2,14
15,HDAC7,15
16,MYBL2,16
17,EYA1,17
18,ANKS1,18
19,MTA3,19
20,RUVBL2,20
21,ZFP91,21
22,POLR1E,22
23,CREB3,23
24,XRCC5,24
25,MDM2,25
26,TCF12,26
27,JARID2,27
28,MAPK8,28
29,BARD1,29
30,CEBPZ,30
31,HMGXB3,31
32,BTBD11,32
33,ZEB2,33
34,ZFP423,34
35,HIST1H2BB,35
36,PMS1,36
37,DIDO1,37
38,ZDHHC15,38
39,RHOX6,39
40,TIMELESS,40
41,MCM5,41
42,NFATC3,42
43,PCBP2,43
44,TRIB3,44
45,ZFP281,45
46,ARID3B,46
47,KLF15,47
48,HES1,48
49,XRCC6,49
50,ING1,50
51,RUNX3,51
52,NDN,52
53,TSHZ3,53
54,POU4F2,54
55,RARG,55
56,ZFP398,56
57,PREB,57
58,SAP30,58
59,SMURF2,59
60,HSPB1,60
61,YEATS2,61
62,PLAG1,62
63,RFXAP,63
64,SMARCAD1,64
65,STAT4,65
66,FXR1,66
67,HDGF,67
68,FUS,68
69,PITX1,69
70,MAPK13,70
71,PSIP1,71
72,SALL4,72
73,TSG101,73
74,ASH2L,74
75,YBX1,75
76,PHF1,76
77,TAF1A,77
78,ZFP768,78
79,TULP3,79
80,TADA3,80
81,TCF7,81
82,SRF,82
83,REST,83
84,TOX4,84
85,NR1D2,85
86,CTBP1,86
87,PHF14,87
88,PEG3,88
89,ELF3,89
90,GLI2,90
91,ILK,91
92,NAA15,92
93,RAD51,93
94,TRP53BP1,94
95,TRIP6,95
96,PHF2,96
97,ETV4,97
98,BTF3,98
99,NFIB,99
100,SMARCA4,100
101,WWTR1,101
102,ID2,102
103,KLF2,103
104,NFE2L1,104
105,ZFPM1,105
106,RYBP,106
107,EWSR1,107
108,CNOT6,108
109,ATF6,109
110,ILF3,110
111,SMARCA2,111
112,KLF10,112
113,MIS18BP1,113
114,RAD54B,114
115,TRIM28,115
116,POU6F1,116
117,NFYA,117
118,HNF1B,118
119,SOX7,119
120,ZBTB43,120
121,ECD,121
122,MAFK,122
123,RBPJ,123
124,ZIC3,124
125,DAXX,125
126,SMURF1,126
127,ZBTB38,127
128,ARNTL,128
129,ELK4,129
130,RBL1,130
131,TMF1,131
132,THRAP3,132
133,DDX54,133
134,BMI1,134
135,TFCP2L1,135
136,NSD1,136
137,ZFP219,137
138,MLLT1,138
139,SRSF1,139
140,TAF6,140
141,HCFC1,141
142,MAZ,142
143,HIST1H1B,143
144,STAT5A,144
145,DAZAP2,145
146,SOX17,146
147,TAX1BP3,147
148,RBBP4,148
149,GTF2A1L,149
150,ELL2,150
151,CTCF,151
152,TCERG1,152
153,SUZ12,153
154,MPHOSPH8,154
155,GNRH1,155
156,ATF1,156
157,BRPF1,157
158,NR2F2,158
159,SRSF6,159
160,MED31,160
161,CSF1,161
162,NFE2L2,162
163,POU2F1,163
164,TCF20,164
165,CREB5,165
166,KDM5B,166
167,RNF14,167
168,MBD2,168
169,GBX2,169
170,APEX1,170
171,TGFB1I1,171
172,BCL3,172
173,TOP2B,173
174,TAF10,174
175,FIZ1,175
176,PAWR,176
177,CNOT2,177
178,TFAP2C,178
179,E2F4,179
180,ANKRD54,180
181,NFKB2,181
182,HDAC3,182
183,MCM4,183
184,PCBD1,184
185,NANOG,185
186,TAF5,186
187,SIN3B,187
188,FOXA2,188
189,MEF2C,189
190,AES,190
191,YEATS4,191
192,SFPQ,192
193,NFYB,193
