,TF,Target,Label
0,5,11,1
1,5,60,1
2,5,1375,1
3,5,488,1
4,5,492,1
5,5,1322,1
6,5,813,1
7,5,371,1
8,5,979,1
9,5,1553,1
10,5,218,1
11,5,1411,1
12,5,1518,1
13,5,335,1
14,5,1325,1
15,5,321,1
16,5,463,1
17,5,38,1
18,5,879,1
19,5,1569,1
20,5,205,1
21,5,1007,1
22,5,1329,1
23,5,188,1
24,5,1466,1
25,5,412,1
26,5,116,1
27,5,1020,1
28,5,1444,1
29,5,243,1
30,5,484,1
31,5,897,1
32,5,1431,1
33,5,1486,1
34,5,1137,1
35,5,263,1
36,5,607,1
37,5,624,1
38,5,459,1
39,5,795,1
40,5,480,1
41,5,556,1
42,5,1531,1
43,5,460,1
44,5,274,1
45,5,626,1
46,5,608,1
47,5,1489,1
48,5,1383,1
49,5,578,1
50,5,1043,1
51,5,269,1
52,5,1180,1
53,5,1015,1
54,5,1203,1
55,5,523,1
56,16,1203,1
57,16,291,1
58,16,1555,1
59,16,681,1
60,16,1494,1
61,16,677,1
62,16,618,1
63,16,345,1
64,16,134,1
65,16,1268,1
66,16,269,1
67,16,1488,1
68,16,1313,1
69,16,380,1
70,16,11,1
71,16,253,1
72,16,1228,1
73,16,373,1
74,16,12,1
75,16,225,1
76,16,1375,1
77,16,1383,1
78,16,188,1
79,16,436,1
80,16,488,1
81,16,628,1
82,27,1229,1
83,27,10,1
84,27,911,1
85,27,370,1
86,27,1610,1
87,27,319,1
88,27,99,1
89,27,429,1
90,27,278,1
91,27,97,1
92,27,1150,1
93,27,1025,1
94,27,329,1
95,27,162,1
96,27,1049,1
97,27,1467,1
98,27,1008,1
99,27,895,1
100,27,1388,1
101,27,1071,1
102,27,945,1
103,27,1387,1
104,27,754,1
105,27,19,1
106,27,818,1
107,27,150,1
108,27,1212,1
109,27,1499,1
110,27,1521,1
111,27,888,1
112,27,226,1
113,27,412,1
114,27,296,1
115,27,859,1
116,27,826,1
117,27,1339,1
118,27,697,1
119,27,437,1
120,27,672,1
121,27,705,1
122,27,559,1
123,27,1322,1
124,27,403,1
125,27,1176,1
126,27,447,1
127,27,981,1
128,27,81,1
129,27,1148,1
130,27,1031,1
131,27,504,1
132,27,890,1
133,27,567,1
134,27,1237,1
135,27,1590,1
136,27,1512,1
137,27,1007,1
138,27,183,1
139,27,216,1
140,27,346,1
141,27,1500,1
142,27,1238,1
143,27,792,1
144,27,39,1
145,27,116,1
146,27,83,1
147,27,532,1
148,27,1180,1
149,27,753,1
150,27,78,1
151,27,557,1
152,27,993,1
153,27,1415,1
154,27,46,1
155,27,619,1
156,27,426,1
157,27,303,1
158,27,361,1
159,27,382,1
160,27,348,1
161,27,879,1
162,27,1465,1
163,27,932,1
164,27,907,1
165,27,1333,1
166,27,410,1
167,27,880,1
168,27,869,1
169,27,173,1
170,27,1292,1
171,27,263,1
172,27,922,1
173,27,1478,1
174,27,404,1
175,27,433,1
176,27,445,1
177,27,963,1
178,27,766,1
179,27,801,1
180,27,52,1
181,27,65,1
182,27,1380,1
183,27,905,1
184,27,419,1
185,27,1428,1
186,27,513,1
187,27,800,1
188,27,1028,1
189,27,211,1
190,27,1608,1
191,27,554,1
192,27,1077,1
193,27,520,1
194,27,1035,1
195,27,1537,1
196,27,1599,1
197,27,1164,1
198,27,1366,1
199,27,93,1
200,27,1431,1
201,27,86,1
202,27,456,1
203,27,251,1
204,27,1487,1
205,27,1091,1
206,27,103,1
207,27,1255,1
208,27,1411,1
209,27,1344,1
210,27,342,1
211,27,1195,1
212,27,921,1
213,27,1573,1
214,27,883,1
215,27,1358,1
216,27,1251,1
217,27,974,1
218,27,1010,1
219,27,1032,1
220,27,270,1
221,27,1203,1
222,27,1341,1
223,27,1494,1
224,27,1378,1
225,27,648,1
226,27,1291,1
227,27,1348,1
228,27,1336,1
229,27,763,1
230,27,1299,1
231,27,460,1
232,27,835,1
233,27,788,1
234,27,710,1
235,27,1318,1
236,27,744,1
237,27,773,1
238,27,1370,1
239,27,631,1
240,27,1208,1
241,27,915,1
242,27,830,1
243,27,41,1
244,27,338,1
245,27,1461,1
246,27,474,1
247,27,1392,1
248,27,1241,1
249,27,947,1
250,27,290,1
251,27,24,1
252,27,1000,1
253,39,247,1
254,39,1222,1
255,39,291,1
256,39,1105,1
257,39,1005,1
258,39,740,1
259,39,628,1
260,39,1228,1
261,39,836,1
262,39,261,1
263,39,1060,1
264,39,1165,1
265,39,899,1
266,39,637,1
267,39,626,1
268,45,509,1
269,45,1416,1
270,45,588,1
271,45,601,1
272,45,1233,1
273,45,705,1
274,45,363,1
275,45,1487,1
276,45,763,1
277,45,368,1
278,45,1406,1
279,45,1038,1
280,45,24,1
281,45,1172,1
282,45,1374,1
283,45,488,1
284,45,1573,1
285,45,1340,1
286,45,1121,1
287,45,1415,1
288,45,1246,1
289,45,856,1
290,45,296,1
291,45,1196,1
292,45,973,1
293,45,1048,1
294,45,945,1
295,45,921,1
296,45,429,1
297,45,1314,1
298,45,1158,1
299,45,1529,1
300,45,1346,1
301,45,532,1
302,45,968,1
303,45,474,1
304,45,1444,1
305,45,1159,1
306,45,398,1
307,45,1011,1
308,45,235,1
309,45,807,1
310,45,8,1
311,45,60,1
312,45,725,1
313,45,960,1
314,45,351,1
315,45,1336,1
316,45,1411,1
317,45,176,1
318,45,1084,1
319,45,1568,1
320,45,1347,1
321,45,548,1
322,45,1375,1
323,45,1148,1
324,45,1268,1
325,45,502,1
326,45,231,1
327,45,1010,1
328,72,722,1
329,72,234,1
330,72,440,1
331,72,824,1
332,72,823,1
333,72,449,1
334,72,38,1
335,72,502,1
336,72,1560,1
337,72,1210,1
338,72,1398,1
339,72,240,1
340,72,1014,1
341,72,1156,1
342,72,1084,1
343,72,200,1
344,72,1117,1
345,72,662,1
346,72,390,1
