#ID,TF,index
0,323,91
1,323,865
2,323,781
3,323,546
4,323,88
5,323,646
6,323,295
7,323,155
8,323,567
9,323,110
10,323,483
11,323,1098
12,323,354
13,323,1112
14,323,152
15,32,1099
16,32,1033
17,32,431
18,32,557
19,32,838
20,32,865
21,32,107
22,32,374
23,32,781
24,32,25
25,32,409
26,32,147
27,32,539
28,32,1056
29,32,181
30,32,646
31,32,602
32,32,485
33,32,295
34,32,165
35,32,482
36,32,1061
37,32,86
38,32,452
39,32,268
40,32,856
41,32,617
42,32,211
43,32,571
44,32,475
45,32,512
46,32,963
47,32,122
48,32,112
49,32,7
50,32,252
51,32,1044
52,32,109
53,32,279
54,32,111
55,32,1112
56,32,152
57,32,259
58,32,718
59,32,349
60,32,304
61,32,156
62,531,738
63,531,805
64,531,930
65,531,682
66,531,335
67,531,698
68,531,556
69,531,453
70,531,890
71,531,97
72,531,132
73,531,723
74,531,431
75,531,685
76,531,664
77,531,932
78,531,909
79,531,557
80,531,214
81,531,808
82,531,378
83,531,1107
84,531,32
85,531,216
86,531,625
87,531,1045
88,531,92
89,531,56
90,531,313
91,531,1118
92,531,949
93,531,755
94,531,1041
95,531,806
96,531,577
97,531,600
98,531,151
99,531,913
100,531,875
101,531,867
102,531,865
103,531,125
104,531,922
105,531,180
106,531,60
107,531,25
108,531,923
109,531,1001
110,531,598
111,531,409
112,531,147
113,531,1008
114,531,540
115,531,710
116,531,435
117,531,333
118,531,610
119,531,88
120,531,819
121,531,458
122,531,218
123,531,337
124,531,24
125,531,324
126,531,853
127,531,967
128,531,1056
129,531,777
130,531,830
131,531,340
132,531,898
133,531,309
134,531,266
135,531,136
136,531,63
137,531,280
138,531,181
139,531,1016
140,531,891
141,531,602
142,531,485
143,531,295
144,531,473
145,531,921
146,531,46
147,531,78
148,531,1076
149,531,851
150,531,325
151,531,675
152,531,650
153,531,9
154,531,399
155,531,133
156,531,889
157,531,1061
158,531,0
159,531,86
160,531,694
161,531,157
162,531,976
163,531,118
164,531,452
165,531,268
166,531,892
167,531,678
168,531,205
169,531,857
170,531,159
171,531,700
172,531,128
173,531,803
174,531,1092
175,531,846
176,531,765
177,531,802
178,531,928
179,531,648
180,531,721
181,531,888
182,531,752
183,531,211
184,531,841
185,531,736
186,531,776
187,531,87
188,531,93
189,531,571
190,531,858
191,531,847
192,531,1059
193,531,512
194,531,963
195,531,45
196,531,947
197,531,1096
198,531,1040
199,531,586
200,531,565
201,531,719
202,531,367
203,531,330
204,531,537
205,531,143
206,531,327
207,531,616
208,531,941
209,531,980
210,531,412
211,531,560
212,531,589
213,531,119
214,531,655
215,531,843
216,531,336
217,531,294
218,531,112
219,531,312
220,531,551
221,531,525
222,531,1083
223,531,1049
224,531,693
225,531,797
226,531,254
227,531,863
228,531,380
229,531,149
230,531,7
231,531,864
232,531,104
233,531,970
234,531,911
235,531,441
236,531,356
237,531,844
238,531,398
239,531,955
240,531,306
241,531,769
242,531,256
243,531,19
244,531,109
245,531,321
246,531,726
247,531,279
248,531,270
249,531,676
250,531,637
251,531,842
252,531,749
253,531,57
254,531,258
255,531,28
256,531,1069
257,531,224
258,531,111
259,531,695
260,531,717
261,531,916
262,531,408
263,531,708
264,531,152
265,531,195
266,531,365
267,531,503
268,531,669
269,531,627
270,531,601
271,531,259
272,531,1081
273,531,208
274,531,1057
275,531,671
276,531,454
277,531,1037
