G0	HOPX
G1	NFXL1
G2	HDAC3
G3	CDC5L
G4	BACH2
G5	DNMT1
G6	TAF1A
G7	PITX2
G8	ZBTB10
G9	GRHL1
G10	SALL1
G11	EZH2
G12	BCLAF1
G13	MCM4
G14	NR2F6
G15	COPS2
G16	HDGF
G17	TNFAIP3
G18	NR1D2
G19	SAP30
G20	TFCP2L1
G21	CBX6
G22	ELAVL2
G23	NR2F2
G24	ETV4
G25	DMRT1
G26	MEN1
G27	POLR3B
G28	SNAI1
G29	CTCF
G30	TAF6L
G31	ELF1
G32	CBX8
G33	EMX2
G34	ZFP236
G35	MTA3
G36	ZFP42
G37	PDCD11
G38	SNAPC3
G39	RUNX3
G40	RNF6
G41	POLR1C
G42	BRPF1
G43	FXR1
G44	PHF2
G45	MYD88
G46	GLI1
G47	HEXIM1
G48	HMGXB4
G49	KPNA2
G50	CUX1
G51	HES1
G52	ERCC8
G53	ANKS1
G54	TRIM28
G55	CRY1
G56	CITED1
G57	SMAD3
G58	PIAS1
G59	TCOF1
G60	DDX58
G61	SIN3A
G62	TRIP11
G63	FOXJ3
G64	ZFP275
G65	SOX2
G66	NONO
G67	ERCC3
G68	MYCN
G69	HMGA1
G70	FOXH1
G71	GTF3C5
G72	ESRRB
G73	IKBKB
G74	NFATC3
G75	CEBPZ
G76	NOTCH4
G77	MCM5
G78	GLI2
G79	NACC1
G80	MEIS3
G81	PLAGL2
G82	JMJD1C
G83	XBP1
G84	HNF4A
G85	ATF1
G86	HOXD13
G87	MAPK11
G88	EPAS1
G89	DEK
G90	ASH1L
G91	ARL6IP5
G92	CHD5
G93	MED12
G94	MLLT1
G95	NR1D1
G96	ZFPM1
G97	ATF3
G98	ZMYND11
G99	NFYB
G100	E2F4
G101	WBP11
G102	ATF6
G103	JUN
G104	PRDM5
G105	KLF13
G106	ARNTL
G107	DAB2
G108	RLIM
G109	SATB2
G110	POU4F2
G111	SP8
G112	PAX6
G113	SMARCA2
G114	JDP2
G115	SMARCA4
G116	ARID1A
G117	HSPB1
G118	ID2
G119	NR5A2
G120	HCFC1
G121	NUPR1
G122	NPAS2
G123	PARP1
G124	UBP1
G125	CUX2
G126	BTG1
G127	KANK2
G128	KLF6
G129	XRCC6
G130	RFXAP
G131	E2F6
G132	ATF5
G133	HES6
G134	E2F1
G135	MED21
G136	FOXD3
G137	BCL3
G138	ZFP296
G139	ATF2
G140	PHF12
G141	MSC
G142	PMS1
G143	NFKB2
G144	RELA
G145	SMARCD1
G146	HNRNPD
G147	EBF4
G148	GTF2H3
G149	PITX1
G150	TFE3
G151	CSF1
G152	TBX18
G153	TGFB1I1
G154	PKNOX2
G155	HIST1H1B
G156	ZFHX3
G157	HSF2BP
G158	SATB1
G159	KAT2B
G160	RUVBL1
G161	GZF1
G162	BRCA1
G163	RYBP
G164	L3MBTL2
G165	HEY2
G166	GTF2I
G167	MEF2D
G168	MKX
G169	XAB2
G170	NFE2L2
G171	KLF9
G172	STAT5B
