,TF,Target,Label
0,32,111,1
1,32,7,1
2,32,165,1
3,32,211,1
4,32,963,1
5,32,295,1
6,32,557,1
7,32,602,1
8,32,349,1
9,32,1044,1
10,32,304,1
11,32,1061,1
12,32,1112,1
13,32,112,1
14,32,571,1
15,32,147,1
16,32,279,1
17,32,1033,1
18,32,152,1
19,32,856,1
20,32,25,1
21,32,865,1
22,32,107,1
23,32,268,1
24,32,512,1
25,36,1038,1
26,36,224,1
27,36,906,1
28,36,349,1
29,36,153,1
30,36,1062,1
31,36,156,1
32,36,426,1
33,36,143,1
34,36,1092,1
35,36,218,1
36,36,1118,1
37,65,1083,1
38,65,252,1
39,65,1026,1
40,65,781,1
41,65,637,1
42,65,259,1
43,65,255,1
44,65,449,1
45,65,72,1
46,65,587,1
47,65,833,1
48,65,729,1
49,65,636,1
50,65,1060,1
51,65,202,1
52,65,36,1
53,65,333,1
54,65,928,1
55,65,866,1
56,65,392,1
57,65,963,1
58,65,68,1
59,65,154,1
60,65,359,1
61,65,952,1
62,65,273,1
63,65,934,1
64,65,283,1
65,65,336,1
66,65,212,1
67,65,1114,1
68,65,1098,1
69,65,744,1
70,65,802,1
71,65,340,1
72,65,125,1
73,65,335,1
74,65,634,1
75,65,499,1
76,65,627,1
77,65,755,1
78,65,667,1
79,65,911,1
80,65,233,1
81,65,475,1
82,65,923,1
83,65,588,1
84,65,613,1
85,65,1062,1
86,65,851,1
87,65,540,1
88,65,266,1
89,65,28,1
90,65,1097,1
91,65,529,1
92,65,674,1
93,65,770,1
94,65,975,1
95,65,8,1
96,65,864,1
97,65,341,1
98,65,694,1
99,65,123,1
100,65,829,1
101,65,531,1
102,65,662,1
103,65,563,1
104,65,1057,1
105,65,989,1
106,65,270,1
107,65,541,1
108,65,799,1
109,65,695,1
110,65,137,1
111,65,576,1
112,65,804,1
113,65,181,1
114,65,853,1
115,65,777,1
116,65,978,1
117,65,25,1
118,65,908,1
119,65,577,1
120,65,1001,1
121,65,951,1
122,65,888,1
123,65,489,1
124,65,464,1
125,65,708,1
126,65,608,1
127,65,301,1
128,65,953,1
129,65,655,1
130,65,483,1
131,65,827,1
132,65,1092,1
133,65,1031,1
134,65,350,1
135,65,501,1
136,65,482,1
137,65,857,1
138,65,104,1
139,65,315,1
140,65,112,1
141,65,1084,1
142,65,1038,1
143,65,240,1
144,65,965,1
145,65,193,1
146,65,528,1
147,65,446,1
148,65,895,1
149,65,685,1
150,65,87,1
151,65,858,1
152,65,557,1
153,65,160,1
154,65,151,1
155,65,1003,1
156,65,556,1
157,65,156,1
158,65,1043,1
159,65,327,1
160,65,596,1
161,65,466,1
162,65,324,1
163,65,320,1
164,65,1066,1
165,65,780,1
166,65,356,1
167,65,600,1
168,65,19,1
169,65,111,1
170,65,354,1
171,65,321,1
172,65,106,1
173,65,646,1
174,65,865,1
175,65,1099,1
176,65,128,1
177,65,199,1
178,65,919,1
179,65,941,1
180,65,227,1
181,65,408,1
182,65,378,1
183,65,268,1
184,65,322,1
185,65,158,1
186,65,998,1
187,65,369,1
188,65,877,1
189,65,939,1
190,65,920,1
191,65,1071,1
192,65,664,1
193,65,412,1
194,65,165,1
195,65,929,1
196,65,852,1
197,65,955,1
198,65,223,1
199,65,887,1
200,65,545,1
201,65,510,1
202,65,330,1
203,65,834,1
204,65,236,1
205,65,387,1
206,65,1054,1
207,65,551,1
208,65,1008,1
209,65,874,1
210,65,313,1
211,65,454,1
212,65,930,1
213,65,558,1
214,65,514,1
215,65,379,1
216,65,949,1
217,65,700,1
218,65,787,1
219,65,580,1
220,65,1016,1
221,65,692,1
222,65,620,1
223,65,352,1
224,65,1074,1
225,65,126,1
226,65,428,1
227,65,1050,1
228,65,615,1
229,65,172,1
230,65,306,1
231,65,980,1
232,65,582,1
233,65,107,1
234,65,805,1
235,65,1044,1
236,65,342,1
237,65,500,1
238,65,766,1
239,65,399,1
240,65,803,1
241,65,216,1
242,65,1035,1
243,65,232,1
244,68,842,1
245,68,930,1
246,68,563,1
247,68,1057,1
248,68,63,1
249,68,933,1
250,68,22,1
251,68,511,1
252,68,295,1
253,68,628,1
254,68,989,1
255,68,248,1
256,68,18,1
257,68,1020,1
258,68,646,1
259,68,614,1
260,68,409,1
261,68,917,1
262,68,1000,1
263,72,975,1
264,72,674,1
265,72,1050,1
