#ID,TF,index
0,118,44
1,118,414
2,116,243
3,116,1031
4,70,164
5,70,446
6,70,877
7,70,495
8,70,678
9,70,0
10,70,101
11,70,492
12,70,335
13,70,25
14,70,209
15,70,619
16,70,87
17,70,476
18,70,562
19,163,446
20,323,721
21,323,602
22,164,295
23,52,116
24,52,479
25,52,1112
26,83,1179
27,83,1112
28,83,906
29,83,822
30,83,1239
31,83,296
32,83,269
33,267,1114
34,0,70
35,0,295
36,0,1084
37,0,476
38,99,1252
39,370,74
40,129,906
41,243,109
42,243,1124
43,243,468
44,243,478
45,243,748
46,243,534
47,243,49
48,216,327
49,216,748
50,127,857
51,127,446
52,127,99
53,127,556
54,127,404
55,369,70
56,369,974
57,369,295
58,369,99
59,369,334
60,369,715
61,369,556
62,369,131
63,369,973
64,276,70
65,276,295
66,276,575
67,276,1380
68,276,492
69,276,352
70,276,887
71,276,401
72,276,49
73,240,233
74,37,40
75,85,597
76,85,319
77,85,1179
78,85,276
79,85,224
80,85,498
81,85,209
82,85,90
83,85,887
84,85,450
85,85,190
86,85,1105
87,85,49
88,101,70
89,11,511
90,11,85
91,11,1352
92,11,476
93,57,85
94,14,10
95,14,40
96,14,1000
97,375,116
98,375,295
99,375,83
100,375,1352
101,375,1370
102,375,55
103,375,748
104,375,181
105,375,49
106,375,157
107,224,1112
108,224,1000
109,5,10
110,5,414
111,5,1275
112,67,70
113,315,70
114,205,597
115,205,70
116,215,1140
117,215,146
118,366,4
119,145,194
120,145,682
121,145,887
122,61,366
123,334,369
124,4,1
125,4,49
126,167,476
127,352,151
128,352,70
129,352,130
130,352,566
131,352,615
132,352,295
133,352,127
134,352,511
135,352,240
136,352,1359
137,352,1380
138,352,282
139,352,1352
140,352,75
141,352,887
142,352,218
143,352,1163
144,352,796
145,352,291
146,352,157
147,352,363
148,352,476
149,66,352
150,341,550
151,308,49
152,308,157
153,197,478
154,220,295
155,220,1380
156,220,1352
157,220,331
158,220,1252
159,335,49
160,71,364
161,364,822
162,364,887
163,296,83
164,296,49
165,296,106
166,149,295
167,149,1404
168,149,575
169,149,1208
170,149,692
171,149,173
172,149,76
173,25,295
174,25,352
175,186,295
176,186,751
177,371,495
178,371,492
179,371,476
