#ID,TF,index
0,CTNNB1,0
1,CITED2,1
2,MCM4,2
3,SCD5,3
4,HDAC9,4
5,FOXD3,5
6,XRCC5,6
7,RAX2,7
8,BHLHE40,8
9,ZNF142,9
10,MITF,10
11,ETV4,11
12,GRHL1,12
13,ZNF219,13
14,EWSR1,14
15,UPF1,15
16,PGR,16
17,SAP18,17
18,GRHL2,18
19,YAF2,19
20,AEBP1,20
21,SRC,21
22,PSMD9,22
23,FOXJ2,23
24,SHOX2,24
25,KLF5,25
26,SP110,26
27,ESPL1,27
28,BCLAF1,28
29,SMG6,29
30,MKI67IP,30
31,STAT2,31
32,HNRNPK,32
33,RARG,33
34,AFF4,34
35,SOS2,35
36,HAND1,36
37,ESRRG,37
38,MECOM,38
39,AIP,39
40,NR0B1,40
41,PRDM1,41
42,ANKZF1,42
43,SERTAD2,43
44,LEF1,44
45,SOX3,45
46,FOXK1,46
47,DDX54,47
48,HOPX,48
49,TP53,49
50,ZNF238,50
51,POLR2I,51
52,CEBPZ,52
53,KAT7,53
54,NFYB,54
55,SATB1,55
56,PA2G4,56
57,ETV7,57
58,MYBL2,58
59,SNAPC3,59
60,TCOF1,60
61,HAND2,61
62,MAFF,62
63,CSRP2,63
64,PDCD11,64
65,PARN,65
66,HIF3A,66
67,FOXH1,67
68,SALL3,68
69,ZNF107,69
70,AR,70
71,ILF2,71
72,SNRPB,72
73,HOXB2,73
74,AIRE,74
75,NR3C1,75
76,TGFB1,76
77,HOXB6,77
78,WDR5,78
79,AFF1,79
80,CNTRL,80
81,REL,81
82,RUVBL2,82
83,CIITA,83
84,MCM5,84
85,ETS1,85
86,NHLH2,86
87,TRPS1,87
88,GTF2H2,88
89,TAF1L,89
90,PARP1,90
91,JMJD1C,91
92,NFIC,92
93,TRIP13,93
94,ELAVL2,94
95,NRIP1,95
96,FOXJ1,96
97,SNAI1,97
98,PSIP1,98
99,CUX1,99
100,DNMT3B,100
101,ETV1,101
102,OTX2,102
103,TCF19,103
104,NANOG,104
105,CDCA7L,105
106,TRIM22,106
107,MLLT3,107
108,RNPS1,108
109,BMP2,109
110,MYOCD,110
111,PHF21A,111
112,XRCC6,112
113,TCF7L1,113
114,GSC,114
115,SRSF2,115
116,APC,116
117,EGF,117
118,AES,118
119,LHX1,119
120,POU2AF1,120
121,SMAD6,121
122,TBX3,122
123,NFKBIB,123
124,ZNF239,124
125,SOX17,125
126,SMAD5,126
127,E2F3,127
128,TBX20,128
129,DEK,129
130,ARNT2,130
131,RAD51,131
132,ZNF146,132
133,SIX6,133
