G0	CTNNB1
G1	CITED2
G2	MCM4
G3	SCD5
G4	HDAC9
G5	FOXD3
G6	XRCC5
G7	RAX2
G8	BHLHE40
G9	ZNF142
G10	MITF
G11	ETV4
G12	GRHL1
G13	ZNF219
G14	EWSR1
G15	UPF1
G16	PGR
G17	SAP18
G18	GRHL2
G19	YAF2
G20	AEBP1
G21	SRC
G22	PSMD9
G23	FOXJ2
G24	SHOX2
G25	KLF5
G26	SP110
G27	ESPL1
G28	BCLAF1
G29	SMG6
G30	MKI67IP
G31	STAT2
G32	HNRNPK
G33	RARG
G34	AFF4
G35	SOS2
G36	HAND1
G37	ESRRG
G38	MECOM
G39	AIP
G40	NR0B1
G41	PRDM1
G42	ANKZF1
G43	SERTAD2
G44	LEF1
G45	SOX3
G46	FOXK1
G47	DDX54
G48	HOPX
G49	TP53
G50	ZNF238
G51	POLR2I
G52	CEBPZ
G53	KAT7
G54	NFYB
G55	SATB1
G56	PA2G4
G57	ETV7
G58	MYBL2
G59	SNAPC3
G60	TCOF1
G61	HAND2
G62	MAFF
G63	CSRP2
G64	PDCD11
G65	PARN
G66	HIF3A
G67	FOXH1
G68	SALL3
G69	ZNF107
G70	AR
G71	ILF2
G72	SNRPB
G73	HOXB2
G74	AIRE
G75	NR3C1
G76	TGFB1
G77	HOXB6
G78	WDR5
G79	AFF1
G80	CNTRL
G81	REL
G82	RUVBL2
G83	CIITA
G84	MCM5
G85	ETS1
G86	NHLH2
G87	TRPS1
G88	GTF2H2
G89	TAF1L
G90	PARP1
G91	JMJD1C
G92	NFIC
G93	TRIP13
G94	ELAVL2
G95	NRIP1
G96	FOXJ1
G97	SNAI1
G98	PSIP1
G99	CUX1
G100	DNMT3B
G101	ETV1
G102	OTX2
G103	TCF19
G104	NANOG
G105	CDCA7L
G106	TRIM22
G107	MLLT3
G108	RNPS1
G109	BMP2
G110	MYOCD
G111	PHF21A
G112	XRCC6
G113	TCF7L1
G114	GSC
G115	SRSF2
G116	APC
G117	EGF
G118	AES
G119	LHX1
G120	POU2AF1
G121	SMAD6
G122	TBX3
G123	NFKBIB
G124	ZNF239
G125	SOX17
