G0	ZNF83
G1	NKX3-1
G2	ZBTB2
G3	PBX1
G4	ZNF202
G5	GRHL2
G6	WWP1
G7	BTG2
G8	RXRG
G9	ZNF398
G10	NCOA6
G11	DAXX
G12	CDCA7L
G13	NHLH2
G14	NFIC
G15	PER3
G16	FOXP1
G17	ZFPM2
G18	CTBP1
G19	PTMA
G20	MAFG
G21	ELL2
G22	MDM4
G23	ZNF107
G24	NFE2L3
G25	UPF1
G26	ZRANB2
G27	SP110
G28	SNRPB
G29	SRSF3
G30	DPF2
G31	PDCD11
G32	YAF2
G33	IRF1
G34	HELZ
G35	MYCN
G36	SMG6
G37	TLE3
G38	E2F3
G39	CBX3
G40	KLF6
G41	HESX1
G42	EGR1
G43	ETS1
G44	ZNF587
G45	PRIC285
G46	ASB9
G47	HDAC9
G48	RORB
G49	EZH2
G50	PHF17
G51	HOXB6
G52	HAND1
G53	MYOCD
G54	REL
G55	ENO1
G56	ZNF764
G57	IFI16
G58	POLR2K
G59	AR
G60	MXI1
G61	ZIC2
G62	STAT3
G63	ZKSCAN1
G64	AEBP1
G65	HDGF
G66	JMJD1C
G67	POLR1A
G68	SP100
G69	ARNT2
G70	ANKRD1
G71	NPM1
G72	ZFHX3
G73	LDB2
G74	GSC
G75	WDR5
G76	HOXB4
G77	ALYREF
G78	NFIA
G79	AIRE
G80	MXD4
G81	ASB4
G82	CEBPZ
G83	PARN
G84	POLR2F
G85	ZNF8
G86	HOPX
G87	MKI67IP
G88	ARID5B
G89	BMPR1A
G90	RUVBL2
G91	MLL3
G92	BCL11A
G93	MIF
G94	SUPT7L
G95	ETV3
G96	ZNF238
G97	GATA6
G98	SIX6
G99	UPF2
G100	JUND
G101	CREB3L2
G102	ESRRG
G103	BCLAF1
G104	TRIP13
G105	E2F4
G106	LMX1B
G107	NR0B1
G108	TEAD1
G109	HMGN2
G110	MCM2
G111	HNRNPD
G112	SCD5
G113	ZNF165
G114	ANKRD6
G115	GTF2H2
G116	XRCC5
G117	POLR2G
G118	ZEB1
G119	BMP2
G120	SRSF2
G121	BHLHE40
G122	TLR4
G123	RARG
G124	SSB
G125	MYBBP1A
G126	GCM1
G127	PARP1
G128	GATA2
G129	CNBP
G130	POLR1B
G131	ZNF239
G132	SERTAD2
G133	WWTR1
G134	CBFA2T2
G135	SNAPC3
G136	POU3F1
G137	SMAD6
G138	HNRNPK
G139	DNMT3B
G140	ISL1
G141	DEDD2
G142	TP53
G143	MYBL2
G144	FXR1
G145	FOXN3
G146	GATAD2A
G147	MCM5
G148	SHOX2
G149	PSIP1
G150	MEIS1
G151	TRIP6
G152	POLR1C
G153	DACH1
G154	LEF1
G155	CIITA
G156	CREB3L4
G157	VHL
G158	CALCOCO1
G159	SIRT1
G160	U2AF1
G161	FLI1
G162	CTNNB1
G163	MITF
G164	RBBP4
G165	KLF5
G166	LIN28A
G167	TCF4
G168	CUX1
G169	ASXL1
G170	SAP18
G171	ID3
G172	PATZ1
G173	ZNF24
G174	ZEB2
G175	NFATC1
G176	ID1
G177	KLF7
G178	SLA2
G179	SATB1
G180	ZNF589
G181	TRIM27
G182	POU2AF1
G183	FOXJ1
G184	MECOM
G185	AES
G186	POLR2I
G187	ILF2
G188	ZNF160
G189	SMAD5
G190	DNAJC2
G191	CSRP2
G192	SMARCD1
G193	RFXANK
G194	SHOX
G195	HMGA1
G196	SNRPD1
G197	MCM3
G198	TEAD4
G199	SKIL
G200	APBB1
G201	PURA
G202	GTF3C4
G203	TRAF6
G204	RUVBL1
G205	EHMT2
G206	PRDM1
G207	E2F7
G208	ALS2CR8
G209	FUS
G210	GATA3
G211	SETBP1
G212	UHRF1
G213	TGFB1
G214	RAI1
G215	PPARGC1B
G216	KHDRBS2
G217	NFKBIA
G218	BCL11B
G219	RBPJ
G220	SOX4
G221	MCM4
G222	POLR2H
G223	PAWR
G224	TRIM28
G225	YBX1
G226	SALL2
G227	SMARCD3
G228	SOX13
G229	NFIB
G230	HOXB3
G231	LHX1
G232	ZNF146
G233	TRPS1
G234	AFF4
G235	ATF6
G236	MAML3
G237	NFKBIB
G238	TLE1
G239	HCFC1
G240	ESPL1
G241	POU2F1
G242	SOX17
G243	ZBTB38
G244	SNAI1
G245	ZNF471
G246	LMO3
G247	CITED2
G248	MLLT6
G249	SOX2
G250	RAX2
G251	SNAPC4
G252	HOXB2
G253	ELK3
G254	HLX
G255	NANOG
G256	SRSF1
G257	MCM6
G258	SFPQ
G259	HOXB7
G260	NFYB
G261	PBXIP1
G262	KAT6A
G263	NAA15
G264	RNPS1
G265	SOS2
G266	ZNF488
G267	PLAGL1
G268	KLF8
G269	SMARCC1
G270	NR3C1
G271	SOX5
G272	EEF1A1
G273	DAB2
G274	PLAGL2
G275	NRIP1
G276	TAF1L
G277	GATA4
G278	FOXJ2
G279	LMO2
G280	SRC
G281	ILF3
G282	SRSF10
G283	TLR7
G284	SUPT16H
G285	MEF2D
G286	LZTS1
G287	ANKZF1
G288	FOXF1
G289	HIF3A
G290	BARX2
G291	TRIM33
G292	BTF3
G293	TCOF1
G294	ZIC3
G295	TCF19
G296	TLE2
G297	LIMD1
G298	RUNX1
G299	TFDP1
G300	FUBP1
G301	CRABP2
G302	PGR
G303	MED16
G304	FOXH1
G305	MAFF
G306	NONO
G307	ETV1
G308	TCEA1
G309	AFF1
G310	TFAP2A
G311	SOX3
G312	STAT2
G313	SOX7
G314	MSX1
G315	RBFOX2
G316	ASH2L
G317	ARID4B
G318	DNMT3A
G319	PA2G4
G320	ETV4
G321	H1F0
G322	ARID3B
G323	OTX2
G324	PPARA
G325	ETV7
G326	CNTRL
G327	BMP4
G328	MLLT3
G329	CENPK
G330	MED14
G331	UBTF
G332	ATRX
G333	TRIM22
G334	TFE3
G335	ZNF219
G336	EWSR1
G337	SF1
G338	EGF
G339	CRX
G340	RNF19A
G341	RNF14
G342	FOXD3
G343	ZFP42
G344	FOXK1
G345	POLR3E
G346	KAT7
G347	PDGFA
G348	TBX20
G349	RBMX
G350	PRDM14
G351	XRCC6
G352	TGFB1I1
G353	ELAVL2
G354	GRHL1
G355	CCND1
G356	NR2C1
G357	HIST1H1B
G358	ARID3A
G359	DEK
G360	POU2F2
G361	MEIS2
G362	PHB2
G363	SNAI2
G364	TRIM25
G365	DMBX1
G366	HNRNPAB
G367	MAPK10
G368	SPIB
G369	APEX1
G370	SATB2
G371	ZNF142
G372	POLR2D
G373	EOMES
G374	CSDE1
G375	AIP
G376	KHSRP
G377	RBM14
G378	TWIST1
G379	APC
G380	PSMD9
G381	CXXC1
G382	NFATC3
G383	RAI14
G384	POLR2A
G385	TBX3
G386	CHAF1A
G387	DNMT1
G388	HAND2
G389	PHF21A
G390	TMF1
G391	ZNF585B
G392	MCM7
G393	TCF7L1
G394	TRERF1
G395	BRWD1
G396	TRIP11
G397	ZHX3
G398	HIF1A
G399	PITX2
G400	SRSF6
G401	TFAP4
G402	SFMBT1
G403	SMAD2
G404	NFAT5
G405	RAD51
G406	POU5F1
G407	DDX54
G408	APBB2
G409	SALL3
