,TF,Target,Label
0,1,370,1
1,1,310,1
2,1,657,1
3,1,233,1
4,1,16,1
5,1,355,1
6,1,414,1
7,2,142,1
8,3,227,1
9,3,826,1
10,3,48,1
11,3,522,1
12,3,92,1
13,3,632,1
14,3,453,1
15,3,255,1
16,3,582,1
17,3,869,1
18,3,152,1
19,3,233,1
20,3,757,1
21,6,336,1
22,6,532,1
23,6,811,1
24,6,189,1
25,7,355,1
26,8,324,1
27,8,617,1
28,8,10,1
29,10,270,1
30,10,127,1
31,10,8,1
32,10,377,1
33,11,142,1
34,11,332,1
35,11,102,1
36,11,213,1
37,11,62,1
38,14,102,1
39,14,310,1
40,14,270,1
41,14,772,1
42,14,541,1
43,14,354,1
44,14,527,1
45,14,680,1
46,14,320,1
47,14,229,1
48,14,688,1
49,14,177,1
50,14,92,1
51,14,382,1
52,14,863,1
53,14,368,1
54,16,666,1
55,16,127,1
56,16,145,1
57,16,518,1
58,16,497,1
59,16,309,1
60,16,579,1
61,16,514,1
62,16,88,1
63,16,298,1
64,16,600,1
65,16,236,1
66,16,576,1
67,16,616,1
68,16,219,1
69,17,210,1
70,17,277,1
71,18,379,1
72,18,275,1
73,18,154,1
74,18,298,1
75,18,219,1
76,18,174,1
77,18,17,1
78,18,16,1
79,19,362,1
80,19,62,1
81,20,901,1
82,22,142,1
83,25,384,1
84,25,890,1
85,26,120,1
86,29,138,1
87,33,323,1
88,33,309,1
89,33,137,1
90,33,48,1
91,33,333,1
92,33,51,1
93,33,195,1
94,33,92,1
95,33,167,1
96,33,254,1
97,33,38,1
98,33,449,1
99,33,248,1
100,33,73,1
101,33,908,1
102,33,102,1
103,33,59,1
104,33,821,1
105,33,722,1
106,33,412,1
107,35,143,1
108,35,221,1
109,35,60,1
110,35,195,1
111,35,257,1
112,35,147,1
113,35,155,1
114,35,110,1
115,38,162,1
116,38,734,1
117,38,347,1
118,38,405,1
119,38,259,1
120,38,884,1
121,38,706,1
122,38,850,1
123,38,39,1
124,38,440,1
125,38,299,1
126,38,334,1
127,38,19,1
128,38,826,1
129,38,427,1
130,38,687,1
131,38,191,1
132,38,771,1
133,38,387,1
134,38,739,1
135,38,256,1
136,38,129,1
137,38,832,1
138,38,111,1
139,38,872,1
140,38,323,1
141,38,392,1
142,38,881,1
143,38,359,1
144,38,37,1
145,38,43,1
146,38,209,1
147,38,783,1
148,38,257,1
149,39,68,1
150,40,596,1
151,40,205,1
152,42,291,1
153,42,553,1
154,42,663,1
155,42,733,1
156,42,315,1
157,42,616,1
158,42,707,1
159,42,190,1
160,42,159,1
161,42,318,1
162,42,18,1
163,42,142,1
164,42,154,1
165,42,249,1
166,42,150,1
167,42,185,1
168,42,76,1
169,42,334,1
170,42,869,1
171,42,358,1
172,42,514,1
173,42,819,1
174,42,205,1
175,42,222,1
176,42,127,1
177,42,608,1
178,42,165,1
179,42,580,1
180,42,175,1
181,42,486,1
182,42,70,1
183,42,725,1
184,42,502,1
185,42,304,1
186,42,389,1
187,42,562,1
188,42,213,1
189,42,101,1
190,42,188,1
191,42,504,1
192,42,123,1
193,42,78,1
194,42,489,1
195,42,691,1
196,42,354,1
197,42,229,1
198,42,414,1
199,42,240,1
200,42,701,1
201,42,14,1
202,42,204,1
203,42,530,1
204,42,19,1
205,42,386,1
206,42,32,1
207,42,91,1
208,42,712,1
209,42,709,1
210,42,798,1
211,42,464,1
212,42,564,1
213,42,803,1
214,42,501,1
215,42,267,1
216,42,256,1
217,42,317,1
218,42,688,1
219,42,230,1
220,42,468,1
221,42,337,1
222,42,351,1
223,42,836,1
224,42,280,1
225,42,54,1
226,42,581,1
227,42,481,1
228,42,471,1
229,42,454,1
230,42,33,1
231,42,777,1
232,42,132,1
233,42,298,1
234,42,157,1
235,42,585,1
236,42,244,1
237,42,600,1
238,42,739,1
239,42,9,1
240,42,412,1
241,42,792,1
242,42,369,1
243,42,134,1
244,42,462,1
245,42,846,1
246,42,678,1
247,42,847,1
248,42,667,1
249,42,31,1
250,42,755,1
251,42,227,1
252,42,214,1
253,42,160,1
254,42,395,1
255,42,394,1
256,42,419,1
257,42,400,1
258,42,209,1
259,42,886,1
260,42,344,1
261,42,167,1
262,42,430,1
263,42,274,1
264,43,431,1
265,43,710,1
266,43,243,1
267,43,132,1
268,43,310,1
269,43,36,1
270,43,78,1
271,43,408,1
272,43,355,1
273,43,11,1
274,43,320,1
275,43,16,1
276,43,763,1
277,43,401,1
278,43,127,1
279,43,171,1
280,43,358,1
281,43,493,1
282,43,150,1
283,43,855,1
284,43,123,1
285,43,142,1
286,43,38,1
287,43,405,1
288,43,122,1
289,43,481,1
290,43,68,1
291,43,270,1
292,43,40,1
293,43,677,1
294,43,446,1
295,43,175,1
296,43,327,1
297,43,62,1
298,43,161,1
299,43,66,1
300,43,229,1
301,47,18,1
302,47,247,1
303,48,10,1
304,49,155,1
305,49,332,1
306,49,355,1
307,49,363,1
308,49,318,1
309,49,378,1
310,49,179,1
311,54,217,1
312,54,192,1
313,54,123,1
314,54,133,1
315,54,404,1
316,54,408,1
317,54,222,1
318,54,142,1
319,54,271,1
320,54,614,1
321,54,459,1
322,54,175,1
323,54,324,1
324,57,142,1
325,57,59,1
326,58,372,1
327,59,185,1
328,59,349,1
329,59,346,1
330,59,307,1
331,59,213,1
332,59,356,1
333,59,280,1
334,59,229,1
335,59,76,1
336,59,319,1
337,59,220,1
338,59,11,1
339,59,107,1
340,59,306,1
341,59,596,1
342,59,737,1
343,59,341,1
344,59,93,1
345,59,903,1
346,59,330,1
347,59,123,1
348,59,62,1
349,59,165,1
350,59,434,1
351,59,7,1
352,59,363,1
353,59,423,1
354,59,352,1
355,59,43,1
356,59,406,1
357,59,503,1
358,59,298,1
359,59,439,1
360,59,116,1
361,59,581,1
362,59,555,1
363,60,198,1
364,60,229,1
365,60,244,1
366,60,104,1
367,60,225,1
368,60,262,1
369,60,448,1
370,60,364,1
371,60,683,1
372,60,120,1
373,60,232,1
374,60,49,1
375,60,701,1
376,60,99,1
377,60,202,1
378,60,76,1
379,60,716,1
380,60,525,1
381,60,154,1
382,60,400,1
383,60,430,1
384,60,401,1
385,60,205,1
386,60,4,1
387,60,624,1
388,60,38,1
389,60,84,1
390,60,694,1
391,60,36,1
392,60,751,1
393,60,356,1
394,60,35,1
395,60,344,1
396,60,259,1
397,60,461,1
398,60,19,1
399,60,842,1
400,60,212,1
401,60,628,1
402,60,440,1
403,60,766,1
404,60,251,1
405,60,136,1
406,60,263,1
407,60,14,1
408,60,847,1
409,60,10,1
410,60,442,1
411,60,235,1
412,60,376,1
413,60,398,1
414,60,390,1
415,60,862,1
416,60,514,1
417,60,201,1
418,60,304,1
419,60,299,1
420,60,336,1
421,60,392,1
422,60,215,1
423,60,670,1
424,60,668,1
425,60,386,1
426,60,128,1
427,60,100,1
428,60,541,1
429,60,835,1
430,60,151,1
431,60,190,1
432,60,230,1
433,60,297,1
434,60,32,1
435,60,372,1
436,60,358,1
437,60,172,1
438,60,125,1
439,60,289,1
440,60,195,1
441,60,802,1
442,60,720,1
443,60,370,1
444,60,537,1
445,61,102,1
446,61,54,1
447,61,167,1
448,61,97,1
449,61,274,1
450,61,374,1
451,61,291,1
452,61,45,1
453,61,123,1
454,62,884,1
455,62,210,1
456,62,811,1
457,62,142,1
458,62,355,1
459,62,320,1
460,62,378,1
461,62,16,1
462,62,709,1
463,62,229,1
464,62,331,1
465,62,230,1
466,62,200,1
467,62,134,1
468,62,387,1
469,62,294,1
470,62,167,1
471,62,103,1
472,62,433,1
473,62,398,1
474,62,608,1
475,62,384,1
476,62,883,1
477,62,630,1
478,62,317,1
479,62,280,1
480,62,869,1
481,62,95,1
482,62,370,1
483,62,42,1
484,62,64,1
485,62,179,1
486,62,33,1
487,62,579,1
488,62,38,1
489,62,520,1
490,65,901,1
491,66,59,1
492,67,237,1
493,68,358,1
494,68,39,1
495,69,398,1
496,71,440,1
497,71,142,1
498,71,355,1
499,71,127,1
500,74,403,1
501,76,812,1
502,77,154,1
503,78,270,1
504,82,856,1
505,82,379,1
506,83,376,1
507,84,384,1
508,85,403,1
509,88,852,1
510,88,778,1
511,88,449,1
512,88,650,1
513,88,72,1
514,88,296,1
515,88,174,1
516,88,285,1
517,90,162,1
518,93,430,1
519,93,119,1
520,93,679,1
521,93,200,1
522,93,82,1
523,93,134,1
524,93,514,1
525,93,517,1
526,93,622,1
527,93,362,1
528,93,654,1
529,96,318,1
530,97,481,1
531,97,586,1
532,98,185,1
533,99,25,1
534,100,546,1
535,100,107,1
536,100,457,1
537,100,36,1
538,100,739,1
539,100,222,1
540,100,46,1
541,100,412,1
542,100,161,1
543,100,606,1
544,100,301,1
545,100,277,1
546,100,293,1
547,100,602,1
548,100,291,1
549,100,336,1
550,100,220,1
551,100,121,1
552,100,749,1
553,100,870,1
554,100,123,1
555,100,346,1
556,102,107,1
557,102,215,1
558,104,509,1
559,105,143,1
560,105,355,1
561,105,624,1
562,105,771,1
