,TF,Target,Label
0,1,755,1
1,1,249,1
2,1,16,1
3,1,355,1
4,1,414,1
5,1,233,1
6,1,657,1
7,1,310,1
8,2,142,1
9,3,522,1
10,3,453,1
11,3,102,1
12,3,757,1
13,3,606,1
14,3,311,1
15,3,150,1
16,3,233,1
17,3,869,1
18,3,706,1
19,3,582,1
20,3,826,1
21,3,632,1
22,6,811,1
23,6,310,1
24,6,189,1
25,6,336,1
26,7,355,1
27,8,112,1
28,8,10,1
29,8,617,1
30,10,270,1
31,10,351,1
32,10,127,1
33,10,377,1
34,11,142,1
35,11,213,1
36,11,332,1
37,11,43,1
38,11,62,1
39,13,246,1
40,14,51,1
41,14,368,1
42,14,431,1
43,14,772,1
44,14,382,1
45,14,541,1
46,14,555,1
47,14,459,1
48,14,409,1
49,14,600,1
50,14,700,1
51,14,527,1
52,14,788,1
53,14,177,1
54,14,428,1
55,14,320,1
56,16,92,1
57,16,703,1
58,16,704,1
59,16,309,1
60,16,298,1
61,16,184,1
62,16,236,1
63,16,576,1
64,16,219,1
65,16,616,1
66,16,241,1
67,16,600,1
68,16,437,1
69,16,18,1
70,16,579,1
71,16,518,1
72,17,277,1
73,17,210,1
74,18,47,1
75,18,253,1
76,18,154,1
77,18,219,1
78,18,393,1
79,18,174,1
80,18,16,1
81,18,118,1
82,19,62,1
83,19,362,1
84,20,901,1
85,22,142,1
86,25,99,1
87,25,384,1
88,26,120,1
89,28,196,1
90,29,138,1
91,32,35,1
92,33,320,1
93,33,46,1
94,33,821,1
95,33,832,1
96,33,155,1
97,33,248,1
98,33,51,1
99,33,254,1
100,33,38,1
101,33,700,1
102,33,333,1
103,33,354,1
104,33,745,1
105,33,195,1
106,33,27,1
107,33,309,1
108,33,722,1
109,33,227,1
110,33,422,1
111,33,37,1
112,35,155,1
113,35,257,1
114,35,147,1
115,35,32,1
116,35,60,1
117,35,142,1
118,35,110,1
119,35,611,1
120,36,25,1
121,37,298,1
122,38,19,1
123,38,881,1
124,38,195,1
125,38,257,1
126,38,167,1
127,38,162,1
128,38,888,1
129,38,221,1
130,38,706,1
131,38,387,1
132,38,872,1
133,38,37,1
134,38,557,1
135,38,36,1
136,38,191,1
137,38,323,1
138,38,359,1
139,38,806,1
140,38,481,1
141,38,863,1
142,38,259,1
143,38,39,1
144,38,129,1
145,38,43,1
146,38,214,1
147,38,168,1
148,38,392,1
149,38,826,1
150,38,734,1
151,38,134,1
152,38,256,1
153,38,111,1
154,38,311,1
155,38,783,1
156,38,440,1
157,39,68,1
158,40,142,1
159,40,205,1
160,40,355,1
161,42,246,1
162,42,127,1
163,42,514,1
164,42,37,1
165,42,667,1
166,42,78,1
167,42,162,1
168,42,691,1
169,42,351,1
170,42,66,1
171,42,777,1
172,42,159,1
173,42,244,1
174,42,18,1
175,42,32,1
176,42,516,1
177,42,847,1
178,42,7,1
179,42,49,1
180,42,188,1
181,42,190,1
182,42,846,1
183,42,458,1
184,42,258,1
185,42,230,1
186,42,39,1
187,42,109,1
188,42,712,1
189,42,739,1
190,42,678,1
191,42,423,1
192,42,322,1
193,42,794,1
194,42,882,1
195,42,633,1
196,42,346,1
197,42,792,1
198,42,154,1
199,42,358,1
200,42,331,1
201,42,25,1
202,42,256,1
203,42,168,1
204,42,54,1
205,42,56,1
206,42,38,1
207,42,340,1
208,42,454,1
209,42,707,1
210,42,310,1
211,42,337,1
212,42,492,1
213,42,134,1
214,42,222,1
215,42,768,1
216,42,181,1
217,42,600,1
218,42,260,1
219,42,100,1
220,42,40,1
221,42,555,1
222,42,585,1
223,42,317,1
224,42,386,1
225,42,239,1
226,42,462,1
227,42,193,1
228,42,132,1
229,42,172,1
230,42,836,1
231,42,344,1
232,42,530,1
233,42,502,1
234,42,459,1
235,42,19,1
236,42,55,1
237,42,240,1
238,42,564,1
239,42,291,1
240,42,249,1
241,42,447,1
242,42,820,1
243,42,227,1
244,42,703,1
245,42,234,1
246,42,366,1
247,42,626,1
248,42,149,1
249,42,96,1
250,42,139,1
251,42,150,1
252,42,501,1
253,42,70,1
254,42,270,1
255,42,486,1
256,42,604,1
257,42,819,1
258,42,324,1
259,42,383,1
260,42,111,1
261,42,185,1
262,42,76,1
263,42,394,1
264,42,347,1
265,42,354,1
266,42,280,1
267,42,616,1
268,42,368,1
269,42,301,1
270,42,886,1
271,42,165,1
272,42,148,1
273,43,229,1
274,43,14,1
275,43,243,1
276,43,171,1
277,43,122,1
278,43,358,1
279,43,710,1
280,43,719,1
281,43,123,1
282,43,167,1
283,43,625,1
284,43,66,1
285,43,405,1
286,43,285,1
287,43,253,1
288,43,270,1
289,43,310,1
290,43,344,1
291,43,19,1
292,43,236,1
293,43,176,1
294,43,763,1
295,43,175,1
296,43,146,1
297,43,272,1
298,43,37,1
299,43,132,1
300,43,408,1
301,43,62,1
302,43,214,1
303,43,446,1
304,43,210,1
305,43,320,1
306,43,387,1
307,43,11,1
308,43,677,1
309,43,36,1
310,45,324,1
311,47,18,1
312,47,247,1
313,48,10,1
314,49,142,1
315,49,332,1
316,49,387,1
317,49,318,1
318,49,179,1
319,49,363,1
320,49,139,1
321,52,388,1
322,54,192,1
323,54,70,1
324,54,324,1
325,54,237,1
326,54,368,1
327,54,534,1
328,54,459,1
329,54,49,1
330,54,614,1
331,54,217,1
332,54,175,1
333,54,657,1
334,54,404,1
335,55,35,1
336,57,142,1
337,57,59,1
338,57,176,1
339,58,372,1
340,59,788,1
341,59,298,1
342,59,62,1
343,59,376,1
344,59,514,1
345,59,737,1
346,59,351,1
347,59,66,1
348,59,162,1
349,59,213,1
350,59,319,1
351,59,11,1
352,59,355,1
353,59,596,1
354,59,307,1
355,59,35,1
356,59,165,1
357,59,398,1
358,59,107,1
359,59,503,1
360,59,233,1
361,59,390,1
362,59,57,1
363,59,901,1
364,59,241,1
365,59,441,1
366,59,341,1
367,59,710,1
368,59,43,1
369,59,7,1
370,59,306,1
371,59,167,1
372,59,125,1
373,59,76,1
374,59,555,1
375,59,363,1
376,60,285,1
377,60,874,1
378,60,670,1
379,60,130,1
380,60,600,1
381,60,320,1
382,60,262,1
383,60,694,1
384,60,168,1
385,60,344,1
386,60,299,1
387,60,297,1
388,60,62,1
389,60,766,1
390,60,154,1
391,60,514,1
392,60,364,1
393,60,847,1
394,60,363,1
395,60,440,1
396,60,356,1
397,60,192,1
398,60,386,1
399,60,222,1
400,60,227,1
401,60,627,1
402,60,448,1
403,60,212,1
404,60,55,1
405,60,298,1
406,60,374,1
407,60,370,1
408,60,383,1
409,60,611,1
410,60,93,1
411,60,433,1
412,60,875,1
413,60,195,1
414,60,430,1
415,60,251,1
416,60,668,1
417,60,358,1
418,60,504,1
419,60,628,1
420,60,307,1
421,60,813,1
422,60,761,1
423,60,267,1
424,60,36,1
425,60,550,1
426,60,442,1
427,60,247,1
428,60,751,1
429,60,76,1
430,60,151,1
431,60,696,1
432,60,198,1
433,60,537,1
434,60,461,1
435,60,474,1
436,60,173,1
437,60,202,1
438,60,83,1
439,60,172,1
440,60,480,1
441,60,580,1
442,60,301,1
443,60,589,1
444,60,289,1
445,60,648,1
446,60,862,1
447,60,136,1
448,60,746,1
449,60,120,1
450,60,665,1
451,60,427,1
452,60,272,1
453,60,180,1
454,60,647,1
455,60,401,1
456,60,802,1
457,60,259,1
458,60,652,1
459,61,394,1
460,61,274,1
461,61,227,1
462,61,123,1
463,61,102,1
464,61,797,1
465,61,167,1
466,61,374,1
467,61,45,1
468,62,264,1
469,62,387,1
470,62,520,1
471,62,67,1
472,62,64,1
473,62,167,1
474,62,179,1
475,62,384,1
476,62,255,1
477,62,171,1
478,62,134,1
479,62,608,1
480,62,270,1
481,62,809,1
482,62,128,1
483,62,142,1
484,62,355,1
485,62,213,1
486,62,206,1
487,62,33,1
488,62,169,1
489,62,294,1
490,62,398,1
491,62,205,1
492,62,709,1
493,62,241,1
494,62,324,1
495,62,38,1
496,62,230,1
497,62,95,1
498,62,630,1
499,62,883,1
500,62,317,1
501,62,370,1
502,62,753,1
503,62,475,1
504,66,59,1
505,67,237,1
506,68,39,1
507,68,358,1
508,69,398,1
509,71,355,1
510,71,127,1
511,71,387,1
512,71,388,1
513,74,403,1
514,76,812,1
515,77,154,1
516,78,270,1
517,82,379,1
518,82,142,1
519,82,856,1
520,84,384,1
521,85,403,1
522,88,778,1
523,88,72,1
524,88,885,1
525,88,802,1
526,88,852,1
527,88,490,1
528,88,665,1
529,88,174,1
530,90,162,1
531,93,514,1
532,93,200,1
533,93,226,1
534,93,82,1
535,93,134,1
536,93,608,1
537,93,179,1
538,93,119,1
539,93,430,1
540,93,99,1
541,93,454,1
542,96,318,1
543,97,273,1
544,97,839,1
545,97,481,1
546,98,185,1
547,100,21,1
548,100,301,1
549,100,223,1
550,100,457,1
551,100,46,1
552,100,556,1
553,100,367,1
554,100,600,1
555,100,431,1
556,100,161,1
557,100,412,1
558,100,107,1
559,100,749,1
560,100,336,1
561,100,525,1
562,100,346,1
563,100,165,1
564,100,739,1
565,100,870,1
566,100,549,1
567,100,606,1
568,100,121,1
569,102,215,1
570,102,275,1
571,102,11,1
572,105,35,1
573,105,387,1
574,105,513,1
575,105,822,1
576,105,142,1
577,105,597,1
578,105,549,1
579,105,197,1
580,105,162,1
581,105,11,1
582,105,359,1
583,105,567,1
584,105,143,1
585,105,884,1
586,105,850,1
587,105,323,1
588,105,598,1
589,105,191,1
590,105,256,1
591,105,351,1
592,105,54,1
593,105,427,1
594,105,783,1
595,105,168,1
596,105,104,1
597,105,772,1
598,105,120,1
599,105,257,1
600,105,134,1
601,105,111,1
602,105,59,1
603,105,599,1
604,105,258,1
605,105,37,1
606,105,366,1
607,105,734,1
608,105,806,1
609,105,198,1
610,105,793,1
611,105,270,1
612,105,541,1
613,105,195,1
614,105,221,1
615,105,220,1
616,105,572,1
617,105,435,1
618,105,214,1
619,105,872,1
620,105,863,1
621,105,347,1
622,105,147,1
623,105,826,1
624,105,157,1
625,105,372,1
626,105,440,1
627,105,36,1
628,105,433,1
629,106,804,1
630,107,275,1
631,107,102,1
632,107,59,1
633,110,469,1
634,110,147,1
