#ID,TF,index
0,377,371
1,377,252
2,377,226
3,221,347
4,221,105
5,221,252
6,221,572
7,110,662
8,173,1262
9,173,270
10,173,226
11,218,252
12,218,226
13,106,252
14,347,3
15,347,1019
16,347,105
17,347,371
18,347,5
19,347,270
20,347,117
21,347,281
22,347,108
23,347,515
24,347,392
25,347,844
26,347,252
27,347,89
28,347,78
29,347,1103
30,3,396
31,333,1354
32,86,105
33,434,1108
34,434,371
35,434,1432
36,434,858
37,66,690
38,66,590
39,66,662
40,66,716
41,66,1097
42,66,252
43,66,1136
44,66,1006
45,137,1118
46,137,270
47,137,877
48,137,18
49,445,1354
50,26,347
51,26,252
52,26,1276
53,300,252
54,367,1131
55,367,201
56,367,958
57,367,124
58,367,1332
59,367,956
60,367,176
61,367,306
62,367,924
63,367,528
64,367,1190
65,367,787
66,367,1318
67,214,347
68,214,3
69,270,249
70,270,1262
71,270,550
72,270,66
73,270,89
74,270,435
75,270,797
76,286,450
77,286,215
78,286,1131
79,286,184
80,286,591
81,286,1347
82,286,843
83,286,226
84,320,371
85,320,18
86,320,843
87,336,799
88,336,1019
89,336,681
90,336,1309
91,336,371
92,336,781
93,336,67
94,210,1290
95,210,450
96,210,347
97,210,1019
98,210,105
99,210,356
100,210,252
101,210,781
102,210,396
103,210,880
104,43,252
105,261,105
106,281,891
107,281,173
108,281,105
109,281,371
110,281,117
111,281,1212
112,281,716
113,281,504
114,281,1387
115,281,1318
116,281,365
117,281,226
118,368,450
119,368,371
120,364,3
121,275,252
122,275,146
123,312,552
124,353,461
125,353,371
126,353,1131
127,353,281
128,353,958
129,353,205
130,353,226
131,425,713
132,447,353
133,405,1170
134,405,669
135,405,347
136,405,105
137,405,371
138,405,184
139,405,1171
140,405,252
141,405,572
142,405,223
143,405,843
144,405,226
145,268,105
146,268,371
147,111,405
148,85,347
149,85,111
150,201,1275
151,201,347
152,201,1432
153,201,252
154,201,1103
155,266,539
156,266,1432
157,266,306
158,266,296
159,266,1103
160,319,333
161,319,86
162,319,1019
163,319,681
164,319,735
165,319,252
166,34,1131
167,34,281
168,34,207
169,355,371
170,355,252
171,40,942
172,151,539
173,151,35
174,328,124
175,328,877
176,328,843
177,374,266
178,374,124
179,374,877
180,14,89
181,356,210
182,184,1152
183,184,450
184,184,3
185,184,105
186,184,371
187,184,286
188,184,117
189,184,281
190,184,572
191,184,18
192,184,166
193,184,843
194,184,1006
195,184,1103
196,184,226
197,389,662
198,389,371
199,389,286
200,389,252
201,389,146
202,199,312
203,163,371
204,163,360
205,163,226
206,180,347
207,180,226
208,414,572
209,414,1103
210,102,1108
211,102,690
212,102,539
213,102,794
214,102,1275
215,102,1152
216,102,371
217,102,1254
218,102,252
219,102,178
220,73,340
221,437,56
222,56,450
223,128,690
224,128,371
225,128,572
226,128,226
227,13,1019
228,13,1309
229,13,1243
230,13,371
231,13,1225
232,13,226
233,13,241
234,332,662
235,392,371
236,392,194
237,124,1152
238,124,173
239,124,347
240,124,651
241,124,662
242,124,105
243,124,371
244,124,270
245,124,117
246,124,353
247,124,405
248,124,1212
249,124,111
250,124,1120
251,124,252
252,124,924
253,124,178
254,124,141
255,124,1318
256,124,1103
257,124,226
258,422,105
259,422,371
260,422,1212
261,422,111
262,422,44
263,6,330
264,91,450
265,91,1019
266,91,105
267,91,1131
268,91,34
269,96,173
270,96,105
271,96,371
272,96,515
273,96,469
274,96,804
275,96,247
276,165,105
277,360,124
278,423,105
279,423,252
280,252,173
281,252,1019
282,252,105
283,252,1243
284,252,371
285,252,66
286,252,791
287,252,822
288,252,1131
289,252,1427
290,252,319
291,252,40
292,252,389
293,252,316
294,252,80
295,252,1171
296,252,572
297,252,804
298,252,843
299,252,412
300,252,811
301,252,1213
302,252,226
303,252,866
304,146,450
305,146,371
306,146,193
307,146,389
308,146,180
309,146,316
310,146,115
311,146,359
312,146,217
313,146,219
314,146,38
315,146,118
316,146,441
317,146,423
318,146,226
319,30,690
320,30,105
321,30,434
322,30,40
323,30,151
324,30,683
325,30,1236
326,30,413
327,30,1148
328,30,18
329,16,371
330,256,371
331,256,466
332,427,714
333,75,105
334,75,371
335,75,286
336,75,211
337,75,954
338,103,18
339,103,178
340,176,794
341,176,1275
342,176,1152
343,302,800
344,302,347
345,302,105
346,302,1243
347,302,371
348,302,353
349,302,1006
350,302,109
