G0	BMPR1A
G1	HNRNPUL1
G2	ZNF101
G3	BRCA2
G4	RUVBL1
G5	DDB2
G6	KDM4C
G7	BCOR
G8	POLR2D
G9	SERTAD3
G10	NCOA6
G11	ZNHIT3
G12	RUVBL2
G13	IRF1
G14	GTF2I
G15	SRSF2
G16	NCOA1
G17	PTMA
G18	POU5F1
G19	MED21
G20	TRERF1
G21	ZHX1
G22	TGIF1
G23	GTF2F2
G24	PIAS2
G25	SMARCE1
G26	CHD8
G27	ZNF227
G28	TARBP2
G29	SRSF3
G30	NANOG
G31	RFX5
G32	NR1I3
G33	EHMT1
G34	FOXO1
G35	DAB2
G36	NFATC2
G37	HIF1AN
G38	MCM6
G39	SMARCD2
G40	GATA4
G41	ZFP36
G42	PMS1
G43	E2F5
G44	SOX4
G45	MEIS3
G46	SUV39H2
G47	YEATS4
G48	UHRF1
G49	GTF2H3
G50	RUNX1T1
G51	THRAP3
G52	ZNF644
G53	TADA3
G54	DOT1L
G55	MYBBP1A
G56	ILF3
G57	POLR2I
G58	RNF4
G59	HINFP
G60	CRABP2
G61	RBBP7
G62	CSDE1
G63	SMARCC1
G64	TAF6
G65	RFC1
G66	CEBPA
G67	TFE3
G68	TTF2
G69	ETV5
G70	PLAGL2
G71	MATR3
G72	RNPS1
G73	ID3
G74	PDCD11
G75	NPM1
G76	ZNF239
G77	THAP1
G78	STAT2
G79	GTF3C5
G80	MAPK1
G81	POU2F1
G82	TCEB1
G83	SRSF10
G84	RNF19A
G85	FOSL2
G86	BTG2
G87	PITX1
G88	HNRNPD
G89	SIRT1
G90	TEAD4
G91	KLF5
G92	DEK
G93	JMJD1C
G94	LDB2
G95	ZNF208
G96	KLF6
G97	ORC2
G98	CNOT7
G99	CREB3L4
G100	RFXANK
G101	THAP11
G102	HNF4A
G103	NR2F2
G104	SEC14L2
G105	CCND1
G106	BIN1
G107	SSBP3
G108	HMGA2
G109	SRF
G110	APEX1
G111	FOSL1
G112	ZNF287
G113	SALL3
G114	RBMX
G115	MCM2
G116	ZNF232
G117	EGFR
G118	MCM7
G119	TFDP2
G120	FOSB
G121	EIF5B
G122	FOXP1
G123	RFX6
G124	JUN
G125	DNAJC2
G126	FXR1
G127	ERCC8
G128	ING1
G129	ZNF638
G130	CREB3L3
G131	BPTF
G132	E2F7
G133	ZSCAN21
G134	MED14
G135	TBX3
G136	KNTC1
G137	CEBPD
G138	CDCA7L
G139	ZNF581
G140	POLR2K
G141	RARG
G142	XRCC5
G143	ZRANB2
G144	THRB
G145	PEG3
G146	MYCN
G147	MMS19
G148	TGIF2
G149	SALL2
G150	PIAS3
G151	GATA6
G152	SALL4
G153	PRDM14
G154	ZNF397
G155	HIST1H1B
G156	ZNF74
G157	ABT1
G158	CREG1
G159	NFYB
G160	EWSR1
G161	F2
G162	WDR5
G163	HIPK2
G164	HNRNPAB
G165	LIN28A
G166	PSIP1
G167	GTF3C4
G168	AES
G169	IVNS1ABP
G170	SSBP2
G171	TRIP13
G172	EEF1A1
G173	ATF3
G174	GATA5
G175	COPS2
G176	NR2F6
G177	NRIP1
G178	PPARA
G179	AEBP2
G180	HMGA1
G181	POLR1B
G182	RBBP4
G183	SRSF6
G184	HDAC1
G185	PAWR
G186	JARID2
G187	TCF7L1
G188	XRCC6
G189	TFDP1
G190	RNF2
G191	SNRPB
G192	POLR2G
G193	GRHL1
G194	SP100
G195	ZNF567
G196	RBM39
G197	ZFHX3
G198	PITX2
G199	HIF3A
G200	TIMELESS
G201	FOXA1
G202	CBX3
G203	CXXC1
G204	RBPJ
G205	PARP1
G206	ASCC3
G207	PDGFA
G208	MYCBP
G209	WBP11
G210	E2F4
G211	TAF1A
G212	DDX54
G213	ELL2
G214	CTBP1
G215	BMP2
G216	ZNF398
G217	MCM4
G218	BDP1
G219	MCM5
G220	ING5
G221	AHR
G222	DPF2
G223	POLR3D
G224	HMGXB4
G225	NUPR1
G226	TP53
G227	AFF4
G228	MAF
G229	YBX1
G230	NONO
G231	SMARCA4
G232	YAF2
G233	POLR2F
G234	POLR2L
G235	MIS18BP1
G236	AEBP1
G237	ZBTB3
G238	ESPL1
G239	EYA3
G240	TAF11
G241	TRIM22
G242	SKIL
G243	ZFP64
G244	ZNF91
G245	HTATSF1
G246	TRIM27
G247	PTTG1
G248	PDLIM7
G249	ANKRD1
G250	GABPB1
G251	TOPORS
G252	MYC
G253	HMGN2
G254	DRAP1
G255	SMAD2
G256	NFIB
G257	HIST1H1E
G258	TFAP2C
G259	KAT7
G260	COPS5
G261	E2F8
G262	ELAVL2
G263	XBP1
G264	SP4
G265	BCL11A
G266	FOXA2
G267	ARID3B
G268	FHL2
G269	TCFL5
G270	DDIT3
G271	VEZF1
G272	ZIC3
G273	TARDBP
G274	TCEB3
G275	ENO1
G276	CHAF1A
G277	ZNF589
G278	GTF2H2
G279	ZNF670
