,TF,Target,Label
0,0,85,1
1,0,139,1
2,0,77,1
3,3,104,1
4,3,169,1
5,3,732,1
6,3,287,1
7,3,34,1
8,4,290,1
9,4,231,1
10,6,446,1
11,9,389,1
12,9,327,1
13,9,225,1
14,10,193,1
15,14,395,1
16,15,287,1
17,15,389,1
18,15,184,1
19,15,53,1
20,15,222,1
21,15,256,1
22,15,377,1
23,15,163,1
24,15,244,1
25,15,262,1
26,19,134,1
27,21,354,1
28,21,833,1
29,21,184,1
30,23,608,1
31,23,395,1
32,23,208,1
33,25,411,1
34,25,401,1
35,25,378,1
36,28,447,1
37,28,245,1
38,29,391,1
39,29,785,1
40,29,287,1
41,30,458,1
42,30,530,1
43,30,186,1
44,30,673,1
45,30,562,1
46,30,815,1
47,30,679,1
48,30,171,1
49,30,318,1
50,30,800,1
51,30,615,1
52,30,854,1
53,30,118,1
54,30,421,1
55,30,616,1
56,30,323,1
57,30,451,1
58,30,559,1
59,30,439,1
60,30,627,1
61,30,25,1
62,30,88,1
63,30,515,1
64,30,72,1
65,30,630,1
66,30,545,1
67,30,287,1
68,30,746,1
69,30,794,1
70,30,660,1
71,30,582,1
72,30,814,1
73,30,638,1
74,30,368,1
75,30,445,1
76,30,864,1
77,30,913,1
78,30,151,1
79,30,495,1
80,30,314,1
81,30,377,1
82,30,240,1
83,30,339,1
84,30,300,1
85,30,601,1
86,30,353,1
87,30,36,1
88,30,887,1
89,30,263,1
90,30,11,1
91,30,37,1
92,30,122,1
93,30,947,1
94,30,571,1
95,30,416,1
96,30,154,1
97,30,651,1
98,30,730,1
99,30,399,1
100,30,102,1
101,30,894,1
102,30,434,1
103,30,276,1
104,30,64,1
105,30,143,1
106,30,83,1
107,30,846,1
108,30,334,1
109,30,645,1
110,30,509,1
111,30,116,1
112,30,426,1
113,30,778,1
114,30,882,1
115,30,641,1
116,30,67,1
117,30,311,1
118,30,432,1
119,30,518,1
120,30,553,1
121,30,152,1
122,30,762,1
123,30,527,1
124,30,176,1
125,30,21,1
126,30,869,1
127,30,851,1
128,31,371,1
129,31,130,1
130,32,341,1
131,33,317,1
132,34,321,1
133,34,393,1
134,34,890,1
