#ID,Gene,index
0,CNOT6L,0
1,XBP1,1
2,MBD2,2
3,SMARCA5,3
4,HNRNPAB,4
5,ZMYND11,5
6,CREBBP,6
7,MTA2,7
8,TOX4,8
9,LDB1,9
10,HAX1,10
11,SNRPB,11
12,TSG101,12
13,PBRM1,13
14,HCFC1,14
15,JUP,15
16,GTF2A2,16
17,NFKB1,17
18,SUPT5H,18
19,ZFP91,19
20,CNOT2,20
21,NCOA4,21
22,ZFP36L1,22
23,IRF2,23
24,EHMT1,24
25,SRSF6,25
26,DNMT1,26
27,RUNX1,27
28,NSD1,28
29,CTBP1,29
30,SKIL,30
31,JMJD1C,31
32,ZFML,32
33,POLR2C,33
34,IRF5,34
35,TRIM28,35
36,GTF2F1,36
37,DDB1,37
38,MED8,38
39,MEF2A,39
40,KDM5C,40
41,PER1,41
42,CHD7,42
43,CXXC1,43
44,EZH2,44
45,CHD4,45
46,MDM2,46
47,FOXN2,47
48,CIC,48
49,SSRP1,49
50,DAB2,50
51,FXR1,51
52,NCOR2,52
53,STAT3,53
54,ZEB2,54
55,EHMT2,55
56,IRF1,56
57,TSC22D4,57
58,ELF1,58
59,MED15,59
60,TCERG1,60
61,TOB1,61
62,THRAP3,62
63,AFF4,63
64,BACH1,64
65,POLR1D,65
66,HCLS1,66
67,HMG20A,67
68,MLL3,68
69,MCM4,69
70,CSDE1,70
71,CENPB,71
72,NME2,72
73,PHB2,73
74,TCEB1,74
75,NFKBIZ,75
76,IVNS1ABP,76
77,ZFHX3,77
78,VDR,78
79,MED21,79
80,POLR2A,80
81,GTF2I,81
82,SRSF1,82
83,BATF3,83
84,POLR2I,84
85,ILF3,85
86,DAZAP2,86
87,AIP,87
88,LASS5,88
89,EIF5B,89
90,KPNA2,90
91,BHLHE40,91
92,AKT1,92
93,SUZ12,93
94,TLR4,94
95,GTF2B,95
96,FOS,96
97,HIST1H1C,97
98,HMGB2,98
99,BTG1,99
100,ZMYM2,100
101,DNMT3A,101
102,ARL6IP5,102
103,HBP1,103
104,KDM6B,104
105,TUBA1A,105
106,HOPX,106
107,ETS2,107
108,ARID1B,108
109,RLIM,109
