,TF,Target,Label
0,0,850,1
1,0,1248,1
2,1,941,1
3,1,259,1
4,2,151,1
5,2,240,1
6,2,596,1
7,2,1136,1
8,3,279,1
9,4,1075,1
10,5,144,1
11,6,314,1
12,6,53,1
13,6,136,1
14,6,95,1
15,6,971,1
16,6,1026,1
17,6,110,1
18,6,454,1
19,6,300,1
20,6,107,1
21,6,41,1
22,6,178,1
23,6,272,1
24,6,129,1
25,6,200,1
26,6,362,1
27,6,17,1
28,6,681,1
29,6,288,1
30,6,1289,1
31,6,201,1
32,7,312,1
33,7,151,1
34,7,596,1
35,7,243,1
36,7,27,1
37,9,27,1
38,9,141,1
39,10,66,1
40,11,248,1
41,12,1263,1
42,12,1026,1
43,12,922,1
44,14,985,1
45,17,153,1
46,17,585,1
47,17,1253,1
48,17,174,1
49,17,239,1
50,17,96,1
51,17,860,1
52,17,387,1
53,17,218,1
54,17,863,1
55,17,636,1
56,17,1221,1
57,17,1239,1
58,17,1099,1
59,17,1026,1
60,17,144,1
61,17,1170,1
62,17,92,1
63,17,75,1
64,17,41,1
65,17,785,1
66,17,425,1
67,17,280,1
68,17,967,1
69,17,1077,1
70,17,110,1
71,17,574,1
72,17,240,1
73,17,1145,1
74,17,112,1
75,17,111,1
76,17,94,1
77,18,152,1
78,18,320,1
79,18,84,1
80,18,237,1
81,18,209,1
82,18,36,1
83,18,315,1
84,18,212,1
85,18,140,1
86,18,208,1
87,20,0,1
88,20,850,1
89,20,263,1
90,23,833,1
91,23,1239,1
92,23,863,1
93,23,493,1
94,23,56,1
95,23,323,1
96,23,332,1
97,23,539,1
98,23,898,1
99,23,1269,1
100,23,61,1
101,23,599,1
102,23,34,1
103,23,593,1
104,23,829,1
105,23,112,1
106,23,973,1
107,25,122,1
108,25,524,1
109,25,36,1
110,25,248,1
111,25,82,1
112,25,669,1
113,25,1134,1
114,25,727,1
115,25,131,1
116,25,208,1
117,25,1040,1
118,26,169,1
119,26,697,1
120,26,1026,1
121,26,127,1
122,26,325,1
123,26,159,1
124,26,1263,1
125,26,44,1
126,26,35,1
127,27,239,1
128,29,27,1
129,29,96,1
130,29,311,1
131,29,243,1
132,30,1263,1
133,30,110,1
134,33,206,1
135,33,72,1
136,34,23,1
137,34,1046,1
138,34,927,1
139,34,314,1
140,34,860,1
141,34,588,1
142,34,56,1
143,34,332,1
144,35,118,1
145,35,224,1
146,35,115,1
147,35,169,1
148,36,95,1
149,36,223,1
150,36,283,1
151,36,82,1
152,36,189,1
153,36,256,1
154,36,237,1
155,36,669,1
156,36,74,1
157,36,131,1
158,36,84,1
159,36,185,1
160,36,212,1
161,36,727,1
162,36,152,1
163,36,1040,1
164,39,73,1
165,39,276,1
166,39,83,1
167,39,142,1
168,39,484,1
169,39,199,1
170,39,86,1
171,39,546,1
172,39,880,1
173,39,96,1
174,39,1174,1
175,39,979,1
176,39,401,1
177,39,588,1
178,39,109,1
179,39,106,1
180,39,838,1
181,39,1274,1
182,39,1222,1
183,39,244,1
184,39,442,1
185,39,976,1
186,39,492,1
187,41,197,1
188,41,1263,1
189,41,652,1
190,41,91,1
191,41,146,1
192,42,276,1
193,42,161,1
194,42,175,1
195,42,216,1
196,43,786,1
197,44,241,1
198,44,697,1
199,44,110,1
200,44,159,1
201,44,93,1
202,44,243,1
203,44,312,1
204,44,325,1
205,44,150,1
206,44,101,1
207,45,146,1
208,45,162,1
209,45,181,1
210,52,174,1
211,53,126,1
212,53,302,1
213,53,144,1
214,53,314,1
215,53,263,1
216,53,522,1
217,53,722,1
218,53,662,1
219,53,197,1
220,53,303,1
221,53,108,1
222,53,1123,1
223,53,960,1
224,53,91,1
225,53,384,1
226,53,309,1
227,53,885,1
228,53,296,1
229,53,313,1
230,53,884,1
231,53,947,1
232,53,261,1
233,53,971,1
234,53,517,1
235,53,1049,1
236,53,989,1
237,53,925,1
238,53,636,1
239,53,251,1
240,53,899,1
241,53,391,1
242,53,220,1
243,53,110,1
244,53,1126,1
245,53,1026,1
246,53,766,1
247,53,164,1
248,53,178,1
249,53,92,1
250,53,80,1
251,55,228,1
252,55,101,1
253,56,692,1
254,56,863,1
255,56,634,1
256,56,1014,1
257,56,107,1
258,56,973,1
259,56,1288,1
260,56,112,1
261,56,332,1
262,56,323,1
263,56,1239,1
264,56,802,1
265,56,813,1
266,56,245,1
267,56,34,1
268,56,164,1
269,56,77,1
270,56,1026,1
271,56,1269,1
272,56,244,1
273,56,53,1
274,56,334,1
275,56,1020,1
276,58,1019,1
277,59,792,1
278,59,153,1
279,59,79,1
280,59,62,1
281,59,620,1
282,59,196,1
283,59,260,1
284,61,192,1
285,62,833,1
286,62,275,1
287,62,260,1
288,62,239,1
289,64,120,1
290,64,153,1
291,64,921,1
292,64,1077,1
293,64,1126,1
294,64,838,1
295,64,716,1
296,64,847,1
297,64,722,1
298,64,140,1
299,64,221,1
300,64,1167,1
301,64,868,1
302,64,1179,1
303,64,473,1
304,64,304,1
305,64,739,1
306,64,585,1
307,64,892,1
308,64,242,1
309,64,910,1
310,64,433,1
311,64,1229,1
312,64,717,1
313,64,350,1
314,65,1172,1
315,66,1145,1
316,66,10,1
317,66,1281,1
318,66,895,1
319,69,159,1
320,69,44,1
321,69,293,1
322,69,26,1
323,69,1013,1
324,69,386,1
325,69,98,1
326,72,80,1
327,72,206,1
328,72,1200,1
329,72,164,1
330,72,140,1
331,72,33,1
332,72,209,1
333,72,84,1
334,72,212,1
335,73,243,1
336,74,379,1
337,74,208,1
338,74,189,1
339,74,223,1
340,74,209,1
341,74,152,1
342,74,140,1
343,74,212,1
344,74,36,1
345,74,320,1
346,75,242,1
347,75,17,1
348,75,764,1
349,75,127,1
350,78,218,1
351,78,275,1
352,78,220,1
353,78,1042,1
354,79,620,1
355,79,792,1
356,79,275,1
357,79,228,1
358,79,314,1
359,79,196,1
360,79,153,1
361,80,1172,1
362,80,320,1
363,80,44,1
364,80,216,1
365,81,96,1
366,81,643,1
367,81,178,1
368,82,60,1
369,82,209,1
370,82,253,1
371,82,84,1
372,82,669,1
373,82,131,1
374,82,1015,1
375,82,36,1
376,82,152,1
377,82,225,1
378,82,185,1
379,82,212,1
380,83,226,1
381,84,237,1
382,84,189,1
383,84,72,1
384,84,206,1
385,84,212,1
386,84,36,1
387,84,669,1
388,84,122,1
389,84,727,1
390,84,18,1
391,84,208,1
392,84,297,1
393,84,283,1
394,84,524,1
395,84,1134,1
396,84,82,1
397,84,74,1
398,84,320,1
399,84,298,1
400,84,1040,1
401,87,158,1
402,88,407,1
403,89,381,1
404,89,430,1
405,89,500,1
406,89,850,1
407,89,988,1
408,89,606,1
409,89,497,1
410,89,802,1
411,89,853,1
412,89,1048,1
413,89,552,1
414,89,1299,1
415,89,915,1
416,91,243,1
417,93,177,1
418,93,312,1
419,93,306,1
420,93,44,1
421,95,78,1
422,95,718,1
423,95,6,1
424,95,283,1
425,95,209,1
426,95,212,1
427,95,122,1
428,95,206,1
429,96,353,1
430,96,722,1
431,96,48,1
432,96,172,1
433,96,917,1
434,96,138,1
435,96,921,1
436,96,927,1
437,96,882,1
438,96,686,1
439,96,1282,1
440,96,883,1
441,96,696,1
442,96,539,1
443,96,303,1
444,96,412,1
445,96,262,1
446,96,332,1
447,96,739,1
448,96,1063,1
449,96,702,1
450,96,81,1
451,96,112,1
452,96,803,1
453,96,995,1
454,96,164,1
455,96,764,1
456,96,444,1
457,96,278,1
458,96,1263,1
459,96,181,1
460,96,64,1
461,96,119,1
462,96,1121,1
463,96,971,1
464,96,144,1
465,96,372,1
466,96,91,1
467,96,216,1
468,96,3,1
469,96,108,1
470,96,1111,1
471,96,246,1
472,96,850,1
473,96,312,1
474,98,293,1
475,98,325,1
476,98,205,1
477,98,218,1
478,99,192,1
479,100,129,1
480,101,55,1
481,101,971,1
482,101,697,1
483,101,26,1
484,107,274,1
485,107,46,1
486,107,303,1
487,107,119,1
488,107,240,1
489,107,6,1
490,107,278,1
491,108,216,1
492,110,662,1
493,110,1136,1
494,110,104,1
495,110,216,1
496,110,1013,1
497,110,240,1
498,110,639,1
499,110,1121,1
500,110,27,1
501,110,6,1
502,110,46,1
503,110,153,1
504,110,722,1
505,110,816,1
506,110,325,1
507,110,616,1
508,110,317,1
509,110,30,1
510,110,172,1
511,110,285,1
512,110,1229,1
513,110,884,1
514,110,96,1
515,110,267,1
516,110,313,1
517,110,855,1
518,110,171,1
519,110,151,1
520,110,319,1
521,110,26,1
522,110,728,1
523,110,69,1
524,110,644,1
525,110,309,1
526,110,395,1
527,110,1263,1
528,110,200,1
529,110,1244,1
530,110,112,1
531,110,164,1
532,110,603,1
533,110,531,1
534,110,107,1
535,110,55,1
536,110,1067,1
537,110,1042,1
538,110,636,1
539,110,1026,1
540,110,1227,1
541,110,1002,1
542,110,919,1
543,110,202,1
544,112,323,1
545,112,968,1
546,112,113,1
547,112,96,1
548,112,240,1
549,112,1019,1
550,112,417,1
551,112,160,1
552,112,384,1
553,112,580,1
554,112,970,1
555,112,493,1
556,112,620,1
557,112,46,1
558,112,960,1
559,112,971,1
560,112,775,1
561,112,158,1
562,112,241,1
563,112,314,1
564,112,332,1
565,112,78,1
566,112,531,1
567,112,220,1
568,112,296,1
569,112,313,1
570,112,53,1
571,112,144,1
572,112,275,1
573,112,989,1
574,112,334,1
575,112,34,1
576,112,655,1
577,112,319,1
578,112,1046,1
579,112,1170,1
580,112,522,1
581,112,164,1
582,112,23,1
583,112,751,1
584,112,7,1
585,112,1263,1
586,112,261,1
587,112,1310,1
588,114,122,1
589,114,1172,1
590,114,72,1
591,114,325,1
592,115,35,1
593,115,27,1
594,116,192,1
595,116,1248,1
596,118,830,1
597,118,968,1
598,118,368,1
599,118,1122,1
600,118,1261,1
601,118,161,1
602,118,39,1
603,118,982,1
604,118,127,1
605,118,1159,1
606,118,531,1
607,118,1024,1
608,118,649,1
609,118,525,1
610,118,257,1
611,118,251,1
612,118,560,1
613,118,643,1
614,118,32,1
615,118,174,1
616,118,694,1
617,118,146,1
618,118,228,1
619,118,1252,1
620,118,1075,1
621,118,412,1
622,118,1017,1
623,118,28,1
624,118,1281,1
625,118,425,1
626,118,276,1
627,118,77,1
628,118,402,1
629,118,1054,1
630,118,406,1
631,118,178,1
632,118,1178,1
633,118,838,1
634,118,1028,1
635,118,867,1
636,118,1157,1
637,118,81,1
638,118,641,1
639,118,97,1
640,118,759,1
641,118,484,1
642,118,1267,1
643,118,333,1
644,118,133,1
645,118,162,1
646,118,974,1
647,118,646,1
648,118,613,1
649,118,415,1
650,118,120,1
651,118,144,1
652,118,671,1
653,118,1015,1
654,118,478,1
655,118,1299,1
656,118,676,1
657,118,65,1
658,118,207,1
659,118,1139,1
660,118,1188,1
661,118,841,1
662,118,754,1
663,118,497,1
664,118,875,1
665,118,173,1
666,118,5,1
667,118,773,1
668,118,284,1
669,118,1134,1
670,118,1088,1
671,118,268,1
672,118,635,1
673,118,777,1
674,118,184,1
675,118,807,1
676,118,439,1
677,118,1304,1
678,118,82,1
679,118,713,1
680,118,1029,1
681,118,74,1
682,118,518,1
683,118,101,1
684,118,810,1
685,118,1291,1
686,118,486,1
687,118,1117,1
688,118,610,1
689,118,49,1
690,118,3,1
691,118,1016,1
692,118,730,1
693,118,132,1
694,118,87,1
695,118,922,1
696,118,990,1
697,118,1308,1
698,118,221,1
699,118,541,1
700,118,659,1
701,118,716,1
702,118,124,1
703,118,1313,1
704,118,92,1
705,118,179,1
706,118,809,1
707,118,108,1
708,118,129,1
709,118,450,1
710,118,1140,1
711,118,115,1
712,118,17,1
713,118,140,1
714,118,552,1
715,118,1132,1
716,118,1294,1
717,118,492,1
718,118,55,1
719,118,141,1
720,118,804,1
721,118,565,1
722,118,986,1
723,118,100,1
724,118,401,1
725,118,847,1
726,118,577,1
727,118,4,1
728,118,460,1
729,118,232,1
730,118,51,1
731,118,374,1
732,118,606,1
733,118,472,1
734,118,836,1
735,118,609,1
736,118,1114,1
737,118,1266,1
738,118,853,1
739,118,72,1
740,118,351,1
741,118,171,1
742,118,1206,1
743,118,116,1
744,118,181,1
745,118,73,1
746,118,1310,1
747,118,1218,1
748,118,532,1
749,118,320,1
750,118,310,1
751,118,589,1
752,118,60,1
753,118,755,1
754,118,914,1
755,118,662,1
756,118,236,1
757,118,431,1
758,118,779,1
759,118,583,1
760,118,1127,1
761,118,186,1
762,118,1295,1
763,118,416,1
764,119,44,1
765,119,27,1
766,121,856,1
767,121,1266,1
768,121,164,1
769,122,140,1
770,122,74,1
771,122,1172,1
772,122,95,1
773,122,524,1
774,122,152,1
775,122,1134,1
776,122,283,1
777,122,988,1
778,122,114,1
779,122,298,1
780,122,468,1
781,122,320,1
782,122,903,1
783,122,297,1
784,122,25,1
785,122,209,1
786,122,208,1
787,122,72,1
788,122,1040,1
789,122,185,1
790,122,36,1
791,122,669,1
792,127,419,1
793,127,764,1
794,127,6,1
795,127,314,1
796,127,538,1
797,127,1056,1
798,127,259,1
799,127,220,1
800,127,585,1
801,127,176,1
802,127,1145,1
803,127,198,1
804,127,96,1
805,127,785,1
806,127,303,1
807,127,75,1
808,127,92,1
809,127,387,1
810,127,1027,1
811,127,243,1
812,127,141,1
813,127,164,1
814,127,211,1
815,127,26,1
816,127,158,1
817,127,481,1
818,127,581,1
819,127,354,1
820,127,165,1
821,127,300,1
822,127,1170,1
823,127,94,1
824,127,110,1
825,127,409,1
826,127,1267,1
827,127,203,1
828,127,5,1
829,129,203,1
830,129,30,1
831,129,100,1
832,129,848,1
833,129,1099,1
834,129,144,1
835,129,240,1
836,129,233,1
837,130,1194,1
838,130,596,1
839,130,275,1
840,131,18,1
841,131,264,1
842,131,209,1
843,131,206,1
844,131,283,1
845,131,524,1
846,131,248,1
847,131,223,1
848,131,185,1
849,131,727,1
850,131,212,1
851,131,208,1
852,131,320,1
853,131,25,1
854,131,297,1
855,131,298,1
856,131,114,1
857,131,74,1
858,132,225,1
859,136,643,1
860,136,1099,1
861,136,702,1
862,136,539,1
863,136,995,1
864,136,999,1
865,136,686,1
866,136,278,1
867,136,1232,1
868,136,64,1
869,136,884,1
870,136,883,1
871,136,433,1
872,136,164,1
873,136,739,1
874,136,91,1
875,136,303,1
876,136,127,1
877,136,243,1
878,136,312,1
879,136,850,1
880,136,1111,1
881,136,473,1
882,136,242,1
883,137,303,1
884,137,261,1
885,140,209,1
886,140,524,1
887,140,256,1
888,140,82,1
889,140,320,1
890,140,72,1
891,140,1172,1
892,140,84,1
893,140,1134,1
894,140,727,1
895,140,36,1
896,140,18,1
897,140,1040,1
898,140,131,1
899,140,468,1
900,140,297,1
901,140,206,1
902,140,212,1
903,140,189,1
904,140,122,1
905,141,375,1
906,141,265,1
907,141,9,1
908,142,930,1
909,142,1026,1
910,143,596,1
911,144,313,1
912,144,860,1
913,145,1267,1
914,145,1054,1
915,146,199,1
916,146,168,1
917,146,319,1
918,146,41,1
919,146,45,1
920,146,227,1
921,147,229,1
922,148,243,1
923,151,697,1
924,151,191,1
925,151,312,1
926,151,243,1
927,151,596,1
928,151,816,1
929,151,44,1
930,151,27,1
931,152,1172,1
932,152,82,1
933,152,1040,1
934,152,140,1
935,152,524,1
936,152,25,1
937,152,1134,1
938,152,727,1
939,152,131,1
940,152,1319,1
941,152,853,1
942,152,122,1
943,152,264,1
944,152,209,1
945,152,223,1
946,152,18,1
947,152,206,1
948,152,189,1
949,152,320,1
950,152,903,1
951,152,84,1
952,152,669,1
953,152,72,1
954,152,298,1
955,152,208,1
956,153,79,1
957,153,1248,1
958,153,814,1
959,153,1141,1
960,153,59,1
961,153,809,1
962,153,458,1
963,153,136,1
964,153,752,1
965,153,382,1
966,153,228,1
967,153,1138,1
968,153,1223,1
969,153,48,1
970,153,1126,1
971,153,257,1
972,153,440,1
973,153,313,1
974,153,928,1
975,153,1267,1
976,153,933,1
977,153,305,1
978,153,792,1
979,153,542,1
980,153,446,1
981,153,285,1
982,153,1282,1
983,153,847,1
984,153,1131,1
985,153,260,1
986,153,4,1
987,158,72,1
988,158,981,1
989,158,632,1
990,158,379,1
991,158,1029,1
992,158,943,1
993,158,344,1
994,158,1144,1
995,158,394,1
996,158,203,1
997,158,55,1
998,158,153,1
999,158,127,1
1000,158,947,1
1001,158,973,1
1002,158,494,1
1003,158,863,1
1004,158,104,1
1005,158,364,1
1006,158,922,1
1007,158,870,1
1008,158,118,1
1009,158,57,1
1010,158,3,1
1011,158,1304,1
1012,158,165,1
1013,158,1004,1
1014,158,407,1
1015,158,241,1
1016,158,48,1
1017,158,17,1
1018,158,452,1
1019,158,1123,1
1020,158,909,1
1021,158,1001,1
1022,158,30,1
1023,158,1067,1
1024,158,316,1
1025,158,600,1
1026,158,956,1
1027,158,603,1
1028,158,911,1
1029,158,508,1
1030,158,172,1
1031,158,1263,1
1032,158,866,1
1033,158,1083,1
1034,158,65,1
1035,158,1209,1
1036,158,437,1
1037,158,285,1
1038,158,1265,1
1039,158,1248,1
1040,158,1250,1
1041,158,1201,1
1042,158,777,1
1043,158,91,1
1044,158,201,1
1045,158,308,1
1046,158,1241,1
1047,158,100,1
1048,158,747,1
1049,158,1214,1
1050,158,583,1
1051,159,205,1
1052,159,1013,1
1053,159,69,1
1054,159,26,1
1055,159,293,1
1056,159,325,1
1057,159,386,1
1058,160,42,1
1059,160,96,1
1060,160,109,1
1061,160,798,1
1062,160,6,1
1063,160,29,1
1064,161,216,1
1065,161,27,1
1066,161,267,1
1067,161,42,1
1068,162,181,1
1069,162,1026,1
1070,162,639,1
1071,162,202,1
1072,163,425,1
1073,163,202,1
1074,163,41,1
1075,164,860,1
1076,164,313,1
1077,165,314,1
1078,165,127,1
1079,165,92,1
1080,165,174,1
1081,168,146,1
1082,169,71,1
1083,169,127,1
1084,169,17,1
1085,169,35,1
1086,172,1295,1
1087,172,382,1
1088,172,1257,1
1089,172,212,1
1090,172,583,1
1091,172,390,1
1092,172,678,1
1093,172,717,1
1094,172,48,1
1095,172,143,1
1096,172,80,1
1097,172,1191,1
1098,172,197,1
1099,172,159,1
1100,172,599,1
1101,172,479,1
1102,172,98,1
1103,172,78,1
1104,173,707,1
1105,174,440,1
1106,174,165,1
1107,174,17,1
1108,174,92,1
1109,174,967,1
1110,174,860,1
1111,174,314,1
1112,175,7,1
1113,175,312,1
1114,175,243,1
1115,175,151,1
1116,176,96,1
1117,176,6,1
1118,176,216,1
1119,176,240,1
1120,176,1263,1
1121,178,129,1
1122,178,30,1
1123,178,100,1
1124,178,191,1
1125,178,6,1
1126,178,162,1
1127,178,245,1
1128,178,200,1
1129,178,1026,1
1130,178,261,1
1131,178,243,1
1132,178,303,1
1133,178,531,1
1134,179,1044,1
1135,179,773,1
1136,179,434,1
1137,179,266,1
1138,181,162,1
1139,181,45,1
1140,185,1040,1
1141,185,727,1
1142,185,248,1
1143,185,1134,1
1144,185,206,1
1145,185,1015,1
1146,185,25,1
1147,185,152,1
1148,185,297,1
1149,185,36,1
1150,185,212,1
1151,188,283,1
1152,189,84,1
1153,189,320,1
1154,189,198,1
1155,189,74,1
1156,189,122,1
1157,189,206,1
1158,189,693,1
1159,189,36,1
1160,189,857,1
1161,189,223,1
1162,189,209,1
1163,191,178,1
1164,191,151,1
1165,191,230,1
1166,191,1026,1
1167,191,1013,1
1168,191,325,1
1169,192,61,1
1170,192,850,1
1171,192,0,1
1172,192,1248,1
1173,193,27,1
1174,195,775,1
1175,195,481,1
1176,195,1134,1
1177,195,1100,1
1178,195,75,1
1179,195,17,1
1180,195,864,1
1181,195,827,1
1182,195,841,1
1183,195,354,1
1184,195,200,1
1185,195,372,1
1186,195,247,1
1187,195,110,1
1188,195,1229,1
1189,195,440,1
1190,195,174,1
1191,195,1221,1
1192,195,1128,1
1193,195,1175,1
1194,195,44,1
1195,195,544,1
1196,195,102,1
1197,195,477,1
1198,196,789,1
1199,196,105,1
1200,196,331,1
1201,196,448,1
1202,196,767,1
1203,196,148,1
1204,196,276,1
1205,196,722,1
1206,196,1092,1
1207,196,24,1
1208,196,9,1
1209,196,515,1
1210,196,906,1
1211,196,388,1
1212,196,278,1
1213,196,262,1
1214,196,1309,1
1215,196,1258,1
1216,196,738,1
1217,196,792,1
1218,196,775,1
1219,196,329,1
1220,196,610,1
1221,196,241,1
1222,196,829,1
1223,196,926,1
1224,196,120,1
1225,196,814,1
1226,196,1175,1
1227,196,774,1
1228,196,538,1
1229,196,863,1
1230,196,415,1
1231,196,232,1
1232,196,416,1
1233,196,815,1
1234,196,713,1
1235,196,322,1
1236,196,121,1
1237,196,1243,1
1238,196,445,1
1239,196,661,1
1240,196,491,1
1241,196,497,1
1242,196,953,1
1243,196,1162,1
1244,196,342,1
1245,196,174,1
1246,196,37,1
1247,196,311,1
1248,196,219,1
1249,196,728,1
1250,196,1269,1
1251,196,1214,1
1252,196,641,1
1253,196,1029,1
1254,196,314,1
1255,196,579,1
1256,196,1216,1
1257,196,154,1
1258,196,175,1
1259,196,871,1
1260,196,1198,1
1261,196,609,1
1262,196,471,1
1263,196,417,1
1264,196,65,1
1265,196,914,1
1266,196,993,1
1267,196,771,1
1268,196,1114,1
1269,196,804,1
1270,196,1159,1
1271,196,964,1
1272,196,88,1
1273,196,79,1
1274,196,41,1
1275,196,1126,1
1276,196,735,1
1277,196,717,1
1278,198,1184,1
1279,198,275,1
1280,198,164,1
1281,198,881,1
1282,198,940,1
1283,198,1289,1
1284,198,681,1
1285,198,314,1
1286,198,557,1
1287,198,362,1
1288,198,887,1
1289,198,53,1
1290,198,1026,1
1291,198,780,1
1292,199,146,1
1293,199,920,1
1294,199,53,1
1295,199,27,1
1296,200,303,1
1297,200,29,1
1298,200,6,1
1299,200,334,1
1300,200,218,1
1301,201,314,1
1302,201,136,1
1303,201,239,1
1304,201,92,1
1305,201,164,1
1306,201,144,1
1307,201,240,1
1308,202,483,1
1309,202,591,1
1310,202,50,1
1311,202,274,1
1312,202,163,1
1313,202,1211,1
1314,202,162,1
1315,202,17,1
1316,202,557,1
1317,202,119,1
1318,203,705,1
1319,203,64,1
1320,203,1136,1
1321,203,636,1
1322,203,372,1
1323,203,639,1
1324,203,228,1
1325,203,26,1
1326,203,7,1
1327,203,30,1
1328,203,1013,1
1329,203,41,1
1330,203,827,1
1331,203,1086,1
1332,203,515,1
1333,203,257,1
1334,203,202,1
1335,203,459,1
1336,203,353,1
1337,203,195,1
1338,203,96,1
1339,203,1287,1
1340,203,313,1
1341,203,137,1
1342,203,239,1
1343,203,314,1
1344,203,376,1
1345,203,930,1
1346,203,611,1
1347,203,129,1
1348,203,280,1
1349,203,1091,1
1350,203,398,1
1351,203,164,1
1352,203,1049,1
1353,203,1028,1
1354,203,664,1
1355,203,158,1
1356,203,144,1
1357,204,697,1
1358,205,98,1
1359,205,293,1
1360,205,386,1
1361,205,1013,1
1362,205,159,1
1363,205,44,1
1364,205,325,1
1365,206,189,1
1366,206,95,1
1367,206,669,1
1368,206,36,1
1369,206,212,1
1370,206,140,1
1371,206,33,1
1372,206,131,1
1373,206,185,1
1374,206,298,1
1375,206,208,1
1376,206,727,1
1377,206,152,1
1378,206,25,1
1379,206,297,1
1380,206,524,1
1381,206,320,1
1382,206,1172,1
1383,207,578,1
1384,208,152,1
1385,208,727,1
1386,208,36,1
1387,208,1134,1
1388,208,283,1
1389,208,256,1
1390,208,223,1
1391,208,206,1
1392,208,229,1
1393,208,189,1
1394,208,82,1
1395,208,131,1
1396,208,18,1
1397,208,140,1
1398,208,209,1
1399,208,74,1
1400,208,84,1
1401,208,669,1
1402,209,1040,1
1403,209,297,1
1404,209,237,1
1405,209,1172,1
1406,209,95,1
1407,209,229,1
1408,209,206,1
1409,209,122,1
1410,209,256,1
1411,209,140,1
