#ID	Name
G0	CNOT6L
G1	XBP1
G2	MBD2
G3	SMARCA5
G4	HNRNPAB
G5	ZMYND11
G6	CREBBP
G7	MTA2
G8	TOX4
G9	LDB1
G10	HAX1
G11	SNRPB
G12	TSG101
G13	PBRM1
G14	HCFC1
G15	JUP
G16	GTF2A2
G17	NFKB1
G18	SUPT5H
G19	ZFP91
G20	CNOT2
G21	NCOA4
G22	ZFP36L1
G23	IRF2
G24	EHMT1
G25	SRSF6
G26	DNMT1
G27	RUNX1
G28	NSD1
G29	CTBP1
G30	SKIL
G31	JMJD1C
G32	ZFML
G33	POLR2C
G34	IRF5
G35	TRIM28
G36	GTF2F1
G37	DDB1
G38	MED8
G39	MEF2A
G40	KDM5C
G41	PER1
G42	CHD7
G43	CXXC1
G44	EZH2
G45	CHD4
G46	MDM2
G47	FOXN2
G48	CIC
G49	SSRP1
G50	DAB2
G51	FXR1
G52	NCOR2
G53	STAT3
G54	ZEB2
G55	EHMT2
G56	IRF1
G57	TSC22D4
G58	ELF1
G59	MED15
G60	TCERG1
G61	TOB1
G62	THRAP3
G63	AFF4
G64	BACH1
G65	POLR1D
G66	HCLS1
G67	HMG20A
G68	MLL3
G69	MCM4
G70	CSDE1
G71	CENPB
G72	NME2
G73	PHB2
G74	TCEB1
G75	NFKBIZ
G76	IVNS1ABP
G77	ZFHX3
G78	VDR
G79	MED21
G80	POLR2A
G81	GTF2I
G82	SRSF1
G83	BATF3
G84	POLR2I
G85	ILF3
G86	DAZAP2
G87	AIP
G88	LASS5
G89	EIF5B
G90	KPNA2
G91	BHLHE40
G92	AKT1
G93	SUZ12
G94	TLR4
G95	GTF2B
G96	FOS
G97	HIST1H1C
G98	HMGB2
G99	BTG1
G100	ZMYM2
G101	DNMT3A
G102	ARL6IP5
G103	HBP1
G104	KDM6B
G105	TUBA1A
G106	HOPX
G107	ETS2
G108	ARID1B
G109	RLIM
G110	TRP53
G111	BIN1
G112	STAT1
G113	ETV3
G114	POLR3K
G115	CBX3
G116	BTG2
G117	ELF2
G118	ZFX
G119	FLI1
G120	HNRNPD
G121	NFAT5
G122	POLR2E
G123	CBFB
G124	MYST2
G125	MYEF2
G126	BCLAF1
G127	RELA
G128	SRRM1
G129	SMAD2
G130	SIN3B
G131	POLR2K
G132	RBM39
G133	NCOR1
G134	RFX7
G135	CTCFL
G136	FOSB
G137	COPS5
G138	SIRT7
G139	PCBD2
G140	POLR2H
G141	TARDBP
G142	KLF6
G143	YEATS4
G144	MAPK1
G145	CDC5L
G146	EWSR1
G147	ING1
G148	KLF13
G149	HSBP1
G150	AEBP2
G151	RBBP4
G152	POLR2F
G153	EGR2
G154	SRSF2
G155	RNF4
G156	NFX1
G157	ILK
G158	AHR
G159	MCM7
G160	RBPJ
G161	SMARCC2
G162	ID2
G163	NONO
G164	MAPK14
G165	NFKBIB
G166	SRSF5
G167	TAF12
G168	SIRT2
G169	PARP1
G170	TAX1BP3
G171	HDGF
G172	NR3C1
G173	RUVBL2
G174	NFKBIA
G175	GATAD2A
G176	MITF
G177	KDM5A
G178	SMAD4
G179	COPS2
G180	TCOF1
G181	TCF12
G182	LMO4
G183	HMG20B
G184	CSDA
G185	SRSF9
G186	SUB1
G187	MAFF
G188	TAF7
G189	TCEB2
G190	MATR3
G191	RBL2
G192	CNOT8
G193	CBFA2T3
G194	FUBP3
G195	REL
G196	KLF4
G197	CREM
G198	HIF1A
G199	TRPS1
G200	TCF7L2
G201	ATF2
G202	SFPI1
G203	SP1
G204	CHD1
G205	MCM6
G206	POLR2J
G207	WBP11
G208	POLR2B
G209	POLR2D
G210	NR4A1
G211	DEK
G212	POLR2G
G213	ATF4
G214	APEX1
G215	SND1
G216	SMARCA4
G217	SUPT16H
G218	CTNNB1
G219	RFC1
G220	MYD88
G221	CREB3
G222	DNAJC2
G223	TCEA1
G224	SRRT
G225	KHDRBS1
G226	JUNB
G227	UBP1
G228	NCOA3
G229	GTF2A1
G230	RAD51
G231	TARBP2
G232	AES
G233	DDX5
G234	WHSC1L1
G235	UPF1
G236	ZFP148
G237	SUPT4H1
G238	AGAP3
G239	CEBPA
G240	MAPK3
G241	ATF3
G242	ZFP36
G243	HDAC1
G244	FOSL2
G245	TGIF1
G246	HHEX
G247	DENND4A
G248	SNRPD1
G249	MLL2
G250	SKI
G251	TFDP1
G252	SNAPC5
G253	SRSF3
G254	CCRN4L
G255	DOT1L
G256	TAF9
G257	HMGA1
G258	NOTCH2
G259	IRF4
G260	MED27
G261	ID3
G262	SERTAD2
G263	CNOT6
G264	ZNRD1
G265	GTF2E2
G266	SSB
G267	ARID1A
G268	SFPQ
G269	EDF1
G270	HNRNPK
G271	ELL2
G272	STAT6
G273	NAP1L4
G274	TBPL1
G275	MED1
G276	SMARCE1
G277	UBE2K
G278	SMARCB1
G279	BAZ1A
G280	TNFAIP3
G281	FOXJ3
G282	ASH1L
G283	TAF6
G284	SF1
G285	UBTF
G286	KLF10
G287	ZFP410
G288	NFE2L2
G289	TOP2B
G290	BUB3
G291	MCM5
G292	PA2G4
G293	MCM3
G294	YBX1
G295	HTATIP2
G296	BTF3
G297	PCBP2
G298	RDBP
G299	PAPOLA
G300	LASS2
G301	ATF6
G302	RNPS1
G303	JUN
G304	TRERF1
G305	MKL2
G306	CTCF
G307	H1F0
G308	TIAL1
G309	DPF2
G310	USF2
G311	KDM2B
G312	RBBP7
G313	EGR1
G314	TNF
G315	SUPT6H
G316	ZBTB7A
G317	PREB
G318	NFIL3
G319	CIITA
G320	TCEB3
G321	OST4
G322	DYNLT1B
G323	H2-K1
G324	PYCARD
G325	PCNA
G326	ATP6AP1
G327	VAMP8
G328	SH3BGRL
G329	MFGE8
G330	SQRDL
G331	B3GNT2
G332	MT2
G333	RPS5
G334	CD44
G335	VDAC3
G336	CSF2RB
G337	ROMO1
G338	CLEC4A3
G339	IMPACT
G340	1110007C09RIK
G341	NDUFS8
G342	RAB11A
G343	NDUFA6
G344	SPCS3
G345	CANX
G346	NDUFA9
G347	PAIP2
G348	AK202494
G349	ARHGDIB
G350	GHITM
G351	TM2D2
G352	HSPE1
G353	LPL
G354	BCL2A1D
G355	VTA1
G356	RASGEF1B
G357	MRPS21
G358	RPS8
G359	TRAPPC4
G360	MRFAP1
G361	1810058I24RIK
G362	TRF
G363	PSMD6
G364	TIMM23
G365	GPR171
G366	GLTP
G367	GDI2
G368	PCNP
G369	TES
G370	SRP14
G371	BC031181
G372	TLR2
G373	FAM120A
G374	RHOG
G375	RAN
G376	GYG
G377	CETN3
G378	MTCH2
G379	GNB2L1
G380	RPL13
G381	FAU
G382	MRPL28
G383	ACOT9
G384	ODC1
G385	ISCA2
G386	CKS2
G387	CFLAR
G388	SEC13
G389	PRDX2
G390	ATP5G3
G391	TUBB5
G392	MCTS1
G393	PDCD6
G394	CDC42
G395	PRDX5
G396	SEC61A1
G397	1600029D21RIK
G398	MDH1
G399	NIPSNAP3B
G400	NOP10
G401	RPL36AL
G402	UBL3
G403	SERPINB6A
G404	RNF149
G405	TMEM50A
G406	COX8A
G407	DEGS1
G408	MCA32
G409	BCL2A1C
G410	ATP6V0D2
G411	ATP6V1E1
G412	FTL1
G413	A130040M12RIK
G414	ATP5J2
G415	RNF13
G416	ARPC4
G417	1810022K09RIK
G418	COX7C
G419	CD14
G420	SERF2
G421	ROBLD3
G422	IER3IP1
G423	RPL6
G424	SEC11A
G425	RAC1
G426	UQCRQ
G427	CCR1
G428	CD48
G429	ATP5F1
G430	RPL19
G431	CNN2
G432	IL2RG
G433	PLP2
G434	TTC35
G435	EAR2
G436	SERP1
G437	SLC25A3
G438	H2AFV
G439	RPS24
G440	SUMO2
