#ID,TF,index
0,2,204
1,2,35
2,2,177
3,183,212
4,179,227
5,179,293
6,179,296
7,179,35
8,179,138
9,119,763
10,119,789
11,119,247
12,174,789
13,271,123
14,227,204
15,137,39
16,137,154
17,74,293
18,74,315
19,74,709
20,74,330
21,74,50
22,74,752
23,74,204
24,74,296
25,74,138
26,74,123
27,51,230
28,101,763
29,101,752
30,101,123
31,312,151
32,312,752
33,258,74
34,258,498
35,258,411
36,258,99
37,258,534
38,258,154
39,258,601
40,258,309
41,258,53
42,258,138
43,258,123
44,209,39
45,188,763
46,75,805
47,75,78
48,110,258
49,110,78
50,110,154
51,110,151
52,116,123
53,78,116
54,293,258
55,293,649
56,293,154
57,293,752
58,293,298
59,293,222
60,293,428
61,293,123
62,315,293
63,242,293
64,242,789
65,242,278
66,153,763
67,153,154
68,153,206
69,153,139
70,153,34
71,153,355
72,214,74
73,214,752
74,39,723
75,6,763
76,6,169
77,6,309
78,6,117
79,6,138
80,300,534
81,154,777
82,154,342
83,154,498
84,154,293
85,154,534
86,154,705
87,154,298
88,154,204
89,154,222
90,154,573
91,154,407
92,154,355
93,154,138
94,154,123
95,173,302
96,144,30
97,243,763
98,29,144
99,130,180
100,216,258
101,309,258
102,151,123
103,269,389
104,170,358
105,230,763
106,230,293
107,230,300
108,306,144
109,306,206
110,148,206
111,7,206
112,298,656
113,298,293
114,298,247
115,298,151
116,298,375
117,298,752
118,298,204
119,298,799
120,298,767
121,298,576
122,298,372
123,210,39
124,204,279
125,204,811
126,204,255
127,204,744
128,204,763
129,204,227
130,204,51
131,204,342
132,204,498
133,204,755
134,204,209
135,204,293
136,204,709
137,204,459
138,204,806
139,204,534
140,204,300
141,204,18
142,204,309
143,204,206
144,204,185
145,204,296
146,204,573
147,204,407
148,204,588
149,204,225
150,204,241
151,204,717
152,204,177
153,204,138
154,204,178
155,204,123
156,206,204
157,185,204
158,222,206
159,222,143
160,212,204
161,212,35
162,76,123
163,296,273
164,296,146
165,296,258
166,296,621
167,139,762
168,139,57
169,139,340
170,165,763
171,165,293
172,165,30
173,165,490
174,225,811
175,225,116
176,225,534
177,225,138
178,225,178
179,35,279
180,35,811
181,35,101
182,35,293
183,35,709
184,35,300
185,35,204
186,35,588
187,35,717
188,35,138
189,35,178
190,35,123
191,180,227
192,52,723
193,52,123
194,302,763
195,302,52
196,19,763
197,19,168
198,19,39
199,19,99
200,19,154
201,19,52
202,104,763
203,104,230
204,104,206
205,34,66
206,34,271
207,34,273
208,34,777
209,34,763
210,34,227
211,34,187
212,34,457
213,34,101
214,34,258
215,34,293
216,34,125
217,34,154
218,34,46
219,34,526
220,34,673
221,34,216
222,34,375
223,34,395
224,34,102
225,34,212
226,34,573
227,34,52
228,34,717
229,34,138
230,34,178
231,34,723
232,34,590
233,34,527
234,241,656
235,241,169
236,241,258
237,241,6
238,241,151
239,241,752
240,241,123
241,166,279
242,166,258
243,166,293
244,166,214
245,166,144
246,166,752
247,166,35
248,166,138
249,166,123
250,13,258
251,13,306
252,13,138
253,72,123
254,95,39
255,253,763
256,253,123
257,301,227
258,301,389
259,90,175
260,123,131
261,123,14
262,123,763
263,123,735
264,123,755
265,123,258
266,123,293
267,123,473
268,123,280
269,123,39
270,123,216
271,123,247
272,123,151
273,123,752
274,123,204
275,123,222
276,123,76
277,123,762
278,123,35
279,123,180
280,123,83
281,123,723
282,123,144
283,115,180
284,115,166
285,120,151
286,229,298
287,128,752
288,128,355
289,143,51
290,143,355
291,134,300
292,77,49
293,208,290
294,233,763
295,246,204
296,232,116
297,36,293
298,66,742
299,66,618
300,66,36
301,66,152
302,66,623
303,66,179
304,66,131
305,66,610
306,66,356
307,66,371
308,66,273
309,66,403
310,66,14
311,66,96
312,66,491
313,66,794
314,66,438
315,66,268
316,66,401
317,66,809
318,66,87
319,66,735
320,66,666
321,66,782
322,66,258
323,66,209
324,66,188
325,66,728
326,66,122
327,66,116
328,66,317
329,66,540
330,66,121
331,66,347
332,66,524
333,66,125
334,66,412
335,66,257
336,66,509
337,66,46
338,66,196
339,66,144
340,66,609
341,66,277
342,66,375
343,66,148
344,66,204
345,66,43
346,66,181
347,66,222
348,66,296
349,66,416
350,66,86
351,66,694
352,66,479
353,66,225
354,66,35
355,66,687
356,66,606
357,66,52
358,66,405
359,66,211
360,66,634
361,66,34
362,66,69
363,66,241
364,66,195
365,66,759
366,66,138
367,66,803
368,66,126
369,66,420
370,66,136
371,66,757
372,66,327
373,66,208
374,66,191
375,66,40
376,66,217
377,66,175
378,66,68
379,152,66
380,2,153
381,2,762
382,2,477
383,105,268
384,105,153
385,105,104
386,105,205
387,105,264
388,105,294
389,105,276
390,105,676
391,105,578
