,TF,Target,Label
0,0,65,1
1,0,190,1
2,0,76,1
3,0,228,1
4,0,274,1
5,0,319,1
6,0,224,1
7,0,56,1
8,0,718,1
9,0,54,1
10,2,762,1
11,2,477,1
12,2,153,1
13,2,35,1
14,3,124,1
15,6,137,1
16,6,654,1
17,6,92,1
18,6,169,1
19,6,61,1
20,6,394,1
21,6,650,1
22,6,241,1
23,6,300,1
24,6,522,1
25,6,516,1
26,6,343,1
27,6,649,1
28,6,138,1
29,6,249,1
30,6,588,1
31,6,314,1
32,6,418,1
33,7,206,1
34,8,19,1
35,9,205,1
36,12,694,1
37,12,283,1
38,12,295,1
39,12,153,1
40,13,43,1
41,13,416,1
42,13,138,1
43,13,3,1
44,13,166,1
45,13,188,1
46,13,99,1
47,13,432,1
48,13,91,1
49,13,300,1
50,13,74,1
51,13,162,1
52,13,258,1
53,13,556,1
54,13,668,1
55,14,245,1
56,16,241,1
57,16,117,1
58,16,389,1
59,16,317,1
60,16,300,1
61,16,529,1
62,16,249,1
63,16,809,1
64,16,649,1
65,16,674,1
66,16,394,1
67,16,170,1
68,17,69,1
69,17,275,1
70,17,32,1
71,17,732,1
72,17,240,1
73,17,586,1
74,17,39,1
75,17,222,1
76,17,416,1
77,18,426,1
78,18,418,1
79,18,131,1
80,18,95,1
81,18,293,1
82,18,190,1
83,18,619,1
84,18,686,1
85,18,71,1
86,18,143,1
87,18,315,1
88,18,273,1
89,18,295,1
90,18,504,1
91,19,8,1
92,19,212,1
93,19,99,1
94,19,34,1
95,19,153,1
96,19,253,1
97,19,283,1
98,19,378,1
99,19,83,1
100,19,17,1
101,19,216,1
102,19,139,1
103,20,130,1
104,20,35,1
105,20,203,1
106,24,245,1
107,25,309,1
108,25,633,1
109,26,388,1
110,27,265,1
111,27,224,1
112,27,88,1
113,27,190,1
114,28,697,1
115,28,116,1
116,28,735,1
117,28,247,1
118,28,31,1
119,28,226,1
120,31,762,1
121,31,226,1
122,31,51,1
123,31,247,1
124,32,314,1
125,32,659,1
126,32,685,1
127,32,354,1
128,32,525,1
129,32,371,1
130,32,264,1
131,32,56,1
132,32,274,1
133,32,765,1
134,32,42,1
135,32,689,1
136,32,261,1
137,32,662,1
138,32,537,1
139,32,237,1
140,32,748,1
141,32,487,1
142,32,649,1
143,32,630,1
144,32,198,1
145,32,229,1
146,32,679,1
