#ID	Name
G0	SRSF1
G1	TAX1BP3
G2	APEX1
G3	CNOT6
G4	H1F0
G5	FUBP3
G6	IRF1
G7	NCOR2
G8	SKI
G9	YEATS4
G10	MYEF2
G11	ELF2
G12	MBD2
G13	STAT6
G14	BTG2
G15	ETV3
G16	IRF2
G17	TGIF1
G18	JUNB
G19	SMAD4
G20	TARDBP
G21	CHD1
G22	FXR1
G23	SRSF2
G24	BTG1
G25	NFAT5
G26	PA2G4
G27	ZNRD1
G28	MCM6
G29	KPNA2
G30	RLIM
G31	HMGB2
G32	CTCF
G33	MKL2
G34	SP1
G35	RELA
G36	AGAP3
G37	DNAJC2
G38	UPF1
G39	ID2
G40	ZFHX3
G41	BUB3
G42	RUVBL2
G43	NFKBIB
G44	TARBP2
G45	ZFP410
G46	KDM5A
G47	ASH1L
G48	SUPT5H
G49	NONO
G50	MED1
G51	CTNNB1
G52	SKIL
G53	NR4A1
G54	SRSF9
G55	PCBD2
G56	POLR2J
G57	RAD51
G58	TBPL1
G59	SUZ12
G60	EIF5B
G61	TOB1
G62	ZFP36L1
G63	MCM3
G64	SNRPB
G65	GTF2F1
G66	AHR
G67	RDBP
G68	ZMYM2
G69	SRSF6
G70	HCFC1
G71	BATF3
G72	TAF9
G73	LASS5
G74	CREBBP
G75	ELF1
G76	PCBP2
G77	YBX1
G78	FLI1
G79	UBP1
G80	DAZAP2
G81	JUP
G82	SRSF3
G83	TCF7L2
G84	BAZ1A
G85	CBX3
G86	POLR1D
G87	CIC
G88	POLR2K
G89	POLR2C
G90	TRIM28
G91	BCLAF1
G92	POLR2A
G93	DPF2
G94	RBM39
G95	TCF12
G96	CBFA2T3
G97	RNPS1
G98	TCEA1
G99	ID3
G100	HMG20B
G101	DNMT1
G102	MTA2
G103	TCEB2
G104	SMARCA4
G105	ARID1A
G106	SRRM1
G107	SUPT4H1
G108	SFPI1
G109	CSDE1
G110	ETS2
G111	HOPX
G112	MYST2
G113	SND1
G114	SFPQ
G115	TRPS1
G116	EZH2
G117	MYD88
G118	CNOT6L
G119	ATF4
G120	TSG101
G121	GTF2A2
G122	EWSR1
G123	TRP53
G124	CNOT2
G125	HMGA1
G126	TSC22D4
G127	ELL2
G128	USF2
G129	HNRNPK
G130	LDB1
G131	ATF3
G132	CTCFL
G133	MLL3
G134	XBP1
G135	SNAPC5
G136	UBTF
G137	CHD4
G138	TNF
G139	RBL2
G140	TOX4
G141	CBFB
G142	GTF2A1
G143	VDR
G144	KLF4
G145	MED27
G146	CREM
G147	TRERF1
G148	NCOR1
G149	SUPT6H
G150	HTATIP2
G151	MDM2
G152	AIP
G153	HDAC1
G154	JUN
G155	WHSC1L1
G156	HAX1
G157	CSDA
G158	AFF4
G159	PAPOLA
G160	SERTAD2
G161	ZFML
G162	ILK
G163	NOTCH2
G164	DAB2
G165	RBPJ
G166	STAT3
G167	TUBA1A
G168	HHEX
G169	CIITA
G170	MEF2A
G171	NAP1L4
G172	FOXN2
G173	KLF10
G174	ATF6
G175	ZFX
G176	HBP1
G177	TLR4
G178	TNFAIP3
G179	ATF2
G180	RUNX1
G181	NME2
G182	SUPT16H
G183	ARL6IP5
G184	RFX7
G185	NFKBIZ
G186	RBBP4
G187	COPS5
G188	EHMT2
G189	IVNS1ABP
G190	POLR2H
G191	ZEB2
G192	HIST1H1C
G193	ARID1B
G194	SIN3B
G195	TIAL1
G196	KDM6B
G197	CENPB
G198	SSB
G199	KDM5C
G200	MAFF
G201	EHMT1
G202	LMO4
G203	GTF2E2
G204	NFKB1
G205	SMARCB1
G206	NFKBIA
G207	TAF12
G208	ZBTB7A
G209	EGR2
G210	NFIL3
G211	SMARCA5
G212	PARP1
G213	POLR3K
G214	HIF1A
G215	HSBP1
G216	MAPK1
G217	ZFP91
G218	RFC1
G219	PHB2
G220	MCM5
G221	BTF3
G222	NR3C1
G223	DDX5
G224	POLR2F
G225	REL
G226	MCM4
G227	CEBPA
G228	POLR2I
G229	UBE2K
G230	MITF
G231	SIRT2
G232	AEBP2
G233	ZFP148
G234	POLR2G
G235	TCEB1
G236	CCRN4L
G237	CXXC1
G238	SIRT7
G239	DDB1
G240	SSRP1
G241	STAT1
G242	GTF2I
G243	KLF6
G244	HNRNPD
G245	CNOT8
G246	ZFP36
G247	MCM7
G248	NFX1
G249	IRF5
G250	AES
G251	HMG20A
G252	SUB1
G253	TFDP1
G254	TCOF1
G255	BIN1
G256	PBRM1
G257	HNRNPAB
G258	EGR1
G259	JMJD1C
G260	MED21
G261	SNRPD1
G262	DEK
G263	COPS2
G264	SMARCC2
G265	POLR2E
G266	ZMYND11
G267	CTBP1
G268	CHD7
G269	MED8
G270	FOXJ3
G271	BACH1
G272	TAF6
G273	BHLHE40
G274	TCERG1
G275	DENND4A
G276	TOP2B
G277	MATR3
G278	NSD1
G279	AKT1
G280	HDGF
G281	TCEB3
G282	GTF2B
G283	MAPK3
G284	SF1
G285	LASS2
G286	ING1
G287	MED15
G288	PREB
G289	KLF13
G290	CREB3
G291	SRRT
G292	SRSF5
G293	FOS
G294	SMARCE1
G295	RBBP7
G296	PER1
G297	KDM2B
G298	NFE2L2
G299	EDF1
G300	IRF4
G301	THRAP3
G302	SMAD2
G303	KHDRBS1
G304	NCOA4
G305	ILF3
G306	NCOA3
G307	HCLS1
G308	DOT1L
G309	MAPK14
G310	MLL2
G311	POLR2B
G312	DNMT3A
G313	CDC5L
G314	FOSL2
G315	FOSB
G316	RNF4
G317	GATAD2A
G318	TAF7
G319	POLR2D
G320	WBP11
G321	DYNC1LI1
G322	ALDOA
G323	NEDD8
G324	MS4A6D
G325	NDUFA6
G326	RPL5
G327	VIM
G328	SGK1
G329	RPS5
G330	LDHA
G331	RPS3
G332	GSTM1
G333	EIF3K
G334	ESD
G335	PSMA1
G336	ATP5C1
G337	UBE2L6
G338	ATP6V1G1
G339	ANXA2
G340	STMN1
G341	PGAM1
G342	CXCL1
G343	PSMA3
G344	PTP4A1
G345	FIS1
G346	SNRPE
G347	HINT1
G348	ATP5J2
G349	MRPS18C
G350	ATP5E
G351	ATP5G1
G352	PLP2
G353	TUBB5
G354	AA467197
G355	SPP1
G356	BANF1
G357	CTSD
G358	COX6A1
G359	C1QB
G360	SAT1
G361	NAMPT
G362	GM10653
G363	SDCBP
G364	CHI3L3
G365	VDAC2
G366	MRFAP1
G367	RPL23
G368	CTSL
G369	CTSZ
G370	MYL12B
G371	BCAP31
G372	IL1RN
G373	NDUFB6
G374	MALAT1
G375	MGST1
G376	CCRL2
G377	USMG5
G378	SUMO1
G379	PSMA4
G380	ACTB
