#ID,TF,index
0,266,1051
1,266,17
2,294,576
3,532,452
4,339,231
5,583,233
6,583,36
7,583,497
8,255,269
9,598,1577
10,105,215
11,105,497
12,105,452
13,609,215
14,288,1051
15,288,1577
16,288,194
17,288,102
18,551,1577
19,593,1051
20,593,17
21,421,479
22,393,215
23,393,1379
24,393,403
25,393,270
26,393,174
27,263,1051
28,263,705
29,263,572
30,263,239
31,334,562
32,483,327
33,483,1051
34,483,572
35,483,431
36,483,198
37,483,506
38,525,1051
39,424,1268
40,2,556
41,2,305
42,14,562
43,14,38
44,143,1300
45,143,387
46,510,454
47,146,755
48,5,966
49,5,596
50,233,250
51,233,215
52,233,1268
53,233,1374
54,233,69
55,233,511
56,233,1589
57,233,1210
58,233,524
59,233,454
60,233,562
61,233,239
62,233,344
63,233,364
64,233,1105
65,233,216
66,233,384
67,233,375
68,233,299
69,233,52
70,233,913
71,546,1051
72,546,454
73,453,17
74,148,966
75,320,127
76,406,1051
77,406,872
78,406,17
79,28,431
80,28,872
81,28,239
82,28,285
83,28,481
84,485,34
85,69,935
86,69,593
87,69,222
88,69,263
89,69,215
90,69,1051
91,69,120
92,69,406
93,69,10
94,69,41
95,69,562
96,69,36
97,69,1170
98,69,1105
99,69,274
100,69,481
101,69,17
102,69,913
103,195,328
104,514,483
105,514,195
106,514,42
107,514,562
108,514,198
109,514,481
110,514,708
111,502,81
112,10,1145
113,10,215
114,10,1512
115,10,821
116,10,107
117,10,1605
118,10,85
119,10,305
120,10,507
121,10,192
122,10,790
123,10,172
124,10,418
125,10,17
126,128,215
127,128,1051
128,128,285
129,51,1214
130,552,269
131,71,162
132,71,17
133,13,10
134,397,17
135,397,330
136,397,354
137,207,285
138,103,596
139,151,502
140,151,127
141,206,655
142,206,215
143,206,1051
144,206,1422
145,206,406
146,206,1442
147,206,614
148,206,469
149,206,599
150,206,872
151,206,200
152,206,285
153,206,387
154,206,875
155,206,505
156,206,1612
157,381,143
158,381,285
159,371,1006
160,371,471
161,371,875
162,371,17
163,464,239
164,464,344
165,265,250
166,265,502
167,265,10
168,265,1400
169,265,460
170,265,479
171,265,119
172,265,875
173,265,1517
174,265,913
175,265,330
176,329,502
177,329,700
178,520,1512
179,520,904
180,520,52
181,520,1354
182,407,700
183,407,1525
184,500,705
185,500,456
186,500,239
187,500,17
188,370,269
