#ID	Name
G0	BRWD1
G1	CNOT6
G2	CHD4
G3	CELF3
G4	TSG101
G5	CTCF
G6	TGFB1I1
G7	RFX5
G8	ORC2
G9	NR5A2
G10	EGR1
G11	SOX15
G12	ZFP276
G13	ELK1
G14	CHD7
G15	HTT
G16	RBL1
G17	TRP53
G18	MIS18BP1
G19	CBX7
G20	MYBBP1A
G21	SPEN
G22	POLR2E
G23	LHX2
G24	RBBP7
G25	NFIC
G26	ZHX3
G27	PAPOLA
G28	DNMT3A
G29	TAF6L
G30	SATB2
G31	PAX1
G32	POU4F1
G33	AIP
G34	SMARCC1
G35	KNTC1
G36	NFE2L2
G37	KLF13
G38	SOX4
G39	ELAVL2
G40	SUZ12
G41	HMGA1
G42	MYBL2
G43	ZBTB7A
G44	HIST1H1D
G45	NCOA6
G46	ANKRD6
G47	GLIS2
G48	NKRF
G49	PRRX2
G50	HDAC3
G51	ELF1
G52	TWIST1
G53	PBX4
G54	MCM2
G55	SOX7
G56	PIAS3
G57	TADA3
G58	TEAD3
G59	TCF7
G60	ELL2
G61	CHD5
G62	PRDM14
G63	BCLAF1
G64	CREB3L2
G65	RHOX6
G66	EZH1
G67	SSB
G68	SATB1
G69	E2F1
G70	ANKRD54
G71	ELF4
G72	PIAS1
G73	EBF4
G74	RAD54B
G75	KHDRBS1
G76	GZF1
G77	WBP11
G78	ZMYND11
G79	RCOR2
G80	RBM14
G81	ZFP423
G82	SIRT3
G83	ARID1A
G84	ZBTB43
G85	ID3
G86	PA2G4
G87	DEK
G88	CRY1
G89	LDB1
G90	PCBD1
G91	SMARCB1
G92	SIX5
G93	CRAMP1L
G94	RBBP4
G95	NACC1
G96	ILF2
G97	TAF5
G98	NDN
G99	HOPX
G100	ABT1
G101	BTG2
G102	TRIB3
G103	EMX2
G104	RNF19A
G105	ATF2
G106	PROX1
G107	GNRH1
G108	NSD1
G109	TRIM25
G110	ZFP236
G111	RUVBL1
G112	GATAD2B
G113	SERTAD2
G114	PHF20
G115	ANKS1
G116	ZFAND3
G117	SCMH1
G118	NFATC2IP
G119	RUNX3
G120	DDB2
G121	GTF3C1
G122	NAA15
G123	FOXO1
G124	IRF4
G125	MED15
G126	DDB1
G127	SOX2
G128	EHMT2
G129	CDC5L
G130	EED
G131	TRIM24
G132	H1F0
G133	HSF2BP
G134	KLF2
G135	ID4
G136	DAZAP2
G137	HSBP1
G138	TLE1
G139	TCF12
G140	ZIC3
G141	BARD1
G142	CTBP1
G143	CITED2
G144	SRSF3
G145	ARID5B
G146	CREB3
G147	JARID2
G148	DDX5
G149	OVOL1
G150	ASH2L
G151	EOMES
G152	JMJD1C
G153	SNAPC3
G154	CITED1
G155	GABPA
G156	FUBP3
G157	ING1
G158	SIN3B
G159	STAT4
G160	ZFP768
G161	MAML1
G162	MSX2
G163	MTF2
G164	MKX
G165	RLIM
G166	HDAC4
G167	YAF2
G168	RFX2
G169	NFATC1
G170	POLR2I
G171	MEN1
G172	NR4A1
G173	BTG1
G174	TNFAIP3
G175	MAPK3
G176	MED12
G177	ZFP281
G178	CALCOCO1
G179	TAX1BP3
G180	KANK2
G181	RARG
G182	HCFC1
G183	CNOT2
G184	ILF3
G185	JDP2
G186	INTS12
G187	NFYA
G188	NUPR1
G189	UBTF
G190	ASXL1
G191	NOTCH2
G192	MAPK8
G193	SMURF2
G194	MCM7
G195	E2F2
G196	NONO
G197	YEATS2
G198	RAD51
G199	ZFP277
G200	NPAS2
G201	ZBTB10
G202	KLF4
G203	ECD
G204	MATR3
G205	ETV3
G206	EP300
G207	ELP2
G208	PLAGL2
G209	RARA
G210	TCERG1
G211	NFKBIA
G212	TEAD4
G213	MLXIPL
G214	MSC
G215	CCND1
G216	PITX2
G217	ESPL1
G218	TRIM32
G219	SNAI1
G220	TFCP2L1
G221	ZFP36L1
G222	BIN1
G223	NR1H2
G224	HSPB1
G225	SREBF1
G226	SALL1
G227	NFYB
G228	RNF6
G229	CNOT8
G230	PKNOX2
G231	PARP1
G232	DAB2
G233	CTNNB1
G234	FOXP1
G235	TRIP11
G236	FIZ1
G237	RUVBL2
G238	KLF6
G239	NANOG
G240	SUB1
G241	MCM6
G242	ZFHX3
G243	NR1D2
G244	DDX54
G245	NFE2L1
G246	TCEA3
G247	HNRNPK
G248	TRPS1
G249	EYA1
G250	BMP4
G251	TCEA1
G252	ZDHHC16
G253	KPNA2
G254	MED31
G255	ASH1L
G256	SMARCA4
G257	FOXQ1
G258	L3MBTL2
G259	WWTR1
G260	SSBP4
G261	PHF1
G262	PIAS2
G263	BMI1
G264	UBP1
G265	ETS1
G266	AATF
G267	AES
G268	POLR3F
G269	TGFB1
G270	RUNX1
G271	KDM5B
G272	ZBTB39
G273	CBX8
G274	PURA
G275	BRPF1
G276	AGAP3
G277	NFATC4
G278	COIL
G279	ZFP42
G280	FOXO3
G281	DDX20
G282	MPHOSPH8
G283	ELK4
G284	TEAD1
G285	POU5F1
G286	CREBZF
G287	SND1
G288	ATF4
G289	STAT5B
G290	BARX1
G291	MLXIP
G292	XBP1
G293	MAFK
G294	APBB1
G295	HMGXB4
G296	RAI14
G297	MED4
G298	PMS1
G299	TCF4
G300	KLF3
G301	RBPJ
