,TF,Target,Label
0,0,366,1
1,0,185,1
2,0,50,1
3,0,875,1
4,0,591,1
5,0,434,1
6,0,458,1
7,1,383,1
8,1,414,1
9,1,211,1
10,1,791,1
11,1,116,1
12,1,792,1
13,1,611,1
14,1,485,1
15,1,801,1
16,1,905,1
17,1,22,1
18,1,301,1
19,1,830,1
20,2,255,1
21,3,223,1
22,3,213,1
23,3,255,1
24,4,255,1
25,5,653,1
26,5,238,1
27,7,681,1
28,7,437,1
29,7,88,1
30,7,280,1
31,7,279,1
32,7,149,1
33,7,433,1
34,7,157,1
35,7,367,1
36,7,469,1
37,7,217,1
38,7,660,1
39,7,137,1
40,7,411,1
41,7,467,1
42,7,307,1
43,7,63,1
44,7,184,1
45,8,577,1
46,8,218,1
47,8,362,1
48,8,434,1
49,9,609,1
50,9,496,1
51,9,13,1
52,9,357,1
53,10,451,1
54,10,50,1
55,11,598,1
56,11,586,1
57,11,53,1
58,11,155,1
59,11,367,1
60,11,443,1
61,11,355,1
62,11,271,1
63,11,89,1
64,11,50,1
65,12,238,1
66,12,27,1
67,12,508,1
68,12,50,1
69,12,79,1
70,13,223,1
71,13,327,1
72,13,9,1
73,14,100,1
74,17,234,1
75,17,225,1
76,17,56,1
77,17,565,1
78,17,145,1
79,17,541,1
80,18,372,1
81,18,22,1
82,18,839,1
83,18,532,1
84,18,451,1
85,18,545,1
86,18,202,1
87,18,59,1
88,19,752,1
89,19,347,1
90,19,343,1
91,19,292,1
92,22,618,1
93,22,617,1
94,23,565,1
95,23,416,1
96,25,545,1
97,25,11,1
98,25,52,1
99,25,90,1
100,25,271,1
101,25,478,1
102,25,200,1
103,25,381,1
104,26,598,1
105,29,245,1
106,29,386,1
107,29,52,1
108,29,265,1
109,30,212,1
110,30,876,1
111,30,463,1
112,31,770,1
113,31,129,1
114,31,340,1
115,31,166,1
116,31,544,1
117,32,79,1
118,33,181,1
119,33,434,1
120,33,467,1
121,33,255,1
122,34,404,1
123,34,350,1
124,34,903,1
125,34,503,1
126,34,78,1
127,34,599,1
128,34,920,1
129,34,591,1
130,34,468,1
131,34,209,1
132,34,610,1
133,34,545,1
134,34,1025,1
135,34,567,1
136,34,216,1
137,34,267,1
138,34,1110,1
139,34,323,1
140,34,230,1
141,34,538,1
142,34,105,1
143,34,200,1
144,34,126,1
145,34,478,1
146,34,456,1
147,34,42,1
148,34,73,1
149,34,569,1
150,34,332,1
151,34,46,1
152,34,830,1
153,34,570,1
154,34,593,1
155,34,463,1
156,34,598,1
157,34,616,1
158,34,149,1
159,34,434,1
160,34,517,1
161,34,369,1
162,34,357,1
163,34,559,1
164,36,223,1
165,36,221,1
166,36,236,1
167,36,416,1
168,36,422,1
169,39,147,1
170,39,440,1
171,39,119,1
172,39,375,1
173,39,175,1
174,39,522,1
175,39,342,1
176,39,234,1
177,39,437,1
178,39,402,1
179,39,300,1
180,42,347,1
181,42,60,1
182,42,989,1
183,42,183,1
184,42,484,1
185,42,614,1
186,42,362,1
187,42,892,1
188,42,325,1
189,42,918,1
190,42,241,1
191,42,647,1
192,42,760,1
193,42,367,1
194,42,1110,1
195,42,178,1
196,42,1002,1
197,42,758,1
198,42,649,1
199,42,76,1
200,42,600,1
201,42,231,1
202,42,468,1
203,42,96,1
204,42,907,1
205,42,28,1
206,42,62,1
207,42,268,1
208,42,369,1
209,42,383,1
210,42,427,1
211,42,876,1
212,42,11,1
213,42,271,1
214,42,259,1
215,42,554,1
216,42,321,1
217,42,508,1
218,42,252,1
