,TF,Target,Label
0,0,366,1
1,0,185,1
2,0,875,1
3,0,737,1
4,0,66,1
5,0,598,1
6,0,434,1
7,1,116,1
8,1,485,1
9,1,905,1
10,1,159,1
11,1,570,1
12,1,755,1
13,1,830,1
14,1,307,1
15,1,791,1
16,1,611,1
17,1,63,1
18,1,48,1
19,1,211,1
20,1,296,1
21,2,255,1
22,3,257,1
23,3,223,1
24,3,255,1
25,4,255,1
26,5,238,1
27,5,404,1
28,7,367,1
29,7,316,1
30,7,217,1
31,7,63,1
32,7,245,1
33,7,311,1
34,7,149,1
35,7,611,1
36,7,615,1
37,7,395,1
38,7,598,1
39,7,157,1
40,7,469,1
41,7,184,1
42,7,681,1
43,7,137,1
44,7,549,1
45,7,437,1
46,7,307,1
47,8,577,1
48,8,362,1
49,8,218,1
50,8,434,1
51,9,297,1
52,9,496,1
53,9,571,1
54,9,357,1
55,10,451,1
56,10,636,1
57,10,589,1
58,11,271,1
59,11,155,1
60,11,367,1
61,11,598,1
62,11,90,1
63,11,53,1
64,11,381,1
65,11,478,1
66,11,607,1
67,11,932,1
68,11,355,1
69,12,238,1
70,12,79,1
71,12,244,1
72,12,543,1
73,12,230,1
74,13,223,1
75,13,55,1
76,13,9,1
77,14,100,1
78,17,541,1
79,17,225,1
80,17,234,1
81,17,56,1
82,17,342,1
83,17,549,1
84,18,577,1
85,18,468,1
86,18,372,1
87,18,451,1
88,18,291,1
89,18,532,1
90,18,202,1
91,18,155,1
92,18,386,1
93,19,343,1
94,19,22,1
95,19,1059,1
96,19,292,1
97,22,617,1
98,22,500,1
99,22,463,1
100,23,416,1
101,23,565,1
102,25,271,1
103,25,200,1
104,25,598,1
105,25,53,1
106,25,228,1
107,25,349,1
108,25,381,1
109,25,584,1
110,29,386,1
111,29,52,1
112,29,577,1
113,29,434,1
114,30,463,1
115,30,212,1
116,30,876,1
117,31,612,1
118,31,129,1
119,31,437,1
120,31,544,1
121,31,166,1
122,31,770,1
123,33,467,1
124,33,598,1
125,33,181,1
126,33,458,1
127,34,216,1
128,34,471,1
129,34,599,1
130,34,355,1
131,34,386,1
132,34,224,1
133,34,223,1
134,34,451,1
135,34,1025,1
136,34,920,1
137,34,49,1
138,34,458,1
139,34,146,1
140,34,593,1
141,34,434,1
142,34,598,1
143,34,50,1
144,34,221,1
145,34,871,1
146,34,247,1
147,34,42,1
148,34,448,1
149,34,126,1
150,34,155,1
151,34,569,1
152,34,230,1
153,34,589,1
154,34,404,1
155,34,369,1
156,34,78,1
157,34,488,1
158,34,610,1
159,34,570,1
160,34,559,1
161,34,753,1
162,34,616,1
163,34,218,1
164,34,200,1
165,34,209,1
166,34,658,1
167,34,545,1
168,34,952,1
169,34,903,1
170,36,221,1
171,36,422,1
172,36,223,1
173,36,389,1
174,36,451,1
175,36,416,1
176,38,416,1
177,39,522,1
178,39,401,1
179,39,300,1
180,39,175,1
181,39,91,1
182,39,437,1
183,39,234,1
184,39,511,1
185,39,402,1
186,39,492,1
187,39,147,1
188,41,404,1
189,42,477,1
190,42,347,1
191,42,220,1
192,42,37,1
193,42,799,1
194,42,381,1
195,42,399,1
196,42,427,1
197,42,416,1
198,42,582,1
199,42,183,1
200,42,529,1
201,42,728,1
202,42,367,1
203,42,945,1
204,42,981,1
205,42,876,1
206,42,575,1
207,42,928,1
208,42,130,1
209,42,28,1
210,42,369,1
211,42,649,1
212,42,578,1
213,42,7,1
214,42,71,1
215,42,271,1
216,42,208,1
217,42,647,1
218,42,758,1
