#ID	Name
G0	MYBL2
G1	NFYB
G2	GRHL1
G3	FHL2
G4	RNF19A
G5	PLAG1
G6	YAF2
G7	EWSR1
G8	RYBP
G9	HES6
G10	RUNX3
G11	SMARCA2
G12	ELK1
G13	HES1
G14	KLF15
G15	ZBTB38
G16	PRRX2
G17	POLR3B
G18	BMI1
G19	NFIC
G20	ZFP592
G21	ZFP276
G22	HMGA2
G23	COPS2
G24	HIVEP2
G25	SMARCC2
G26	ZBTB43
G27	MAPK11
G28	ANKS1
G29	RUVBL2
G30	ATF1
G31	WWTR1
G32	SIX5
G33	NRIP1
G34	HDAC1
G35	BTF3
G36	ARNTL
G37	ZFP335
G38	TAX1BP3
G39	POLR2J
G40	SATB1
G41	MDM2
G42	JUN
G43	DAB2
G44	GZF1
G45	CDC5L
G46	STAT5A
G47	RARG
G48	DDIT3
G49	PHB2
G50	CCND1
G51	GATAD2B
G52	SOX2
G53	TOP2B
G54	KLF8
G55	MAML1
G56	POLR2H
G57	ATF4
G58	BACH2
G59	GATA6
G60	PAX6
G61	SSBP4
G62	E2F6
G63	PER1
G64	IRF3
G65	MATR3
G66	RBL1
G67	UTF1
G68	ARNT2
G69	BTG2
G70	HMGXB4
G71	NOTCH1
G72	PHF2
G73	HDAC11
G74	CNOT7
G75	TFE3
G76	ZFP219
G77	ATF6
G78	HDAC7
G79	SRF
G80	MED15
G81	XRCC5
G82	ZMYND11
G83	BRCA2
G84	BCLAF1
G85	PHF14
G86	TOPORS
G87	TADA3
G88	RFXAP
G89	SFPQ
G90	SMARCC1
G91	POLR2B
G92	SMARCAD1
G93	CEBPZ
G94	ZFP36L1
G95	PAWR
G96	NFX1
G97	PELP1
G98	ZFP236
G99	SRSF3
G100	MCM2
G101	ELF3
G102	TRIM25
G103	SOX4
G104	HNF4A
G105	ZFPM1
G106	RNF14
G107	GATA3
G108	ASXL1
G109	CELF3
G110	RAPGEF3
G111	PROX1
G112	NSD1
G113	ILF3
G114	MCM3
G115	MYC
G116	BTG1
G117	VEZF1
G118	RERE
G119	SRSF1
G120	HIST1H1B
G121	NFATC2IP
G122	NFXL1
G123	TRIP6
G124	TRPS1
G125	HSPB1
G126	APEX1
G127	DAXX
G128	TCF4
G129	ZEB1
G130	HDAC3
G131	SMURF1
G132	ELF4
G133	KHDRBS1
G134	PHF20
G135	NR1D2
G136	PCBD1
G137	JARID2
G138	HSBP1
G139	TFAP2C
G140	CTBP1
G141	DIDO1
G142	ELF2
G143	CITED1
G144	POU6F1
G145	NFIB
G146	KLF13
G147	TAF6
G148	POLR1C
G149	HDAC10
G150	THRAP3
G151	SMAD2
G152	ELAVL2
G153	MPHOSPH8
G154	BTBD11
G155	HDAC2
G156	GRIN1
G157	MTF2
G158	ELF1
G159	FXR2
G160	MLLT1
G161	AIRE
G162	ZFHX3
G163	ZFP296
G164	UBP1
G165	ZBTB10
G166	TEAD1
G167	ING3
G168	CBX6
G169	HOPX
G170	CBX4
G171	ZFP277
G172	TAF1A
G173	CRABP2
G174	FOXJ2
G175	POLR2I
G176	ESRRA
G177	MED12
G178	EBF1
G179	PA2G4
G180	PREB
G181	NR2C1
G182	ZBTB20
G183	MEF2D
G184	ZFP42
G185	RFX2
G186	CBX7
G187	TRIP11
G188	MAZ
G189	BMP4
G190	HNRNPAB
G191	KPNA2
G192	NR2F2
G193	TCF7
G194	ASH2L
G195	ATF2
G196	FOXO3
G197	ARID3B
G198	DNMT3A
G199	ZFP462
G200	SMARCA4
G201	MLXIPL
G202	EZH1
G203	SCMH1
G204	CNOT6L
G205	EP400
G206	JMJD1C
G207	USF1
G208	NFE2L1
G209	SP1
G210	GABPA
G211	RBM14
G212	NR4A1
G213	NCOA6
G214	FUBP3
G215	DR1
G216	DNMT1
G217	NAA15
G218	L3MBTL2
G219	TRIB3
G220	KLF9
G221	CRY1
G222	IRF2
G223	SIRT1
G224	RBPJ
G225	GTF3C1
G226	ZEB2
G227	MCM7
G228	SIX1
G229	FOXJ3
G230	SIN3A
G231	SOS2
G232	POU2F1
G233	PAX8
G234	POLR2K
G235	CNOT2
G236	NR1D1
G237	DDB1
G238	EGR1
G239	TRIM24
G240	ZMYM2
G241	TGFB1
G242	PLAGL2
G243	ZFAND3
G244	MAPK8
G245	SALL4
G246	BRPF1
G247	CHD5
G248	SMARCA5
G249	TCEA3
G250	CREB5
G251	SMAD7
G252	CIC
G253	ECD
G254	SOX7
G255	NCOA3
G256	MEN1
G257	FOXO1
G258	PURA
G259	SMAD3
G260	LMO4
G261	RBMXL2
G262	MITF
G263	CNOT8
G264	MBD2
G265	RUVBL1
G266	TBX18
G267	SATB2
G268	IRF6
G269	FOXP1
G270	BMP6
G271	SMARCD1
G272	PRDM1
G273	GLI2
G274	NPAS2
G275	ELL2
G276	HSF2
G277	PLRG1
G278	HNRNPD
G279	ASH1L
G280	ANKRD49
G281	HMGXB3
G282	PBXIP1
