#ID,TF,index
0,149,91
1,128,1161
2,128,197
3,8,40
4,8,135
5,8,79
6,131,473
7,131,65
8,131,314
9,131,682
10,131,148
11,131,676
12,73,633
13,73,190
14,59,614
15,52,134
16,52,154
17,52,55
18,52,421
19,52,169
20,127,25
21,127,131
22,127,134
23,127,1055
24,127,197
25,127,223
26,127,190
27,127,193
28,134,131
29,134,65
30,134,250
31,134,1044
32,134,10
33,134,166
34,134,89
35,17,131
36,17,197
37,17,33
38,17,190
39,17,22
40,179,683
41,179,61
42,179,89
43,18,89
44,113,125
45,113,132
46,113,89
47,125,96
48,125,113
49,125,123
50,175,79
51,46,954
52,46,21
53,184,190
54,115,924
55,115,33
56,111,177
57,132,608
58,132,190
59,132,89
60,197,154
61,197,91
62,129,1112
63,68,6
64,68,89
65,26,91
66,65,898
67,65,654
68,65,1190
69,65,52
70,65,134
71,65,305
72,65,250
73,65,166
74,65,571
75,65,255
76,65,133
77,65,89
78,121,654
79,178,131
80,156,65
81,156,190
82,177,154
83,154,275
84,154,666
85,154,211
86,154,46
87,154,682
88,154,58
89,154,571
90,154,90
91,40,46
92,40,682
93,40,569
94,74,134
95,93,1161
96,93,154
97,196,608
98,196,10
99,61,349
100,61,1158
101,166,134
102,166,305
103,166,9
104,166,1044
105,166,10
106,166,190
107,166,318
108,166,334
109,91,953
110,91,954
111,91,18
112,91,190
113,91,89
114,161,52
115,161,179
116,157,165
117,55,1044
118,11,608
119,11,66
120,151,52
121,151,21
122,118,131
123,33,115
124,33,55
125,47,169
126,167,65
127,79,473
128,79,134
129,79,65
130,79,89
131,202,154
132,202,152
133,133,177
134,133,154
135,112,60
136,190,168
137,190,197
138,190,1
139,190,28
140,124,89
141,140,799
142,39,608
143,15,569
144,89,392
145,89,631
146,89,1055
147,89,68
148,89,156
149,89,193
150,169,131
151,169,59
152,169,134
153,169,113
154,169,909
155,169,1040
156,169,1044
157,169,154
158,169,28
159,169,89
160,60,132
161,66,954
162,78,190
163,78,169
164,13,190
165,62,128
166,6,442
167,6,614
168,6,1034
169,6,154
170,6,79
171,171,491
172,171,473
173,171,817
174,171,44
175,171,541
176,171,876
177,171,36
178,171,765
179,171,1087
180,171,949
181,171,487
182,171,906
183,171,415
184,171,847
185,171,951
186,171,857
187,171,458
188,171,443
189,171,439
190,48,755
191,48,1000
192,48,745
193,48,899
194,48,881
195,48,251
196,48,934
197,48,756
198,48,72
199,48,101
200,48,182
201,48,1087
202,48,734
203,48,603
204,48,940
205,48,915
206,48,535
207,48,797
208,48,1130
209,48,131
210,48,963
211,48,262
212,48,747
213,48,1050
214,48,1174
215,48,1025
216,48,162
217,48,390
218,48,805
219,48,16
220,48,81
221,48,57
222,48,19
223,48,32
224,48,910
225,48,1018
226,48,662
227,48,10
228,48,55
229,48,825
230,48,33
231,48,875
232,48,119
233,48,264
234,48,79
235,48,202
236,48,133
237,48,1060
238,48,844
239,48,791
240,48,15
241,48,690
242,48,938
243,48,937
244,48,333
245,48,707
246,48,689
247,48,98
248,48,489
249,48,1150
250,48,249
251,48,536
252,48,779
253,48,35
254,48,71
255,170,192
256,128,350
257,128,106
258,128,46
259,101,0
260,101,90
261,106,128
262,106,190
263,106,730
264,36,171
265,36,491
266,36,473
267,36,817
268,36,44
269,36,608
270,36,211
271,36,541
272,36,832
273,36,876
274,36,368
275,36,765
276,36,1087
277,36,609
278,36,729
279,36,949
280,36,51
281,36,241
282,36,715
283,36,487
284,36,906
285,36,415
286,36,847
287,36,1093
288,36,879
289,36,951
290,36,816
291,36,857
292,36,458
293,36,534
294,36,443
295,36,439
296,36,713
297,88,200
298,88,43
299,88,147
300,0,101
301,0,774
302,95,134
303,159,27
304,159,109
305,159,199
306,67,273
307,188,272
308,188,46
309,188,415
310,188,847
311,188,354
312,188,902
313,188,458
314,188,195
315,8,608
316,8,1161
317,8,850
318,8,154
319,8,93
320,8,140
321,8,522
322,194,601
323,194,304
324,194,69
325,131,1000
326,131,284
327,131,149
328,131,251
329,131,172
330,131,891
331,131,356
332,131,657
333,131,294
334,131,1124
335,131,1169
336,131,113
337,131,175
338,131,16
339,131,577
340,131,1038
341,131,121
342,131,32
343,131,14
344,131,123
345,131,949
346,131,154
347,131,61
348,131,595
349,131,558
350,131,895
351,131,315
352,131,202
