G0	CNOT7
G1	MCM3
G2	ZKSCAN6
G3	ZBTB20
G4	ZKSCAN17
G5	AFF4
G6	ABL1
G7	DDX58
G8	E2F4
G9	MCM7
G10	NFATC1
G11	NUPR1
G12	TTF2
G13	VDR
G14	MECOM
G15	SP4
G16	HNRNPAB
G17	FOXO1
G18	GATA2
G19	KLF3
G20	PBX1
G21	NFKBIA
G22	TRIB3
G23	ZFP143
G24	SOX18
G25	EBF1
G26	JARID2
G27	ELP2
G28	SOX6
G29	POLR1B
G30	XAB2
G31	THRB
G32	MAPK12
G33	PPARGC1A
G34	ZBTB43
G35	XRCC6
G36	CENPK
G37	VHL
G38	ZFP592
G39	SMARCA2
G40	MYCN
G41	XPC
G42	TTF1
G43	RAI14
G44	BUB3
G45	EYA2
G46	HDAC2
G47	PWP1
G48	AHR
G49	IRF6
G50	ZBTB10
G51	MIS18BP1
G52	ESR1
G53	LMO4
G54	TOPORS
G55	NRF1
G56	GTF2H1
G57	KLF1
G58	NFIA
G59	EPOR
G60	TCF12
G61	NFE2
G62	YBX1
G63	MCM2
G64	TEAD2
G65	JUN
G66	TCF19
G67	DCP1A
G68	IRF8
G69	TAF1
G70	TAF12
G71	ZEB2
G72	BTAF1
G73	EPAS1
G74	NCOA6
G75	FEM1B
G76	HDGF
G77	GTF3C3
G78	TRPS1
G79	RB1
G80	CSRP3
G81	IKZF2
G82	TOX4
G83	ZZZ3
G84	DEK
G85	MCM4
G86	GTF2E1
G87	HIST1H1C
G88	CITED4
G89	SPI1
G90	ZFP36
G91	NOTCH1
G92	ZDHHC13
G93	NDN
G94	HDAC9
G95	CREB5
G96	ELF4
G97	ABTB1
G98	TSHZ3
G99	HDAC10
G100	XRCC3
G101	BTG2
G102	MCM6
G103	IRF5
G104	HCLS1
G105	LZTS1
G106	CBFB
G107	SPO11
G108	PRDM5
G109	ELP3
G110	ZFP30
G111	HOXA9
G112	RUNX1T1
G113	GFI1
G114	NFAT5
G115	HNF4A
G116	REXO4
G117	NFXL1
G118	PLAG1
G119	PRDM16
G120	RORA
G121	KLF6
G122	SLA2
G123	MEIS1
G124	SATB1
G125	GFI1B
G126	PHF10
G127	ETS1
G128	BMI1
G129	IRF1
G130	MAPK9
G131	EGR1
G132	ID2
G133	RELB
G134	FOS
G135	RAD51
G136	HLF
G137	ERCC8
G138	ZFP110
G139	RNF4
G140	SMAD2
G141	ZFP467
G142	ELL2
G143	SRSF1
G144	HDAC11
G145	PRDM4
G146	MED16
G147	ZDHHC6
G148	NR4A1
G149	APBB1
G150	PA2G4
G151	PGR
G152	RORC
G153	E2F8
G154	MYC
G155	EYA1
G156	MEF2C
G157	NR3C2
G158	PHB2
G159	CTR9
G160	ZSCAN21
G161	NR2C1
G162	HDAC7
G163	SNAPC3
G164	TLE2
G165	TSC22D3
G166	NFE2L2
G167	RARB
G168	IFI204
G169	STAT3
G170	BLZF1
G171	AHCTF1
G172	ARID3B
G173	MCM5
G174	XRCC5
G175	HCFC1
G176	ZFP275
G177	MYB
G178	MAPK1
G179	GATA1
G180	GTF2F1
G181	RNF19A
G182	CBX7
G183	TEAD3
G184	HMGB2
G185	POLR2B
G186	BATF2
G187	SALL2
G188	DDX20
G189	PML
G190	RUNX2
G191	MYNN
G192	ORC2
G193	TLR4
G194	E2F6
G195	SNRPB
G196	NFATC2
G197	IKZF1
G198	MXD3
G199	RUVBL2
G200	POLR3F
G201	GLIS2
G202	REL
G203	H1F0
