#ID,Gene,index
0,CNOT7,0
1,MCM3,1
2,ZKSCAN6,2
3,ZBTB20,3
4,ZKSCAN17,4
5,AFF4,5
6,ABL1,6
7,DDX58,7
8,E2F4,8
9,MCM7,9
10,NFATC1,10
11,NUPR1,11
12,TTF2,12
13,VDR,13
14,MECOM,14
15,SP4,15
16,HNRNPAB,16
17,FOXO1,17
18,GATA2,18
19,KLF3,19
20,PBX1,20
21,NFKBIA,21
22,TRIB3,22
23,ZFP143,23
24,SOX18,24
25,EBF1,25
26,JARID2,26
27,ELP2,27
28,SOX6,28
29,POLR1B,29
30,XAB2,30
31,THRB,31
32,MAPK12,32
33,PPARGC1A,33
34,ZBTB43,34
35,XRCC6,35
36,CENPK,36
37,VHL,37
38,ZFP592,38
39,SMARCA2,39
40,MYCN,40
41,XPC,41
42,TTF1,42
43,RAI14,43
44,BUB3,44
45,EYA2,45
46,HDAC2,46
47,PWP1,47
48,AHR,48
49,IRF6,49
50,ZBTB10,50
51,MIS18BP1,51
52,ESR1,52
53,LMO4,53
54,TOPORS,54
55,NRF1,55
56,GTF2H1,56
57,KLF1,57
58,NFIA,58
59,EPOR,59
60,TCF12,60
61,NFE2,61
62,YBX1,62
63,MCM2,63
64,TEAD2,64
65,JUN,65
66,TCF19,66
67,DCP1A,67
68,IRF8,68
69,TAF1,69
70,TAF12,70
71,ZEB2,71
72,BTAF1,72
73,EPAS1,73
74,NCOA6,74
75,FEM1B,75
76,HDGF,76
77,GTF3C3,77
78,TRPS1,78
79,RB1,79
80,CSRP3,80
81,IKZF2,81
82,TOX4,82
83,ZZZ3,83
84,DEK,84
85,MCM4,85
86,GTF2E1,86
87,HIST1H1C,87
88,CITED4,88
89,SPI1,89
90,ZFP36,90
91,NOTCH1,91
92,ZDHHC13,92
93,NDN,93
94,HDAC9,94
95,CREB5,95
96,ELF4,96
97,ABTB1,97
98,TSHZ3,98
99,HDAC10,99
100,XRCC3,100
101,BTG2,101
102,MCM6,102
103,IRF5,103
104,HCLS1,104
105,LZTS1,105
106,CBFB,106
107,SPO11,107
108,PRDM5,108
109,ELP3,109
110,ZFP30,110
111,HOXA9,111
112,RUNX1T1,112
113,GFI1,113
114,NFAT5,114
115,HNF4A,115
116,REXO4,116
117,NFXL1,117
118,PLAG1,118
119,PRDM16,119
120,RORA,120
121,KLF6,121
122,SLA2,122
123,MEIS1,123
124,SATB1,124
125,GFI1B,125
126,PHF10,126
127,ETS1,127
128,BMI1,128
129,IRF1,129
130,MAPK9,130
131,EGR1,131
132,ID2,132
133,RELB,133
134,FOS,134
135,RAD51,135
136,HLF,136
137,ERCC8,137
138,ZFP110,138
139,RNF4,139
140,SMAD2,140
141,ZFP467,141
142,ELL2,142
143,SRSF1,143
144,HDAC11,144
145,PRDM4,145
146,MED16,146
147,ZDHHC6,147
148,NR4A1,148
149,APBB1,149
150,PA2G4,150
151,PGR,151
152,RORC,152
153,E2F8,153
154,MYC,154
155,EYA1,155
156,MEF2C,156
157,NR3C2,157
158,PHB2,158
159,CTR9,159
160,ZSCAN21,160
161,NR2C1,161
162,HDAC7,162
163,SNAPC3,163
164,TLE2,164
165,TSC22D3,165
166,NFE2L2,166
167,RARB,167
168,IFI204,168
169,STAT3,169
170,BLZF1,170
171,AHCTF1,171
172,ARID3B,172
173,MCM5,173
174,XRCC5,174
175,HCFC1,175
