,TF,Target,Label
0,0,101,1
1,1,534,1
2,1,339,1
3,1,940,1
4,1,1161,1
5,1,1194,1
6,1,491,1
7,1,849,1
8,1,289,1
9,1,715,1
10,1,776,1
11,1,667,1
12,1,503,1
13,1,832,1
14,1,278,1
15,1,9,1
16,1,713,1
17,1,600,1
18,1,63,1
19,1,410,1
20,1,79,1
21,1,587,1
22,1,951,1
23,1,241,1
24,1,874,1
25,1,992,1
26,1,732,1
27,1,85,1
28,1,816,1
29,1,506,1
30,1,439,1
31,1,541,1
32,1,192,1
33,4,26,1
34,6,1034,1
35,6,442,1
36,6,154,1
37,8,850,1
38,8,79,1
39,8,1161,1
40,8,140,1
41,8,93,1
42,9,764,1
43,9,667,1
44,9,940,1
45,9,410,1
46,9,1,1
47,9,776,1
48,9,289,1
49,9,469,1
50,9,1158,1
51,9,621,1
52,9,63,1
53,9,817,1
54,9,601,1
55,9,951,1
56,9,310,1
57,9,541,1
58,9,241,1
59,9,816,1
60,9,512,1
61,9,832,1
62,9,473,1
63,9,908,1
64,9,102,1
65,9,992,1
66,9,663,1
67,9,79,1
68,9,192,1
69,9,1194,1
70,9,676,1
71,9,781,1
72,10,18,1
73,10,134,1
74,10,989,1
75,10,132,1
76,10,32,1
77,10,379,1
78,11,608,1
79,13,152,1
80,13,148,1
81,13,190,1
82,13,1064,1
83,14,626,1
84,14,690,1
85,14,134,1
86,14,755,1
87,14,1162,1
88,14,121,1
89,14,573,1
90,14,955,1
91,14,615,1
92,14,231,1
93,14,133,1
94,14,980,1
95,14,46,1
96,14,698,1
97,14,88,1
98,14,26,1
99,14,78,1
100,14,607,1
101,14,842,1
102,14,276,1
103,14,346,1
104,14,1101,1
105,14,434,1
106,14,697,1
107,14,920,1
108,14,190,1
109,14,1106,1
110,14,27,1
111,14,1176,1
112,14,342,1
113,14,17,1
114,14,187,1
115,15,569,1
116,17,53,1
117,17,252,1
118,17,10,1
119,17,192,1
120,17,112,1
121,17,22,1
122,17,460,1
123,17,125,1
124,17,1106,1
125,17,28,1
126,17,1174,1
127,17,197,1
128,17,1080,1
129,17,987,1
130,17,115,1
131,18,127,1
132,18,984,1
133,18,1106,1
134,18,57,1
135,18,134,1
136,18,1090,1
137,18,89,1
138,18,167,1
139,18,136,1
140,18,862,1
141,18,414,1
142,18,344,1
143,18,935,1
144,18,1085,1
145,20,123,1
146,20,111,1
147,21,636,1
148,21,202,1
149,21,111,1
150,21,1146,1
151,23,163,1
152,23,200,1
153,26,775,1
154,26,4,1
155,29,375,1
156,29,924,1
157,29,256,1
158,29,407,1
159,29,944,1
160,29,245,1
161,30,495,1
162,30,137,1
163,31,13,1
164,31,148,1
165,33,55,1
166,33,1148,1
167,33,204,1
168,33,146,1
169,35,74,1
170,35,776,1
171,36,609,1
172,36,368,1
173,36,832,1
174,36,817,1
175,36,906,1
176,36,487,1
177,36,44,1
178,36,949,1
179,36,171,1
180,36,473,1
181,36,1087,1
182,36,211,1
183,36,729,1
184,36,608,1
185,36,1093,1
186,36,415,1
187,36,765,1
188,36,876,1
189,37,1075,1
190,39,46,1
191,39,65,1
192,39,126,1
193,39,197,1
194,40,759,1
195,40,1196,1
196,40,1180,1
197,40,441,1
198,40,1009,1
199,40,1125,1
200,40,517,1
201,40,884,1
202,40,30,1
203,40,331,1
204,40,998,1
205,40,371,1
206,40,1153,1
207,40,46,1
208,40,63,1
209,40,734,1
210,40,834,1
211,40,670,1
212,40,661,1
213,40,142,1
214,40,664,1
215,40,256,1
216,40,47,1
217,40,956,1
218,40,616,1
219,40,305,1
220,40,925,1
221,40,355,1
222,40,319,1
223,40,1026,1
224,40,357,1
225,40,137,1
226,40,1031,1
227,40,16,1
228,40,651,1
229,40,627,1
230,40,984,1
231,40,411,1
232,40,43,1
233,40,505,1
234,40,387,1
235,40,526,1
236,40,760,1
237,40,1078,1
238,40,1182,1
239,40,182,1
240,40,708,1
241,40,54,1
242,40,21,1
243,40,1090,1
244,40,1171,1
245,40,1079,1
246,40,1178,1
247,40,820,1
248,40,222,1
249,40,545,1
250,40,457,1
251,40,76,1
252,40,11,1
253,40,540,1
254,40,954,1
255,40,1010,1
256,40,1064,1
257,40,817,1
258,40,275,1
259,40,899,1
260,40,1161,1
261,40,1138,1
262,40,166,1
263,40,198,1
264,40,407,1
265,40,546,1
266,40,996,1
267,40,1119,1
268,40,150,1
269,40,394,1
270,40,1080,1
271,40,1158,1
272,40,1018,1
273,40,570,1
274,40,503,1
275,40,862,1
276,40,108,1
277,40,279,1
278,40,219,1
279,40,452,1
280,40,980,1
281,40,458,1
282,41,304,1
283,41,781,1
284,43,88,1
285,46,162,1
286,46,79,1
287,46,197,1
288,46,21,1
289,46,188,1
290,46,350,1
291,46,14,1
292,46,125,1
293,46,94,1
294,47,169,1
295,47,944,1
296,47,407,1
297,47,375,1
298,48,963,1
