,TF,Target,Label
0,0,261,1
1,0,359,1
2,0,176,1
3,4,313,1
4,4,141,1
5,4,25,1
6,4,675,1
7,4,309,1
8,4,280,1
9,4,405,1
10,4,655,1
11,4,639,1
12,4,386,1
13,4,566,1
14,4,179,1
15,4,680,1
16,4,12,1
17,4,227,1
18,4,551,1
19,4,354,1
20,4,67,1
21,4,527,1
22,4,489,1
23,4,625,1
24,4,382,1
25,5,504,1
26,5,687,1
27,5,71,1
28,5,231,1
29,5,135,1
30,5,164,1
31,5,37,1
32,5,29,1
33,5,30,1
34,5,404,1
35,5,58,1
36,5,624,1
37,5,217,1
38,5,82,1
39,5,176,1
40,5,39,1
41,5,57,1
42,5,171,1
43,5,303,1
44,5,106,1
45,5,644,1
46,5,655,1
47,5,678,1
48,5,443,1
49,5,24,1
50,5,28,1
51,5,245,1
52,5,101,1
53,5,41,1
54,5,132,1
55,7,413,1
56,7,598,1
57,7,12,1
58,8,12,1
59,8,285,1
60,8,123,1
61,8,199,1
62,8,377,1
63,8,82,1
64,8,28,1
65,8,633,1
66,8,125,1
67,9,8,1
68,9,125,1
69,10,28,1
70,10,123,1
71,10,61,1
72,10,557,1
73,10,316,1
74,10,24,1
75,12,97,1
76,12,104,1
77,12,85,1
78,12,28,1
79,12,56,1
80,12,229,1
81,12,127,1
82,12,31,1
83,12,58,1
84,12,227,1
85,12,655,1
86,12,311,1
87,12,141,1
88,14,533,1
89,14,39,1
90,14,196,1
91,14,57,1
92,15,598,1
93,16,155,1
94,16,373,1
95,16,701,1
96,16,97,1
97,16,445,1
98,16,406,1
99,16,625,1
100,16,226,1
101,16,421,1
102,16,436,1
103,16,47,1
104,16,175,1
105,16,509,1
106,16,169,1
107,16,32,1
108,16,113,1
109,16,700,1
110,16,104,1
111,16,229,1
112,16,512,1
113,16,134,1
114,16,485,1
115,16,427,1
116,16,686,1
117,16,127,1
118,16,70,1
119,16,689,1
120,17,154,1
121,18,136,1
122,18,147,1
123,18,227,1
124,21,154,1
125,22,3,1
126,23,61,1
127,23,136,1
128,23,1,1
129,24,10,1
130,24,272,1
131,24,162,1
132,24,31,1
133,24,543,1
134,24,28,1
135,24,58,1
136,24,643,1
137,24,119,1
138,24,560,1
139,25,12,1
140,25,551,1
141,25,335,1
142,25,382,1
143,25,141,1
144,25,450,1
145,25,579,1
146,25,368,1
147,25,655,1
148,25,454,1
149,25,690,1
150,25,313,1
151,25,127,1
152,25,680,1
153,25,280,1
154,25,489,1
155,25,179,1
156,25,227,1
157,25,612,1
158,25,639,1
159,25,336,1
160,25,566,1
161,28,5,1
162,28,97,1
163,28,194,1
164,28,57,1
165,28,443,1
166,28,75,1
167,28,13,1
168,28,466,1
169,28,174,1
170,28,217,1
171,28,29,1
172,28,101,1
173,28,58,1
174,28,541,1
175,28,122,1
176,28,543,1
177,28,538,1
178,28,385,1
179,28,514,1
180,31,325,1
181,31,0,1
182,31,383,1
183,31,217,1
184,31,667,1
185,31,500,1
186,31,169,1
187,31,8,1
188,31,6,1
189,31,76,1
190,31,5,1
191,31,469,1
192,31,226,1
193,31,586,1
194,31,7,1
195,31,56,1
196,31,133,1
197,31,678,1
198,31,463,1
199,31,123,1
200,31,560,1
201,31,91,1
202,31,191,1
203,31,568,1
204,31,290,1
205,31,89,1
206,31,64,1
207,31,543,1
208,31,624,1
209,31,694,1
210,32,12,1
211,32,132,1
212,33,35,1
213,33,199,1
214,35,154,1
215,35,296,1
216,35,211,1
217,35,33,1
218,35,199,1
219,36,167,1
220,36,589,1
221,36,113,1
222,36,648,1
223,37,466,1
224,39,5,1
225,41,122,1
226,42,436,1
227,42,100,1
228,42,65,1
229,42,12,1
230,42,93,1
231,45,110,1
232,46,510,1
233,46,122,1
234,46,97,1
235,46,137,1
236,52,240,1
237,52,441,1
238,52,81,1
239,52,84,1
240,52,128,1
241,52,108,1
242,52,267,1
243,52,232,1
244,52,59,1
245,52,689,1
246,52,317,1
247,52,620,1
248,52,395,1
249,52,374,1
250,52,355,1
251,52,61,1
252,52,198,1
253,52,202,1
254,52,37,1
255,52,12,1
256,52,662,1
257,52,677,1
258,52,122,1
259,52,510,1
260,53,669,1
261,53,63,1
262,53,228,1
263,53,589,1
264,54,335,1
265,54,98,1
266,54,551,1
267,55,154,1
268,56,97,1
269,56,74,1
270,56,24,1
271,56,12,1
272,57,625,1
273,57,180,1
274,57,598,1
275,57,213,1
276,57,608,1
277,57,29,1
278,57,5,1
279,57,128,1
280,57,169,1
281,57,496,1
282,57,464,1
283,57,327,1
284,57,499,1
285,57,28,1
286,57,107,1
287,57,14,1
288,57,100,1
289,57,75,1
290,57,61,1
291,57,126,1
292,57,261,1
293,57,567,1
294,57,210,1
295,57,172,1
296,57,318,1
297,57,466,1
298,57,77,1
299,58,471,1
300,58,139,1
301,58,75,1
302,60,52,1
303,60,196,1
304,60,493,1
305,64,229,1
306,64,110,1
307,64,201,1
308,64,76,1
309,64,12,1
310,64,91,1
311,64,168,1
312,64,136,1
313,64,46,1
314,67,25,1
315,67,227,1
316,67,280,1
317,67,450,1
318,67,179,1
319,67,625,1
320,67,12,1
321,67,269,1
322,67,680,1
323,67,354,1
324,67,386,1
325,67,368,1
326,67,700,1
327,67,127,1
328,67,551,1
329,67,85,1
330,67,4,1
331,67,699,1
332,67,336,1
333,67,313,1
334,70,74,1
335,71,12,1
336,71,100,1
337,72,399,1
338,72,600,1
339,72,223,1
340,72,639,1
341,72,559,1
342,72,98,1
343,72,309,1
344,72,34,1
345,73,82,1
346,76,31,1
347,76,8,1
348,76,64,1
349,77,202,1
350,77,543,1
351,78,573,1
352,78,104,1
353,79,633,1
354,79,46,1
355,79,129,1
356,82,28,1
357,82,655,1
358,82,64,1
359,82,5,1
360,83,120,1
361,83,146,1
362,85,551,1
363,85,309,1
364,85,450,1
365,85,4,1
366,85,336,1
367,85,354,1
368,85,436,1
369,85,227,1
370,85,612,1
371,85,700,1
372,85,382,1
373,85,12,1
374,85,639,1
375,85,566,1
376,85,625,1
377,85,141,1
378,85,390,1
379,85,489,1
380,85,405,1
381,85,368,1
382,85,386,1
383,85,579,1
384,86,173,1
385,87,101,1
386,87,111,1
387,87,126,1
388,88,269,1
389,91,64,1
390,93,97,1
391,93,42,1
392,93,84,1
393,93,95,1
394,95,93,1
395,97,35,1
396,97,443,1
397,97,0,1
398,97,683,1
399,97,536,1
400,97,654,1
401,97,143,1
402,97,550,1
403,97,79,1
404,97,560,1
405,97,109,1
406,97,60,1
407,97,539,1
408,97,339,1
409,97,669,1
410,97,377,1
411,97,476,1
412,97,20,1
413,97,61,1
414,97,28,1
415,97,7,1
416,97,93,1
417,97,460,1
418,97,34,1
419,97,640,1
420,97,56,1
421,97,701,1
422,97,149,1
423,97,372,1
424,97,543,1
425,97,194,1
426,97,234,1
427,97,130,1
428,97,382,1
429,97,156,1
430,97,427,1
431,97,345,1
432,97,556,1
433,97,351,1
434,97,57,1
435,97,421,1
436,97,287,1
437,97,366,1
438,97,690,1
439,98,34,1
440,98,399,1
441,98,354,1
442,98,72,1
443,98,448,1
444,98,54,1
445,98,600,1
446,98,639,1
447,98,551,1
448,98,309,1
449,98,223,1
450,98,335,1
451,100,219,1
452,100,71,1
453,100,97,1
454,100,679,1
455,101,126,1
456,101,106,1
457,101,576,1
458,101,200,1
459,103,228,1
460,103,669,1
461,103,346,1
462,103,296,1
463,104,46,1
464,104,25,1
465,104,12,1
466,104,169,1
467,106,76,1
468,106,56,1
469,106,101,1
470,106,58,1
471,107,209,1
472,107,130,1
473,107,187,1
474,107,286,1
475,107,188,1
476,107,215,1
477,107,633,1
478,107,287,1
479,107,20,1
480,107,648,1
481,107,296,1
482,107,43,1
483,107,645,1
484,107,298,1
485,107,421,1
486,107,57,1
487,107,366,1
488,107,382,1
489,107,326,1
490,107,510,1
491,107,334,1
492,107,700,1
493,107,294,1
494,107,351,1
495,107,225,1
496,107,234,1
497,107,184,1
498,107,85,1
499,107,21,1
500,107,571,1
501,107,64,1
502,107,307,1
503,107,400,1
504,107,444,1
505,107,284,1
506,107,595,1
507,107,109,1
508,107,315,1
509,107,227,1
510,107,685,1
511,107,223,1
512,107,354,1
513,107,149,1
514,107,507,1
515,107,596,1
516,107,143,1
517,107,229,1
518,107,439,1
519,107,451,1
520,107,196,1
521,107,99,1
522,107,483,1
523,108,142,1
524,108,649,1
525,108,97,1
526,108,72,1
527,108,360,1
528,108,148,1
529,108,411,1
530,108,196,1
531,108,60,1
532,108,10,1
533,108,189,1
534,109,634,1
535,110,158,1
536,110,139,1
537,110,64,1
538,110,116,1
539,110,688,1
540,111,87,1
541,111,200,1
542,111,101,1
543,113,36,1
544,113,151,1
545,115,622,1
546,116,426,1
547,116,138,1
548,116,110,1
549,116,369,1
550,116,78,1
551,116,297,1
552,116,84,1
553,116,174,1
554,116,57,1
555,116,177,1
556,117,41,1
557,117,313,1
558,117,641,1
559,117,567,1
560,117,104,1
561,117,281,1
562,117,135,1
563,117,504,1
564,117,28,1
565,117,602,1
566,117,343,1
567,117,75,1
568,119,31,1
569,120,128,1
570,120,153,1
571,120,28,1
572,120,581,1
573,120,114,1
574,120,259,1
575,122,108,1
576,122,111,1
577,122,154,1
578,122,355,1
579,122,399,1
580,122,168,1
581,122,71,1
582,122,639,1
583,122,8,1
584,122,670,1
585,122,374,1
586,122,208,1
587,122,137,1
588,122,344,1
589,122,2,1
590,122,61,1
591,122,406,1
592,125,95,1
593,125,5,1
594,125,12,1
595,125,285,1
596,125,339,1
597,125,8,1
598,125,196,1
599,125,519,1
600,126,87,1
601,126,200,1
602,126,111,1
603,127,405,1
604,127,639,1
605,127,354,1
606,127,566,1
607,127,368,1
608,127,655,1
609,127,382,1
610,127,386,1
611,127,579,1
612,127,680,1
613,127,67,1
614,127,700,1
615,127,527,1
616,127,454,1
617,127,227,1
618,127,625,1
619,127,311,1
620,127,436,1
621,127,269,1
622,127,675,1
623,127,335,1
624,127,473,1
625,128,158,1
626,128,499,1
627,128,200,1
628,128,140,1
629,129,79,1
630,131,573,1
631,132,104,1
632,132,24,1
633,132,229,1
634,136,147,1
635,136,23,1
636,136,18,1
637,138,28,1
638,138,11,1
639,138,592,1
640,138,7,1
641,138,609,1
642,138,5,1
643,138,132,1
644,138,57,1
645,138,14,1
646,138,232,1
647,138,330,1
648,139,189,1
649,139,110,1
650,139,116,1
651,139,688,1
652,140,10,1
653,140,57,1
654,140,11,1
655,140,76,1
656,140,643,1
657,140,46,1
658,140,56,1
659,140,70,1
660,140,128,1
661,140,153,1
662,140,169,1
663,141,227,1
664,141,694,1
665,141,12,1
666,141,600,1
667,141,195,1
668,141,399,1
669,141,335,1
670,141,473,1
671,141,127,1
672,141,579,1
673,141,85,1
674,141,489,1
675,147,136,1
676,147,185,1
677,147,18,1
678,149,655,1
679,151,113,1
680,152,138,1
681,154,17,1
682,154,182,1
683,154,55,1
684,154,199,1
685,154,403,1
686,154,21,1
687,155,202,1
688,156,669,1
689,156,490,1
690,156,228,1
691,157,32,1
692,158,110,1
693,158,120,1
694,160,57,1
695,160,104,1
696,162,24,1
697,163,173,1
698,163,36,1
699,165,172,1
700,165,144,1
701,167,36,1
702,167,163,1
703,168,620,1
704,168,156,1
705,168,586,1
706,168,463,1
707,168,123,1
708,168,574,1
709,168,667,1
710,168,332,1
711,168,387,1
712,168,363,1
713,168,430,1
714,168,539,1
715,168,595,1
716,168,506,1
717,168,385,1
718,168,166,1
719,168,146,1
720,168,104,1
721,168,458,1
722,168,28,1
723,168,70,1
724,168,39,1
725,168,459,1
726,170,113,1
727,173,86,1
728,173,163,1
729,173,36,1
730,174,116,1
731,174,139,1
732,174,110,1
733,175,165,1
734,176,261,1
735,176,181,1
736,176,182,1
737,176,199,1
738,178,35,1
739,179,690,1
740,179,309,1
741,179,436,1
742,179,675,1
743,179,4,1
744,179,25,1
745,179,67,1
746,179,680,1
747,179,700,1
748,179,335,1
749,179,127,1
750,179,473,1
751,180,132,1
752,181,171,1
753,181,182,1
754,181,176,1
755,182,154,1
756,182,102,1
757,182,176,1
758,182,110,1
759,185,147,1
760,188,104,1
761,188,557,1
762,188,10,1
763,188,316,1
764,188,56,1
765,188,689,1
766,188,655,1
767,189,139,1
768,189,116,1
769,189,688,1
770,189,188,1
771,190,313,1
772,190,612,1
773,190,141,1
774,191,5,1
775,191,112,1
776,194,127,1
777,194,667,1
778,194,37,1
779,194,234,1
780,196,125,1
781,196,108,1
782,196,493,1
783,199,185,1
784,199,589,1
785,199,449,1
786,199,182,1
787,199,181,1
788,199,35,1
789,199,648,1
790,199,0,1
791,200,140,1
792,200,128,1
793,200,126,1
794,200,87,1
795,201,64,1
796,201,559,1
797,201,448,1
798,202,155,1
799,0,185,0
800,0,475,0
801,0,391,0
802,4,381,0
803,4,120,0
804,4,560,0
805,4,188,0
806,4,160,0
807,4,375,0
808,4,54,0
809,4,285,0
810,4,647,0
811,4,242,0
812,4,277,0
813,4,523,0
814,4,439,0
815,4,425,0
816,4,352,0
817,4,467,0
818,4,79,0
819,4,77,0
820,4,126,0
821,4,326,0
822,4,638,0
823,4,219,0
824,5,206,0
825,5,63,0
826,5,100,0
827,5,698,0
828,5,509,0
829,5,484,0
830,5,291,0
831,5,103,0
832,5,123,0
833,5,304,0
834,5,649,0
835,5,400,0
836,5,112,0
837,5,447,0
838,5,467,0
839,5,430,0
840,5,500,0
841,5,395,0
842,5,602,0
843,5,49,0
844,5,181,0
845,5,535,0
846,5,325,0
847,5,210,0
848,5,302,0
849,5,185,0
850,5,531,0
851,5,306,0
852,5,482,0
853,5,165,0
854,7,240,0
855,7,548,0
856,7,215,0
857,8,474,0
858,8,602,0
859,8,601,0
860,8,122,0
861,8,450,0
862,8,575,0
863,8,647,0
864,8,407,0
865,8,566,0
866,9,368,0
867,9,259,0
868,10,509,0
869,10,503,0
870,10,175,0
871,10,261,0
872,10,657,0
873,10,253,0
874,12,578,0
875,12,488,0
876,12,421,0
877,12,117,0
878,12,602,0
879,12,592,0
880,12,241,0
881,12,360,0
882,12,341,0
883,12,482,0
884,12,168,0
885,12,337,0
886,12,129,0
887,14,114,0
888,14,383,0
889,14,56,0
890,14,286,0
891,15,21,0
892,16,355,0
893,16,109,0
894,16,234,0
895,16,264,0
896,16,441,0
897,16,254,0
898,16,647,0
899,16,371,0
900,16,552,0
901,16,225,0
902,16,312,0
903,16,105,0
904,16,369,0
905,16,300,0
906,16,664,0
907,16,131,0
908,16,165,0
909,16,45,0
910,16,487,0
911,16,648,0
912,16,589,0
913,16,256,0
914,16,698,0
915,16,654,0
916,16,385,0
917,16,204,0
918,16,231,0
919,17,371,0
920,18,139,0
921,18,89,0
922,18,589,0
923,21,561,0
924,22,292,0
925,23,143,0
926,23,38,0
927,23,235,0
928,24,172,0
929,24,64,0
930,24,678,0
931,24,576,0
932,24,306,0
933,24,500,0
934,24,515,0
935,24,131,0
936,24,546,0
937,24,344,0
938,25,383,0
939,25,195,0
940,25,33,0
941,25,135,0
942,25,393,0
943,25,505,0
944,25,317,0
945,25,422,0
946,25,373,0
947,25,516,0
948,25,666,0
949,25,298,0
950,25,210,0
951,25,448,0
952,25,169,0
953,25,79,0
954,25,626,0
955,25,593,0
956,25,685,0
957,25,333,0
958,25,583,0
959,25,347,0
960,28,446,0
961,28,301,0
962,28,18,0
963,28,425,0
964,28,242,0
965,28,525,0
966,28,589,0
967,28,282,0
968,28,17,0
969,28,6,0
970,28,412,0
971,28,386,0
972,28,137,0
973,28,180,0
974,28,636,0
975,28,612,0
976,28,239,0
977,28,244,0
978,28,90,0
979,31,198,0
980,31,411,0
981,31,663,0
982,31,277,0
983,31,522,0
984,31,214,0
985,31,127,0
986,31,429,0
987,31,474,0
988,31,265,0
989,31,691,0
990,31,696,0
991,31,442,0
992,31,409,0
993,31,107,0
994,31,238,0
995,31,294,0
996,31,410,0
997,31,483,0
998,31,237,0
999,31,53,0
1000,31,519,0
1001,31,524,0
1002,31,242,0
1003,31,418,0
1004,31,225,0
1005,31,520,0
1006,31,332,0
1007,31,202,0
1008,31,448,0
1009,32,520,0
1010,32,297,0
1011,33,359,0
1012,33,456,0
1013,35,417,0
1014,35,313,0
1015,35,148,0
1016,35,548,0
1017,35,650,0
1018,36,207,0
1019,36,690,0
1020,36,329,0
1021,36,199,0
1022,37,167,0
1023,39,286,0
1024,41,556,0
1025,42,682,0
1026,42,554,0
1027,42,209,0
1028,42,233,0
1029,42,363,0
1030,45,321,0
1031,46,304,0
1032,46,231,0
1033,46,8,0
1034,46,543,0
1035,52,491,0
1036,52,476,0
1037,52,405,0
1038,52,88,0
1039,52,13,0
1040,52,651,0
1041,52,282,0
1042,52,571,0
1043,52,587,0
1044,52,325,0
1045,52,41,0
1046,52,537,0
1047,52,223,0
1048,52,233,0
1049,52,454,0
1050,52,4,0
1051,52,303,0
1052,52,7,0
1053,52,158,0
1054,52,667,0
1055,52,210,0
1056,52,89,0
1057,52,584,0
1058,52,543,0
1059,53,627,0
1060,53,649,0
1061,53,443,0
1062,53,625,0
1063,54,663,0
1064,54,346,0
1065,54,170,0
1066,55,487,0
1067,56,168,0
1068,56,679,0
