#ID	Name
G0	SRSF1
G1	PHB2
G2	ZFP110
G3	TSC22D3
G4	MCM6
G5	JUN
G6	LMO4
G7	ABL1
G8	MEIS1
G9	PBX1
G10	NFATC1
G11	CREB5
G12	RB1
G13	EYA1
G14	PGR
G15	EPOR
G16	MYB
G17	HCLS1
G18	HDAC11
G19	SLA2
G20	ZZZ3
G21	GTF2H1
G22	NR3C2
G23	MEF2C
G24	GATA2
G25	MCM3
G26	ABTB1
G27	ZFP467
G28	FOS
G29	ELF4
G30	GLIS2
G31	GATA1
G32	JARID2
G33	XAB2
G34	BUB3
G35	ERCC8
G36	POLR3F
G37	NRF1
G38	PLAG1
G39	MAPK9
G40	MYNN
G41	MAPK1
G42	E2F4
G43	CBX7
G44	PRDM5
G45	ZSCAN21
G46	IKZF1
G47	NFXL1
G48	NFIA
G49	AFF4
G50	BATF2
G51	DDX58
G52	AHR
G53	POLR1B
G54	MIS18BP1
G55	ZFP592
G56	ID2
G57	STAT3
G58	SPI1
G59	KLF3
G60	RELB
G61	MAPK12
G62	YBX1
G63	TTF1
G64	HDAC2
G65	RAD51
G66	REXO4
G67	MCM4
G68	FEM1B
G69	DCP1A
G70	RUNX1T1
G71	HCFC1
G72	AHCTF1
G73	PHF10
G74	TCF12
G75	TLR4
G76	GFI1B
G77	ZFP36
G78	EPAS1
G79	BMI1
G80	SOX18
G81	HNRNPAB
G82	SMARCA2
G83	XRCC6
G84	PRDM16
G85	MCM2
G86	GTF3C3
G87	THRB
G88	HIST1H1C
G89	RORA
G90	TCF19
G91	HDAC9
G92	EYA2
G93	SMAD2
G94	DEK
G95	ZEB2
G96	ZFP30
G97	MYC
G98	CENPK
G99	TAF12
G100	NDN
G101	VDR
G102	ZBTB43
G103	PWP1
G104	RUNX2
G105	SNRPB
G106	GFI1
G107	MYCN
G108	REL
G109	HDGF
G110	PML
G111	NR4A1
G112	H1F0
G113	CITED4
G114	TEAD3
G115	TOX4
G116	IRF1
G117	ETS1
G118	CSRP3
G119	KLF1
G120	NCOA6
G121	ZKSCAN6
G122	EGR1
G123	SATB1
G124	ZDHHC13
G125	HOXA9
G126	RORC
G127	MCM7
G128	PPARGC1A
G129	CBFB
G130	RNF4
G131	VHL
G132	NOTCH1
G133	SALL2
G134	SP4
G135	EBF1
G136	HDAC7
G137	RNF19A
G138	ESR1
G139	IRF8
G140	FOXO1
G141	ORC2
G142	ZBTB10
G143	MXD3
G144	ELP3
G145	IKZF2
G146	XRCC5
G147	HDAC10
G148	NFAT5
G149	NUPR1
G150	BTAF1
G151	RAI14
G152	NR2C1
G153	TRIB3
G154	NFE2
G155	CNOT7
G156	PA2G4
G157	ZKSCAN17
G158	MED16
G159	E2F8
G160	TRPS1
G161	IFI204
G162	HLF
G163	ZFP143
G164	TLE2
G165	CTR9
G166	KLF6
G167	SNAPC3
G168	MECOM
G169	SOX6
G170	ZDHHC6
G171	E2F6
G172	ELP2
G173	LZTS1
G174	IRF6
G175	RUVBL2
G176	GTF2F1
G177	ZBTB20
G178	XPC
G179	HMGB2
G180	APBB1
G181	TAF1
G182	GTF2E1
G183	SPO11
G184	ELL2
G185	ZFP275
G186	ARID3B
G187	TOPORS
G188	NFATC2
G189	IRF5
G190	MCM5
G191	RARB
G192	XRCC3
G193	PRDM4
G194	NFE2L2
G195	BLZF1
G196	NFKBIA
G197	TEAD2
G198	TSHZ3
G199	POLR2B
G200	HNF4A
G201	DDX20
G202	BTG2
G203	TTF2
G204	PLA2G12A
G205	FTSJ1
G206	CTLA2A
G207	RAD51AP1
G208	HSPH1
G209	PICALM
G210	ACAA2
G211	CUL4A
G212	PACSIN2
G213	CRIP2
G214	THUMPD3
G215	METAP1
G216	SQOR
G217	ABCF3
G218	LYZ2
G219	MAGED1
G220	INPP5B
G221	STEAP3
G222	TSPAN33
G223	RANGAP1
G224	USP10
G225	TXNRD2
G226	WDR6
G227	CDT1
G228	PNO1
G229	CCNE1
G230	ST6GALNAC4
G231	PROCR
G232	RASSF5
G233	MTFR1
G234	GCLC
G235	TBC1D10C
G236	EMILIN2
G237	TLK1
G238	CTSO
G239	HPN
G240	ATL2
G241	PITPNB
G242	LCP2
G243	ARL6IP6
G244	MAVS
G245	LSP1
G246	TUBGCP3
G247	TRIB2
G248	NGLY1
G249	PSEN2
G250	ATAD1
G251	PADI4
G252	GIMAP6
G253	ATG12
G254	UAP1
G255	NXPE2
G256	GNB4
G257	TNFRSF13B
G258	YOD1
G259	ABCB4
G260	GT(ROSA)26SOR
G261	PRPF4
G262	HEBP1
G263	ST3GAL5
G264	GPR171
G265	MARS
G266	SLC18A2
G267	ANXA6
G268	PPIL4
G269	BUB1B
G270	HERC4
G271	GFM1
G272	RFESD
G273	NARFL
G274	C1QTNF12
G275	ATP1B2
G276	TMEM176A
