#ID,TF,index
0,43,38
1,43,99
2,43,96
3,15,641
4,15,252
5,15,411
6,15,107
7,15,752
8,15,338
9,15,1079
10,15,784
11,112,1123
12,112,237
13,112,391
14,19,396
15,12,403
16,75,373
17,75,765
18,75,15
19,75,17
20,75,451
21,75,1039
22,75,108
23,33,122
24,47,76
25,110,96
26,86,765
27,86,50
28,17,21
29,40,88
30,40,784
31,40,122
32,24,87
33,107,1123
34,107,209
35,107,411
36,107,453
37,107,805
38,107,4
39,107,122
40,32,765
41,55,15
42,76,404
43,118,765
44,118,1123
45,118,388
46,118,21
47,118,258
48,21,507
49,21,374
50,21,1078
51,21,285
52,21,765
53,21,86
54,21,338
55,21,31
56,21,805
57,21,98
58,38,86
59,38,338
60,38,1024
61,131,284
62,131,21
63,52,507
64,119,1072
65,119,863
66,61,240
67,61,1034
68,97,66
69,97,85
70,23,863
71,23,81
72,113,15
73,54,107
74,96,641
75,96,765
76,96,112
77,96,107
78,96,122
79,104,784
80,104,21
81,104,22
82,4,118
83,4,21
84,79,507
85,25,765
86,57,507
87,57,122
88,105,1123
89,51,863
90,51,676
91,122,1123
92,122,896
93,122,112
94,122,391
95,122,650
96,122,404
97,122,471
98,122,40
99,122,509
100,122,658
101,122,115
102,106,87
103,34,589
104,130,765
105,88,141
106,88,21
107,88,96
108,114,98
109,29,567
110,78,737
111,78,641
112,78,202
113,78,863
114,78,1078
115,78,298
116,78,700
117,78,170
118,78,1014
119,78,845
120,78,413
121,78,1002
122,78,454
123,78,724
124,78,1057
125,78,92
126,78,200
127,78,613
128,78,295
129,78,359
130,78,1025
131,78,838
132,78,601
133,78,311
134,78,611
135,78,740
136,78,605
137,78,628
138,78,159
139,78,685
140,78,640
141,95,507
142,48,6
143,48,102
144,74,1031
145,74,86
146,74,1025
147,74,838
148,74,422
149,74,629
150,74,605
151,74,120
152,74,1013
153,43,863
154,43,284
155,43,765
156,43,235
157,43,21
158,43,131
159,43,1066
160,15,268
161,15,225
162,15,63
163,15,803
164,15,73
165,15,469
166,15,515
167,15,261
168,15,224
169,15,989
170,15,404
171,15,937
172,15,110
173,15,39
174,15,655
175,15,735
176,15,32
177,15,959
178,15,69
179,15,13
180,15,76
181,15,1057
182,15,21
183,15,61
184,15,900
185,15,451
186,15,696
187,15,104
188,15,936
189,15,231
190,15,147
191,15,760
192,15,539
193,15,270
194,15,440
195,15,614
196,15,1008
197,19,524
198,8,661
199,8,61
200,8,791
201,8,129
202,8,91
203,75,632
204,75,676
205,75,95
206,75,1123
207,75,224
208,75,1090
209,75,47
210,75,937
211,75,41
212,75,254
213,75,403
214,75,49
215,75,303
