G0	NAP1L3
G1	RORA
G2	TEAD2
G3	GTF2H1
G4	RELB
G5	PHF10
G6	ELP2
G7	TTF2
G8	ERCC8
G9	LZTS1
G10	PBX1
G11	JARID2
G12	EYA2
G13	MECOM
G14	DDX58
G15	EGR1
G16	PRDM16
G17	IKZF1
G18	MCM3
G19	EPAS1
G20	MCM2
G21	MYC
G22	RORC
G23	NUPR1
G24	IRF9
G25	SALL2
G26	GTF2F1
G27	RPS6KA5
G28	CSRP3
G29	CBFB
G30	MCM4
G31	NFIA
G32	KLF6
G33	GATA2
G34	YBX1
G35	TLE2
G36	SPO11
G37	MCM6
G38	MYCN
G39	HNRNPAB
G40	IRF8
G41	LMO4
G42	EBF1
G43	E2F4
G44	BATF2
G45	ZFP467
G46	TRPS1
G47	GFI1B
G48	CTR9
G49	ORC2
G50	NFKBIA
G51	SMARCA2
G52	NFAT5
G53	TAF12
G54	RARB
G55	MAPK1
G56	TOPORS
G57	SATB1
G58	ZDHHC6
G59	VDR
G60	ZEB2
G61	NFE2
G62	XRCC6
G63	APBB1
G64	ZBTB38
G65	POLR1B
G66	MLLT3
G67	E2F8
G68	CBX7
G69	MAPK12
G70	XRCC3
G71	ZBTB20
G72	HDAC7
G73	ARID3B
G74	DDX20
G75	FOXO1
G76	MEIS1
G77	PA2G4
G78	CENPK
G79	RUNX1T1
G80	SRSF1
G81	TCF19
G82	MXD3
G83	FEM1B
G84	PHB2
G85	TSC22D3
G86	HDAC2
G87	IRF7
G88	ABL1
G89	MED16
G90	SOX18
G91	XPC
G92	MIS18BP1
G93	REXO4
G94	MAML3
G95	CREB5
G96	RB1
G97	NR3C2
G98	ZFP36
G99	RAD51
G100	MCM5
G101	RNF4
G102	RUVBL2
G103	MCM7
G104	REL
G105	SLA2
G106	STAT2
G107	JUN
G108	TRIB3
G109	H1F0
G110	HCFC1
G111	DEK
G112	ELF1
G113	PLAG1
G114	BTG2
G115	TLR4
G116	ZDHHC13
G117	HLF
G118	MYB
G119	NFATC2
G120	SNRPB
G121	BTAF1
G122	SPI1
G123	HIF3A
G124	HDGF
G125	ATF7
G126	IRF6
G127	HMGB2
G128	HDAC11
G129	POLR2B
G130	ZBTB16
G131	NDN
