,TF,Target,Label
0,4,50,1
1,4,411,1
2,4,118,1
3,5,51,1
4,8,129,1
5,8,661,1
6,8,791,1
7,10,76,1
8,11,96,1
9,11,1101,1
10,13,57,1
11,13,230,1
12,13,1082,1
13,13,79,1
14,13,694,1
15,13,1083,1
16,13,949,1
17,13,194,1
18,13,19,1
19,13,888,1
20,13,586,1
21,13,808,1
22,13,996,1
23,13,429,1
24,13,41,1
25,13,869,1
26,13,75,1
27,13,77,1
28,15,110,1
29,15,641,1
30,15,614,1
31,15,1079,1
32,15,469,1
33,15,752,1
34,15,32,1
35,15,76,1
36,15,936,1
37,15,261,1
38,15,696,1
39,15,224,1
40,15,539,1
41,15,1057,1
42,15,411,1
43,15,655,1
44,15,760,1
45,15,959,1
46,15,735,1
47,15,338,1
48,15,63,1
49,15,147,1
50,15,104,1
51,15,515,1
52,17,21,1
53,17,476,1
54,17,86,1
55,17,940,1
56,17,15,1
57,17,834,1
58,17,307,1
59,17,507,1
60,18,863,1
61,18,1089,1
62,18,282,1
63,18,96,1
64,18,724,1
65,18,628,1
66,18,579,1
67,18,765,1
68,18,386,1
69,18,792,1
70,18,793,1
71,18,697,1
72,18,170,1
73,18,1002,1
74,18,763,1
75,18,166,1
76,18,640,1
77,18,1005,1
78,18,494,1
79,18,685,1
80,18,298,1
81,18,284,1
82,18,1066,1
83,18,961,1
84,18,30,1
85,18,1034,1
86,18,295,1
87,18,580,1
88,18,319,1
89,18,1079,1
90,18,730,1
91,18,20,1
92,18,1128,1
93,18,801,1
94,18,202,1
95,18,1078,1
96,19,396,1
97,20,1058,1
98,20,863,1
99,20,763,1
100,20,96,1
101,20,612,1
102,20,386,1
103,20,961,1
104,20,579,1
105,20,127,1
106,20,311,1
107,20,375,1
108,20,170,1
109,20,285,1
110,20,724,1
111,20,18,1
112,20,387,1
113,20,1034,1
114,20,49,1
115,20,580,1
116,20,1078,1
117,20,666,1
118,20,765,1
119,20,200,1
120,20,640,1
121,20,791,1
122,20,793,1
123,20,437,1
124,20,295,1
125,20,628,1
126,20,436,1
127,20,494,1
128,20,801,1
129,20,1002,1
130,20,313,1
131,20,1005,1
132,20,730,1
133,21,338,1
134,21,743,1
135,21,88,1
136,21,254,1
137,21,977,1
138,21,78,1
139,21,39,1
140,21,595,1
141,21,710,1
142,21,86,1
143,21,1049,1
144,21,401,1
145,21,745,1
146,21,740,1
147,21,720,1
148,21,1078,1
149,21,1085,1
150,21,1114,1
151,21,773,1
152,21,868,1
153,21,883,1
154,21,293,1
155,21,472,1
156,21,918,1
157,21,639,1
158,21,730,1
159,21,726,1
160,21,232,1
161,21,508,1
162,21,630,1
163,21,248,1
164,21,158,1
165,21,382,1
166,21,34,1
167,21,874,1
168,21,692,1
169,21,729,1
170,21,65,1
171,21,307,1
172,21,256,1
173,21,591,1
174,21,739,1
175,21,441,1
176,21,398,1
177,21,237,1
178,21,69,1
179,21,96,1
180,21,962,1
181,21,82,1
182,21,1013,1
183,21,512,1
184,21,758,1
185,21,230,1
186,21,306,1
187,21,747,1
188,21,763,1
189,21,31,1
190,21,765,1
191,21,23,1
192,21,181,1
193,21,77,1
194,21,1036,1
195,21,1070,1
196,21,805,1
197,21,761,1
198,21,290,1
199,21,556,1
200,21,1034,1
201,21,904,1
202,21,16,1
203,21,853,1
204,21,24,1
205,21,301,1
206,21,224,1
207,21,310,1
208,22,59,1
209,22,874,1
210,23,863,1
211,24,126,1
212,24,786,1
213,24,40,1
214,24,106,1
215,24,776,1
216,24,411,1
217,26,890,1
218,26,690,1
219,26,129,1
220,26,353,1
221,29,567,1
222,30,1066,1
223,30,253,1
224,30,579,1
225,30,20,1
226,30,871,1
227,30,1078,1
228,30,801,1
229,30,982,1
230,30,465,1
231,30,37,1
232,30,96,1
233,30,961,1
234,30,282,1
235,30,387,1
236,30,284,1
237,30,612,1
238,30,765,1
239,30,298,1
240,30,203,1
241,30,1005,1
242,30,1128,1
243,30,613,1
244,30,49,1
245,30,666,1
246,30,295,1
247,30,541,1
248,30,885,1
249,30,313,1
250,30,641,1
251,30,386,1
252,30,611,1
253,30,1058,1
254,32,765,1
255,33,415,1
256,33,163,1
257,33,79,1
258,33,436,1
259,33,54,1
260,33,585,1
261,33,524,1
262,33,1027,1
263,33,130,1
264,33,590,1
265,36,494,1
266,36,149,1
267,37,49,1
268,37,700,1
269,37,203,1
270,37,885,1
271,37,465,1
272,37,494,1
273,37,1002,1
274,37,20,1
275,37,313,1
276,37,641,1
277,37,611,1
278,37,103,1
279,37,387,1
280,37,386,1
281,37,1058,1
282,37,298,1
283,37,200,1
284,37,793,1
285,37,613,1
286,37,1128,1
287,37,579,1
288,37,1034,1
289,37,961,1
290,37,202,1
291,37,541,1
292,37,1079,1
293,37,640,1
294,37,375,1
295,37,982,1
296,37,730,1
297,37,791,1
298,37,96,1
299,37,18,1
300,37,311,1
301,38,999,1
302,38,301,1
303,38,1034,1
304,38,459,1
305,38,900,1
306,38,20,1
307,38,671,1
308,38,166,1
309,38,190,1
310,38,718,1
311,38,297,1
312,38,805,1
313,38,878,1
314,38,1052,1
315,38,734,1
316,38,1118,1
317,38,998,1
318,38,512,1
319,38,250,1
320,38,646,1
321,38,690,1
322,38,428,1
323,38,586,1
324,38,226,1
325,38,202,1
326,38,1088,1
327,38,1085,1
328,38,605,1
329,38,590,1
330,38,569,1
331,38,681,1
332,38,39,1
333,38,1070,1
334,38,811,1
335,38,82,1
336,38,34,1
337,38,171,1
338,38,699,1
339,38,539,1
340,38,253,1
341,38,844,1
342,38,338,1
343,38,693,1
344,38,819,1
345,38,948,1
346,38,472,1
347,38,842,1
348,38,469,1
349,38,23,1
350,38,870,1
351,38,157,1
352,38,1049,1
353,38,224,1
354,38,337,1
355,38,181,1
356,38,543,1
357,38,643,1
358,38,284,1
359,38,743,1
360,38,515,1
361,38,914,1
362,38,1087,1
363,38,254,1
364,38,123,1
365,38,242,1
366,38,282,1
367,38,487,1
368,38,285,1
369,38,962,1
370,38,1068,1
371,38,936,1
372,38,125,1
373,38,979,1
374,38,779,1
375,38,634,1
376,38,398,1
377,38,737,1
378,38,716,1
379,38,591,1
380,38,230,1
381,38,768,1
382,38,740,1
383,38,796,1
384,38,382,1
385,38,847,1
386,38,173,1
387,38,65,1
388,38,517,1
389,38,667,1
390,38,710,1
391,38,209,1
392,40,776,1
393,40,786,1
394,40,784,1
395,40,676,1
396,40,24,1
397,40,126,1
398,43,863,1
399,43,765,1
400,43,235,1
401,43,131,1
402,43,1066,1
403,47,584,1
404,47,76,1
405,48,6,1
406,49,494,1
407,49,685,1
408,49,18,1
409,49,284,1
410,49,20,1
411,49,961,1
412,49,1057,1
413,49,1078,1
414,49,319,1
415,49,612,1
416,49,30,1
417,49,730,1
418,49,103,1
419,49,100,1
420,49,202,1
421,50,104,1
422,50,4,1
423,50,408,1
424,51,5,1
425,51,365,1
426,51,86,1
427,51,17,1
428,52,507,1
429,54,558,1
430,54,107,1
431,55,15,1
432,56,281,1
433,57,130,1
434,57,122,1
435,59,835,1
436,61,8,1
437,61,49,1
438,61,58,1
439,61,3,1
440,62,792,1
441,65,286,1
442,65,809,1
443,65,232,1
444,65,157,1
445,69,784,1
446,72,86,1
447,72,128,1
448,72,792,1
449,74,422,1
450,74,1013,1
451,74,838,1
452,74,605,1
453,74,629,1
454,75,95,1
455,75,224,1
456,75,303,1
457,75,775,1
458,75,373,1
459,75,451,1
460,75,137,1
461,75,632,1
462,75,108,1
463,75,1090,1
464,75,676,1
465,75,231,1
466,75,440,1
467,75,695,1
468,75,1123,1
469,76,627,1
470,76,412,1
471,76,792,1
472,76,329,1
473,76,57,1
474,76,767,1
475,76,404,1
476,76,231,1
477,76,595,1
478,76,652,1
479,76,1036,1
480,76,451,1
481,76,1063,1
482,76,51,1
483,76,96,1
484,76,131,1
485,77,286,1
486,77,175,1
487,77,232,1
488,77,914,1
489,77,602,1
490,78,724,1
491,78,413,1
492,78,605,1
493,78,298,1
494,78,700,1
495,78,170,1
496,78,863,1
497,78,845,1
498,78,838,1
499,78,1002,1
500,78,740,1
501,78,737,1
502,78,311,1
503,78,628,1
504,78,202,1
505,78,611,1
506,79,507,1
507,80,26,1
508,80,129,1
509,80,718,1
510,80,221,1
511,86,128,1
512,86,792,1
513,86,51,1
514,86,765,1
515,86,17,1
516,86,469,1
517,86,47,1
518,87,126,1
519,87,555,1
520,87,351,1
521,87,433,1
522,87,40,1
523,87,239,1
524,87,449,1
525,87,411,1
526,88,21,1
527,88,96,1
528,91,791,1
529,91,1005,1
530,92,1078,1
531,92,628,1
532,92,724,1
533,92,78,1
534,94,72,1
535,95,507,1
536,96,612,1
537,96,21,1
538,96,256,1
539,96,49,1
540,96,37,1
541,96,765,1
542,96,86,1
543,96,107,1
544,96,20,1
545,96,490,1
546,96,88,1
547,96,284,1
548,97,85,1
549,97,66,1
550,98,106,1
551,98,1027,1
552,100,612,1
553,100,49,1
554,103,436,1
555,103,127,1
556,103,980,1
557,103,319,1
