,TF,Target,Label
0,4,765,1
1,4,50,1
2,4,118,1
3,5,51,1
4,8,91,1
5,8,129,1
6,8,791,1
7,10,76,1
8,11,769,1
9,11,96,1
10,13,533,1
11,13,77,1
12,13,703,1
13,13,79,1
14,13,46,1
15,13,6,1
16,13,787,1
17,13,888,1
18,13,161,1
19,13,949,1
20,13,199,1
21,13,41,1
22,13,777,1
23,13,230,1
24,13,344,1
25,13,429,1
26,13,704,1
27,13,75,1
28,13,996,1
29,15,696,1
30,15,69,1
31,15,231,1
32,15,900,1
33,15,735,1
34,15,989,1
35,15,225,1
36,15,959,1
37,15,784,1
38,15,451,1
39,15,655,1
40,15,936,1
41,15,63,1
42,15,515,1
43,15,21,1
44,15,641,1
45,15,13,1
46,15,76,1
47,15,270,1
48,15,147,1
49,15,614,1
50,15,1057,1
51,15,760,1
52,15,110,1
53,17,307,1
54,17,51,1
55,17,21,1
56,17,940,1
57,17,86,1
58,17,448,1
59,17,595,1
60,17,916,1
61,18,923,1
62,18,285,1
63,18,1005,1
64,18,311,1
65,18,1066,1
66,18,375,1
67,18,127,1
68,18,1089,1
69,18,640,1
70,18,791,1
71,18,96,1
72,18,730,1
73,18,20,1
74,18,763,1
75,18,203,1
76,18,1128,1
77,18,685,1
78,18,1034,1
79,18,724,1
80,18,871,1
81,18,319,1
82,18,666,1
83,18,443,1
84,18,295,1
85,18,1078,1
86,18,170,1
87,18,980,1
88,18,612,1
89,18,387,1
90,18,313,1
91,18,282,1
92,18,284,1
93,18,801,1
94,18,166,1
95,18,628,1
96,18,765,1
97,19,396,1
98,20,295,1
99,20,313,1
100,20,443,1
101,20,612,1
102,20,18,1
103,20,885,1
104,20,375,1
105,20,30,1
106,20,982,1
107,20,494,1
108,20,579,1
109,20,611,1
110,20,961,1
111,20,319,1
112,20,1089,1
113,20,386,1
114,20,737,1
115,20,700,1
116,20,923,1
117,20,613,1
118,20,96,1
119,20,724,1
120,20,1079,1
121,20,282,1
122,20,730,1
123,20,127,1
124,20,763,1
125,20,628,1
126,20,465,1
127,20,863,1
128,20,702,1
129,20,793,1
130,20,387,1
131,20,200,1
132,20,311,1
133,20,541,1
134,21,884,1
135,21,34,1
136,21,710,1
137,21,375,1
138,21,671,1
139,21,821,1
140,21,556,1
141,21,773,1
142,21,254,1
143,21,248,1
144,21,1034,1
145,21,166,1
146,21,533,1
147,21,490,1
148,21,507,1
149,21,698,1
150,21,23,1
151,21,747,1
152,21,591,1
153,21,745,1
154,21,539,1
155,21,874,1
156,21,199,1
157,21,690,1
158,21,767,1
159,21,224,1
160,21,918,1
161,21,158,1
162,21,8,1
163,21,481,1
164,21,65,1
165,21,681,1
166,21,24,1
167,21,152,1
168,21,338,1
169,21,1070,1
170,21,1013,1
171,21,847,1
172,21,881,1
173,21,293,1
174,21,570,1
175,21,914,1
176,21,730,1
177,21,256,1
178,21,508,1
179,21,639,1
180,21,844,1
181,21,98,1
182,21,692,1
183,21,31,1
184,21,78,1
185,21,80,1
186,21,977,1
187,21,50,1
188,21,868,1
189,21,496,1
190,21,101,1
191,21,962,1
192,21,726,1
193,21,290,1
194,21,805,1
195,21,53,1
196,21,230,1
197,21,96,1
198,21,16,1
199,21,1114,1
200,21,69,1
201,21,173,1
202,21,595,1
203,21,441,1
204,21,569,1
205,21,469,1
206,21,175,1
207,21,1078,1
208,21,630,1
209,22,874,1
210,22,59,1
211,23,863,1
212,24,676,1
213,24,776,1
214,24,786,1
215,24,87,1
216,24,991,1
217,24,411,1
218,25,765,1
219,26,718,1
220,26,129,1
221,26,890,1
222,26,80,1
223,30,541,1
224,30,1089,1
225,30,319,1
226,30,666,1
227,30,1128,1
228,30,1078,1
229,30,313,1
230,30,1058,1
231,30,20,1
232,30,611,1
233,30,375,1
234,30,127,1
235,30,737,1
236,30,724,1
237,30,311,1
238,30,203,1
239,30,730,1
240,30,285,1
241,30,282,1
242,30,465,1
243,30,253,1
244,30,628,1
245,30,18,1
246,30,1066,1
247,30,579,1
248,30,37,1
249,30,961,1
250,30,871,1
251,30,765,1
252,30,103,1
253,30,295,1
254,30,982,1
255,30,640,1
256,33,117,1
257,33,845,1
258,33,1027,1
259,33,122,1
260,33,350,1
261,33,54,1
262,33,436,1
263,33,524,1
264,33,79,1
265,33,72,1
266,33,256,1
267,34,589,1
268,36,1005,1
269,36,149,1
270,37,295,1
271,37,765,1
272,37,30,1
273,37,1078,1
274,37,309,1
275,37,203,1
276,37,170,1
277,37,702,1
