#ID	Name
G0	NAP1L3
G1	RORA
G2	TEAD2
G3	GTF2H1
G4	RELB
G5	PHF10
G6	ELP2
G7	TTF2
G8	ERCC8
G9	LZTS1
G10	PBX1
G11	JARID2
G12	EYA2
G13	MECOM
G14	DDX58
G15	EGR1
G16	PRDM16
G17	IKZF1
G18	MCM3
G19	EPAS1
G20	MCM2
G21	MYC
G22	RORC
G23	NUPR1
G24	IRF9
G25	SALL2
G26	GTF2F1
G27	RPS6KA5
G28	CSRP3
G29	CBFB
G30	MCM4
G31	NFIA
G32	KLF6
G33	GATA2
G34	YBX1
G35	TLE2
G36	SPO11
G37	MCM6
G38	MYCN
G39	HNRNPAB
G40	IRF8
G41	LMO4
G42	EBF1
G43	E2F4
G44	BATF2
G45	ZFP467
G46	TRPS1
G47	GFI1B
G48	CTR9
G49	ORC2
G50	NFKBIA
G51	SMARCA2
G52	NFAT5
G53	TAF12
G54	RARB
G55	MAPK1
G56	TOPORS
G57	SATB1
G58	ZDHHC6
G59	VDR
G60	ZEB2
G61	NFE2
G62	XRCC6
G63	APBB1
G64	ZBTB38
G65	POLR1B
G66	MLLT3
G67	E2F8
G68	CBX7
G69	MAPK12
G70	XRCC3
G71	ZBTB20
G72	HDAC7
G73	ARID3B
G74	DDX20
G75	FOXO1
G76	MEIS1
G77	PA2G4
G78	CENPK
G79	RUNX1T1
G80	SRSF1
G81	TCF19
G82	MXD3
G83	FEM1B
G84	PHB2
G85	TSC22D3
G86	HDAC2
G87	IRF7
G88	ABL1
G89	MED16
G90	SOX18
G91	XPC
G92	MIS18BP1
G93	REXO4
G94	MAML3
G95	CREB5
G96	RB1
G97	NR3C2
G98	ZFP36
G99	RAD51
G100	MCM5
G101	RNF4
G102	RUVBL2
G103	MCM7
G104	REL
G105	SLA2
G106	STAT2
G107	JUN
G108	TRIB3
G109	H1F0
G110	HCFC1
G111	DEK
G112	ELF1
G113	PLAG1
G114	BTG2
G115	TLR4
G116	ZDHHC13
G117	HLF
G118	MYB
G119	NFATC2
G120	SNRPB
G121	BTAF1
G122	SPI1
G123	HIF3A
G124	HDGF
G125	ATF7
G126	IRF6
G127	HMGB2
G128	HDAC11
G129	POLR2B
G130	ZBTB16
G131	NDN
G132	TM7SF3
G133	CHCHD10
G134	CST7
G135	SLC26A2
G136	PSMD9
G137	STT3A
G138	NEURL3
G139	PPM1G
G140	COLGALT1
G141	CISH
G142	CASP12
G143	SGPP1
G144	ITGAL
G145	SULT1A1
G146	LY86
G147	SLC25A38
G148	FAM171A1
G149	TOP3B
G150	ATP8B4
G151	PGLYRP2
G152	SPNS2
G153	FTX
G154	EBI3
G155	ROBO4
G156	ACAA2
G157	PWP2
G158	WDR4
G159	SPC24
G160	NFAM1
G161	AFAP1L1
G162	UBR7
G163	FCGR2B
G164	CTC1
G165	PTPN7
G166	UBE2C
G167	TOMM40
G168	MAD2L1
G169	PCMTD2
G170	CENPA
G171	GPD1L
G172	KIF13A
G173	IARS
G174	NAA50
G175	BYSL
G176	PADI4
G177	ARID5A
G178	GPRASP1
G179	PCLAF
G180	UMPS
G181	TNPO1
G182	RFC4
G183	GIMAP8
G184	CSGALNACT1
G185	DEF8
G186	PCMTD1
G187	FCGR3
G188	ABITRAM
G189	CERK
G190	ADO
G191	KPNA3
G192	CDC6
G193	PTTG1IP
G194	FBXW11
G195	ITM2A
G196	SHISA5
G197	TXNIP
G198	G6PDX
G199	MYCT1
G200	NCAPG
G201	DNAJC5
G202	BUB1B
G203	RRM2
G204	NAPRT
G205	ACOX3
G206	NAMPT
G207	H2-Q6
G208	LAX1
G209	GCLC
G210	GM11346
G211	GCNT2
G212	ECT2
G213	ALDOC
G214	TGM2
G215	METTL7A1
G216	PTGR1
G217	GM20559
G218	TRIM30D
G219	SNAP23
G220	PRELID3B
G221	CSTF2
G222	9530068E07RIK
G223	SARAF
G224	CTSL
G225	AHCYL1
G226	MFSD1
G227	GRINA
G228	MAMDC2
G229	HARS
G230	SUPV3L1
G231	SESN1
G232	NOP2
G233	CYFIP2
G234	SCARF1
G235	DHFR
G236	HDC
G237	DNTT
G238	PATL1
G239	XAF1
G240	HMBS
G241	DNM1L
G242	FASTKD2
G243	CD274
G244	9430015G10RIK
G245	NSD2
G246	CSAD
G247	SPCS3
G248	WDR43
G249	STXBP4
G250	PDIA4
G251	NSUN2
G252	CDKN1C
G253	CSE1L
G254	MIR17HG
G255	PLXNA4OS1
G256	CDK6
G257	F2R
G258	PRTN3
G259	IGKC
G260	UAP1
G261	COL4A2
G262	ATP1B3
G263	MMRN1
G264	SMPDL3A
G265	TMEM50B
G266	MTMR6
G267	RHOF
G268	9530082P21RIK
G269	GUCY1A1
G270	STAG2
G271	IL17RA
G272	B230219D22RIK
G273	CD244A
G274	IPO9
G275	TRIM16
G276	SLCO4A1
G277	SH3BGRL
G278	RCSD1
G279	ARMT1
G280	TSPAN2
G281	NEDD1
G282	LIG1
G283	ACOX1
G284	CDK1
G285	CDCA7
G286	PNO1
G287	NUDCD1
G288	VAV1
G289	GM4951
G290	MDN1
G291	GM20342
G292	JPT2
G293	TRMT6
G294	NDUFV1
G295	NDC80
G296	COL4A1
G297	PRODH
G298	CDC20
G299	OSTM1
G300	GIMAP1OS
G301	SHMT1
G302	PSTPIP1
G303	PITPNC1
G304	SERPINB6B
G305	SERPINB9
G306	FGFR1OP
G307	EZR
G308	SELENBP1
G309	KIF20B
G310	AI506816
G311	PBK
G312	PIK3R2
G313	FBXO5
G314	SLC25A46
G315	CTSG
G316	UPP1
G317	PHF11B
G318	MAGED2
G319	MCM10
G320	EMID1
G321	SFXN1
G322	ATP6AP2
G323	ARHGEF39
G324	EAF1
G325	PFKP
G326	CD82
G327	ZMIZ1
G328	OBSL1
G329	FCHO2
G330	CERS6
G331	TCN2
G332	PYGM
G333	LHCGR
G334	LDHB
G335	UBE2L6
G336	SLA
G337	GMFB
G338	NDRG1
G339	GATM
G340	DPP8
G341	SLFN2
G342	STOM
G343	FARSA
G344	PDE4B
G345	PSMD6
G346	CCDC137
G347	ZFP451
