#ID,TF,index
0,TEAD2,0
1,POLR1B,1
2,BTG2,2
3,SOX18,3
4,IRF8,4
5,NFE2,5
6,IKZF1,6
7,BTAF1,7
8,MAML3,8
9,ZBTB20,9
10,HMGB2,10
11,NFAT5,11
12,PRDM16,12
13,IRF9,13
14,HDAC2,14
15,MIS18BP1,15
16,NAP1L3,16
17,REXO4,17
18,RORC,18
19,MECOM,19
20,STAT2,20
21,HDAC11,21
22,RB1,22
23,TOPORS,23
24,KLF6,24
25,BATF2,25
26,TRIB3,26
27,CTR9,27
28,PA2G4,28
29,MYCN,29
30,PBX1,30
31,DDX58,31
32,HDGF,32
33,LZTS1,33
34,PLAG1,34
35,JARID2,35
36,GTF2H1,36
37,TLE2,37
38,RELB,38
39,LMO4,39
40,MCM5,40
41,RAD51,41
42,NDN,42
43,E2F4,43
44,MCM2,44
45,ZDHHC6,45
46,ZBTB16,46
47,XRCC3,47
48,TLR4,48
49,MAPK12,49
50,POLR2B,50
51,IRF6,51
52,JUN,52
53,TTF2,53
54,VDR,54
55,REL,55
56,EGR1,56
57,EYA2,57
58,HDAC7,58
59,IRF7,59
60,ORC2,60
61,HLF,61
62,TCF19,62
63,ZBTB38,63
64,MCM4,64
65,EPAS1,65
66,RNF4,66
67,MCM6,67
68,ERCC8,68
69,CBFB,69
70,MEIS1,70
71,TRPS1,71
72,FOXO1,72
73,MYC,73
74,TAF12,74
75,HCFC1,75
76,SPO11,76
77,PHB2,77
78,SRSF1,78
79,ATF7,79
80,NUPR1,80
81,MAPK1,81
82,RUVBL2,82
83,ZFP467,83
84,E2F8,84
85,TSC22D3,85
86,SMARCA2,86
87,CENPK,87
88,GFI1B,88
89,XPC,89
90,NR3C2,90
91,RARB,91
92,MYB,92
93,DDX20,93
94,EBF1,94
95,APBB1,95
96,GATA2,96
97,HIF3A,97
98,ELF1,98
99,HNRNPAB,99
100,NFATC2,100
101,ABL1,101
102,NFKBIA,102
103,MED16,103
104,MCM3,104
105,XRCC6,105
106,H1F0,106
107,PHF10,107
108,CBX7,108
109,FEM1B,109
110,ARID3B,110
111,MXD3,111
112,DEK,112
113,SPI1,113
114,ZDHHC13,114
115,CREB5,115
116,RORA,116
117,SATB1,117
118,RUNX1T1,118
119,MCM7,119
120,NFIA,120
121,GTF2F1,121
122,MLLT3,122
123,YBX1,123
124,CSRP3,124
125,ELP2,125
126,SALL2,126
127,RPS6KA5,127
128,ZEB2,128
129,SNRPB,129
130,SLA2,130
131,ZFP36,131
