#ID,Gene,index
0,TEAD2,0
1,POLR1B,1
2,BTG2,2
3,SOX18,3
4,IRF8,4
5,NFE2,5
6,IKZF1,6
7,BTAF1,7
8,MAML3,8
9,ZBTB20,9
10,HMGB2,10
11,NFAT5,11
12,PRDM16,12
13,IRF9,13
14,HDAC2,14
15,MIS18BP1,15
16,NAP1L3,16
17,REXO4,17
18,RORC,18
19,MECOM,19
20,STAT2,20
21,HDAC11,21
22,RB1,22
23,TOPORS,23
24,KLF6,24
25,BATF2,25
26,TRIB3,26
27,CTR9,27
28,PA2G4,28
29,MYCN,29
30,PBX1,30
31,DDX58,31
32,HDGF,32
33,LZTS1,33
34,PLAG1,34
35,JARID2,35
36,GTF2H1,36
37,TLE2,37
38,RELB,38
39,LMO4,39
40,MCM5,40
41,RAD51,41
42,NDN,42
43,E2F4,43
44,MCM2,44
45,ZDHHC6,45
46,ZBTB16,46
47,XRCC3,47
48,TLR4,48
49,MAPK12,49
50,POLR2B,50
51,IRF6,51
52,JUN,52
53,TTF2,53
54,VDR,54
55,REL,55
56,EGR1,56
57,EYA2,57
58,HDAC7,58
59,IRF7,59
60,ORC2,60
61,HLF,61
62,TCF19,62
63,ZBTB38,63
64,MCM4,64
65,EPAS1,65
66,RNF4,66
67,MCM6,67
68,ERCC8,68
69,CBFB,69
70,MEIS1,70
71,TRPS1,71
72,FOXO1,72
73,MYC,73
74,TAF12,74
75,HCFC1,75
76,SPO11,76
77,PHB2,77
78,SRSF1,78
79,ATF7,79
80,NUPR1,80
81,MAPK1,81
82,RUVBL2,82
83,ZFP467,83
84,E2F8,84
85,TSC22D3,85
86,SMARCA2,86
87,CENPK,87
88,GFI1B,88
89,XPC,89
90,NR3C2,90
91,RARB,91
92,MYB,92
93,DDX20,93
94,EBF1,94
95,APBB1,95
96,GATA2,96
97,HIF3A,97
98,ELF1,98
99,HNRNPAB,99
100,NFATC2,100
101,ABL1,101
102,NFKBIA,102
103,MED16,103
104,MCM3,104
105,XRCC6,105
106,H1F0,106
107,PHF10,107
108,CBX7,108
109,FEM1B,109
110,ARID3B,110
111,MXD3,111
112,DEK,112
113,SPI1,113
114,ZDHHC13,114
115,CREB5,115
116,RORA,116
117,SATB1,117
118,RUNX1T1,118
119,MCM7,119
120,NFIA,120
121,GTF2F1,121
122,MLLT3,122
123,YBX1,123
124,CSRP3,124
125,ELP2,125
126,SALL2,126
127,RPS6KA5,127
128,ZEB2,128
129,SNRPB,129
130,SLA2,130
131,ZFP36,131
132,OTUD6B,132
133,PPP1R15A,133
134,CASP1,134
135,HACD4,135
136,GBP2,136
137,ATAD1,137
138,RAB31,138
139,GM1966,139
140,PLD3,140
141,PRKCQ,141
142,OSBPL1A,142
143,IGSF6,143
144,DUSP1,144
145,LYN,145
146,USP10,146
147,EML4,147
148,CERK,148
149,RRM1,149
150,CD300A,150
151,CDCA8,151
152,METAP1,152
153,4833439L19RIK,153
154,RMND5A,154
155,PBK,155
156,RFC5,156
157,CSTF2,157
158,RFC4,158
159,SLCO3A1,159
160,TSPAN14,160
161,IDH1,161
162,NEURL3,162
163,ATP6AP1,163
164,GLIPR2,164
165,TBC1D9B,165
166,DLST,166
167,PECAM1,167
168,FGL2,168
169,ELANE,169
170,FLNB,170
171,LY6C2,171
172,FCGR2B,172
173,ORC6,173
174,GM5111,174
175,COQ8A,175
176,TNIP3,176
177,OASL2,177
178,PLAA,178
179,TGTP2,179
180,IGKC,180
181,FAM76B,181
182,CTSG,182
183,DENND1C,183
184,ACAA2,184
185,TM6SF1,185
186,EMILIN1,186
187,TOP2A,187
188,CCDC137,188
189,MAGED2,189
190,LY6A,190
191,SLC25A46,191
192,MMRN1,192
193,RANGAP1,193
194,MUC13,194
195,TBC1D5,195
196,ATP13A1,196
197,FCHO2,197
198,TMEM50B,198
199,GPR65,199
200,UAP1,200
201,IL21R,201
202,PLEKHO2,202
203,TRMT11,203
204,PCMTD1,204
205,IARS2,205
206,PRIM1,206
207,ANXA5,207
208,BTK,208
209,CYB5R1,209
210,ARL11,210
211,RGS1,211
212,SHISA8,212
213,H2-AA,213
214,ATG12,214
215,ZFP367,215
216,TFR2,216
217,FUT7,217
218,CYP4V3,218
219,SERPINB1A,219
220,ME2,220
221,TFG,221
222,MIS12,222
223,SLC2A3,223
224,ABHD17B,224
225,PUS7,225
226,RHOF,226
227,ADA,227
228,MICU1,228
229,ZFP945,229
230,CST7,230
231,CSF2RB,231
232,APLP2,232
233,ISYNA1,233
234,TRIM47,234
235,PPAT,235
236,MYO5A,236
237,LTB,237
238,CSGALNACT2,238
