#ID	Name
G0	TEAD2
G1	POLR1B
G2	BTG2
G3	SOX18
G4	IRF8
G5	NFE2
G6	IKZF1
G7	BTAF1
G8	MAML3
G9	ZBTB20
G10	HMGB2
G11	NFAT5
G12	PRDM16
G13	IRF9
G14	HDAC2
G15	MIS18BP1
G16	NAP1L3
G17	REXO4
G18	RORC
G19	MECOM
G20	STAT2
G21	HDAC11
G22	RB1
G23	TOPORS
G24	KLF6
G25	BATF2
G26	TRIB3
G27	CTR9
G28	PA2G4
G29	MYCN
G30	PBX1
G31	DDX58
G32	HDGF
G33	LZTS1
G34	PLAG1
G35	JARID2
G36	GTF2H1
G37	TLE2
G38	RELB
G39	LMO4
G40	MCM5
G41	RAD51
G42	NDN
G43	E2F4
G44	MCM2
G45	ZDHHC6
G46	ZBTB16
G47	XRCC3
G48	TLR4
G49	MAPK12
G50	POLR2B
G51	IRF6
G52	JUN
G53	TTF2
G54	VDR
G55	REL
G56	EGR1
G57	EYA2
G58	HDAC7
G59	IRF7
G60	ORC2
G61	HLF
G62	TCF19
G63	ZBTB38
G64	MCM4
G65	EPAS1
G66	RNF4
G67	MCM6
G68	ERCC8
G69	CBFB
G70	MEIS1
G71	TRPS1
G72	FOXO1
G73	MYC
G74	TAF12
G75	HCFC1
G76	SPO11
G77	PHB2
G78	SRSF1
G79	ATF7
G80	NUPR1
G81	MAPK1
G82	RUVBL2
G83	ZFP467
G84	E2F8
G85	TSC22D3
G86	SMARCA2
G87	CENPK
G88	GFI1B
G89	XPC
G90	NR3C2
G91	RARB
G92	MYB
G93	DDX20
G94	EBF1
G95	APBB1
G96	GATA2
G97	HIF3A
G98	ELF1
G99	HNRNPAB
G100	NFATC2
G101	ABL1
G102	NFKBIA
G103	MED16
G104	MCM3
G105	XRCC6
G106	H1F0
G107	PHF10
G108	CBX7
G109	FEM1B
G110	ARID3B
G111	MXD3
G112	DEK
G113	SPI1
G114	ZDHHC13
G115	CREB5
G116	RORA
G117	SATB1
G118	RUNX1T1
G119	MCM7
G120	NFIA
G121	GTF2F1
G122	MLLT3
G123	YBX1
G124	CSRP3
G125	ELP2
G126	SALL2
G127	RPS6KA5
G128	ZEB2
G129	SNRPB
G130	SLA2
G131	ZFP36
G132	OTUD6B
G133	PPP1R15A
G134	CASP1
G135	HACD4
G136	GBP2
G137	ATAD1
G138	RAB31
G139	GM1966
G140	PLD3
G141	PRKCQ
G142	OSBPL1A
G143	IGSF6
G144	DUSP1
G145	LYN
G146	USP10
G147	EML4
G148	CERK
G149	RRM1
G150	CD300A
G151	CDCA8
G152	METAP1
G153	4833439L19RIK
G154	RMND5A
G155	PBK
G156	RFC5
G157	CSTF2
G158	RFC4
G159	SLCO3A1
G160	TSPAN14
G161	IDH1
G162	NEURL3
G163	ATP6AP1
G164	GLIPR2
G165	TBC1D9B
G166	DLST
G167	PECAM1
G168	FGL2
G169	ELANE
G170	FLNB
G171	LY6C2
G172	FCGR2B
G173	ORC6
G174	GM5111
G175	COQ8A
G176	TNIP3
G177	OASL2
G178	PLAA
G179	TGTP2
G180	IGKC
G181	FAM76B
G182	CTSG
G183	DENND1C
G184	ACAA2
G185	TM6SF1
G186	EMILIN1
G187	TOP2A
G188	CCDC137
G189	MAGED2
G190	LY6A
G191	SLC25A46
G192	MMRN1
G193	RANGAP1
G194	MUC13
G195	TBC1D5
G196	ATP13A1
G197	FCHO2
G198	TMEM50B
G199	GPR65
G200	UAP1
G201	IL21R
G202	PLEKHO2
G203	TRMT11
G204	PCMTD1
G205	IARS2
G206	PRIM1
G207	ANXA5
G208	BTK
G209	CYB5R1
G210	ARL11
G211	RGS1
G212	SHISA8
G213	H2-AA
G214	ATG12
G215	ZFP367
G216	TFR2
G217	FUT7
G218	CYP4V3
G219	SERPINB1A
G220	ME2
G221	TFG
G222	MIS12
G223	SLC2A3
G224	ABHD17B
G225	PUS7
G226	RHOF
G227	ADA
G228	MICU1
G229	ZFP945
G230	CST7
G231	CSF2RB
G232	APLP2
G233	ISYNA1
G234	TRIM47
G235	PPAT
G236	MYO5A
G237	LTB
G238	CSGALNACT2
G239	TACC3
