G0	MCM4
G1	PGR
G2	FOXO1
G3	EYA2
G4	GATA2
G5	NFIA
G6	BTG2
G7	ELF1
G8	HLF
G9	ESR1
G10	NR3C2
G11	CD7
G12	DACH1
G13	RUNX2
G14	ZBTB20
G15	REL
G16	TEAD2
G17	NFE2
G18	CTR9
G19	SATB1
G20	MLLT3
G21	XPC
G22	MEF2C
G23	NOTCH1
G24	HDAC7
G25	MCM7
G26	HOXA9
G27	H1F0
G28	CBX7
G29	KLF6
G30	CBFB
G31	NUPR1
G32	IKZF1
G33	MECOM
G34	TSC22D3
G35	HNF4A
G36	IRF8
G37	MCM5
G38	HNRNPAB
G39	KLF3
G40	SOX18
G41	HMGB2
G42	GFI1B
G43	RARB
G44	PBX1
G45	PRDM16
G46	RORA
G47	SPI1
G48	YBX1
G49	VDR
G50	TRIB3
G51	NDN
G52	MYC
G53	RUNX1T1
G54	ELL2
G55	IRF6
G56	MAML3
G57	MEIS1
G58	MYCN
G59	XRCC6
