#ID,Gene,index
0,MCM4,0
1,PGR,1
2,FOXO1,2
3,EYA2,3
4,GATA2,4
5,NFIA,5
6,BTG2,6
7,ELF1,7
8,HLF,8
9,ESR1,9
10,NR3C2,10
11,CD7,11
12,DACH1,12
13,RUNX2,13
14,ZBTB20,14
15,REL,15
16,TEAD2,16
17,NFE2,17
18,CTR9,18
19,SATB1,19
20,MLLT3,20
21,XPC,21
22,MEF2C,22
23,NOTCH1,23
24,HDAC7,24
25,MCM7,25
26,HOXA9,26
27,H1F0,27
28,CBX7,28
29,KLF6,29
30,CBFB,30
31,NUPR1,31
32,IKZF1,32
33,MECOM,33
34,TSC22D3,34
35,HNF4A,35
36,IRF8,36
37,MCM5,37
38,HNRNPAB,38
39,KLF3,39
40,SOX18,40
41,HMGB2,41
42,GFI1B,42
43,RARB,43
44,PBX1,44
45,PRDM16,45
46,RORA,46
47,SPI1,47
48,YBX1,48
49,VDR,49
50,TRIB3,50
51,NDN,51
52,MYC,52
53,RUNX1T1,53
54,ELL2,54
55,IRF6,55
56,MAML3,56
57,MEIS1,57
58,MYCN,58
59,XRCC6,59
60,LARS2,60
61,SLC35D3,61
62,PPCDC,62
63,NUDT19,63
64,UNC93B1,64
65,H2-Q6,65
66,PRUNE2,66
67,ABCG3,67
68,CCL9,68
69,PF4,69
70,VAMP5,70
71,IL18RAP,71
72,TMEM37,72
73,SLC6A15,73
74,IL10RA,74
75,CD38,75
76,CCNG2,76
77,DUSP1,77
78,NCKAP1,78
79,IGHV1-76,79
80,TTC39B,80
81,CD244A,81
82,APOE,82
83,CHIL5,83
84,AI504432,84
85,ELOVL5,85
86,CARD6,86
87,CMAH,87
88,MMRN1,88
89,ZFP367,89
90,N4BP3,90
91,GNG2,91
92,PAFAH2,92
93,IGHD,93
94,LY9,94
95,CRIP1,95
96,CD93,96
97,NPM1,97
98,IFI213,98
99,IFI209,99
100,ST8SIA4,100
101,APP,101
102,VAV3,102
103,SCARF1,103
104,SIGLECG,104
105,TFR2,105
106,CD34,106
107,PKIA,107
108,FDFT1,108
109,GM8203,109
110,GIMAP8,110
111,LDHB,111
112,CD53,112
113,TRIM59,113
114,ITGAL,114
115,GNG11,115
116,GUCY1A1,116
117,PLXDC2,117
118,PDZK1IP1,118
119,FKBP9,119
120,NEO1,120
121,RANBP1,121
122,GGT5,122
123,ATP8B4,123
124,GM11346,124
125,CLIP3,125
126,CD63,126
127,ABCG2,127
128,ITSN1,128
129,LY86,129
130,GRAMD1A,130
131,HACD4,131
132,CORO7,132
133,CAMSAP2,133
134,PRR5,134
135,NCAPD2,135
136,TM6SF1,136
137,STK17B,137
138,PDGFD,138
139,RNF213,139
140,IPCEF1,140
141,F630028O10RIK,141
142,WFDC18,142
143,CLCA3A1,143
144,ARHGAP15,144
145,CYP26B1,145
146,COX6A2,146
147,AP1S2,147
148,CIPC,148
149,PLXNC1,149
150,DCK,150
151,F2R,151
152,9530082P21RIK,152
153,ADSSL1,153
154,PDGFRB,154
155,ITM2A,155
156,GM37124,156
157,ENG,157
158,GIMAP5,158
159,ZFP612,159
160,SERPINA3F,160
161,AMIGO2,161
162,NAV1,162
163,TRPV2,163
164,ARHGAP18,164
165,MYCT1,165
166,FGD5,166
167,SLC18A2,167
168,PLXNA4OS1,168
169,GM4951,169
170,TYROBP,170
171,TINAGL1,171
172,SGMS1,172
173,PEAR1,173
174,TMEM173,174
175,LAG3,175
176,SLC2A3,176
177,SYK,177
178,COQ8A,178
179,TSPAN13,179
180,2810468N07RIK,180
181,NUCB2,181
182,MAMDC2,182
183,DPP4,183
184,DYNLL1,184
185,CAPG,185
186,NWD1,186
187,RNF38,187
188,IGHV1-77,188
189,SERP1,189
190,FAM171B,190
191,H2-OB,191
192,SERPINA3G,192
193,TEK,193
194,GAS2L3,194
195,OTUB2,195
196,MCTP2,196
197,PLK2,197
198,CLU,198
199,SCRN1,199
200,GIMAP1OS,200
201,IFITM3,201
202,CLEC12A,202
203,LTB,203
204,NDNF,204
205,IGFBP4,205
206,GBP2,206
207,CTNNAL1,207
208,SLA,208
209,TMSB4X,209
210,IFI206,210
211,UBASH3A,211
212,SULT1A1,212
213,UNC45BOS,213
214,UAP1L1,214
215,RP2,215
216,UQCR11,216
217,S100A6,217
218,TFPI,218
219,GM15564,219
220,CDK6,220
221,ANXA2,221
222,NRROS,222
223,DOK2,223
224,CD52,224
225,SMPDL3A,225
226,TBXA2R,226
227,TMEM206,227
228,SELENOP,228
229,ZNRF2,229
230,DUSP6,230
231,SLC29A1,231
232,SERPINB6A,232
233,JPT1,233
234,KRT18,234
235,ARHGEF18,235
236,CCR7,236
237,CYFIP2,237
238,SLC22A3,238
239,P2RY14,239
240,D630039A03RIK,240
241,RPL41,241
242,CD9,242
243,AMPD2,243
244,INHBA,244
245,ZMIZ1,245
246,CCDC112,246
247,VEGFC,247
248,EMB,248
249,SFRP1,249
250,FCGRT,250
251,RAB40B,251
252,ITGB2,252
253,CTSS,253
254,GHR,254
255,UPP1,255
256,GM26917,256
257,IFI27,257
258,LPCAT2,258
259,ATPIF1,259
260,PLPPR3,260
261,SELL,261
262,GCSAM,262
263,ARHGAP27,263
264,ANXA5,264
265,RUSC2,265
266,SDSL,266
267,IRAK3,267
268,KLRD1,268
269,CD63-PS,269
270,MTUS1,270
271,IL17RA,271
272,SLC16A10,272
273,PLCL1,273
274,JCHAIN,274
275,ARID5A,275
276,TALDO1,276
277,IGHV1-81,277
278,PAQR5,278
279,IGF1,279
280,ARRDC4,280
281,PDE1B,281
282,DDX4,282
283,LAPTM5,283
284,USP11,284
285,SERPINF1,285
286,MGAT1,286
287,MLPH,287
288,IL18BP,288
289,KBTBD11,289
290,SDC2,290
291,PRKCH,291
292,SLC43A2,292
293,EEPD1,293
294,NAPSA,294
295,BDH2,295
296,ARHGDIB,296
297,RHOH,297
298,PROCR,298
299,TIPIN,299
300,CTTN,300
301,CCT2,301
302,MIR6240,302
303,CTNND2,303
304,TRAF1,304
305,IL7R,305
306,NEURL3,306
307,CD81,307
308,ANKRD33B,308
309,SLFN2,309
310,CDK18,310
311,RPS27L,311
312,CTSH,312
313,PDGFC,313
314,FAM110C,314
315,TBC1D5,315
316,FGFR3,316
317,TBXAS1,317
318,NPDC1,318
319,TUBB4B,319
320,SPC24,320
321,TIFAB,321
322,VAMP1,322
323,TMEM123,323
324,COX7B,324
325,SPNS2,325
326,GSTM1,326
327,MSMO1,327
328,FLT3,328
329,CD33,329
330,GPC1,330
331,ICA1,331
332,RGS19,332
333,RFTN1,333
334,GPR171,334
335,RHOJ,335
336,LSP1,336
337,FGD2,337
338,RAMP1,338
339,PLEKHG6,339
340,ITGA6,340
341,RHBDF1,341
342,EVI2A,342
343,SLCO3A1,343
344,BPIFC,344
345,CES2G,345
346,CLEC2I,346
347,SLC16A2,347
348,ANKRD44,348
349,SSH2,349
350,ARHGAP29,350
351,SAMSN1,351
352,UCP2,352
353,PLSCR4,353
354,PAG1,354
355,BLNK,355
356,DENND2D,356
357,NSMF,357
358,GGTA1,358
359,SOCS2,359
360,CISH,360
361,STARD4,361
362,TXNIP,362
363,ACAP1,363
364,TNFAIP2,364
365,GPR18,365
366,INSRR,366
367,FUCA2,367
368,SLC25A5,368
369,PLAC8,369
370,POLA2,370
371,SLC9A9,371
372,KAZALD1,372
373,GSN,373
374,GPR65,374
375,C030034L19RIK,375
376,GAA,376
377,EMP1,377
378,FSTL1,378
379,SHISA9,379
380,IFI27L2A,380
381,GM1966,381
382,H2-DMA,382
383,LGMN,383
384,TIE1,384
385,ESAM,385
386,TPM4,386
387,CCDC136,387
388,CDKN1C,388
389,PLEK,389
390,JAM2,390
391,GM45837,391
392,RAB27B,392
393,DRC7,393
394,DOCK11,394
395,CST7,395
396,KIF17,396
397,NDRG2,397
398,C230085N15RIK,398
399,ADGRG1,399
400,PPP1R15A,400
401,RHOF,401
402,IL1R1,402
403,SERPINA3N,403
404,AKNA,404
405,WFDC2,405
406,RASAL3,406
407,CPNE8,407
408,SNAP47,408
409,TMEM268,409
410,COL4A2,410
411,SAT1,411
412,COX6A1,412
413,PDCD4,413
414,TRPC6,414
415,GM20342,415
416,ARHGEF28,416
417,NKG7,417
418,IGHV1-69,418
419,PRPS2,419
420,DNTT,420
421,BGN,421
422,C130089K02RIK,422
423,ITGB5,423
424,GBP9,424
425,MILR1,425
426,TSPAN3,426
427,BCL2,427
428,OBSCN,428
429,ITGB7,429
430,PTP4A3,430
431,SLAMF1,431
432,DHRS3,432
433,IFITM1,433
434,ATP1A3,434
435,PTGER2,435
436,ME2,436
437,LAX1,437
438,EBI3,438
439,RGS2,439
440,PSTPIP1,440
441,CTSL,441
442,GSTT1,442
443,VWF,443
444,GM2A,444
445,OBSL1,445
446,TFEC,446
447,LCP1,447
448,DOCK10,448
449,GBP4,449
450,CSF3R,450
451,CD69,451
452,CARD11,452
453,GP9,453
454,2610307P16RIK,454
455,CPQ,455
456,KIT,456
457,OCLN,457
458,IGHM,458
459,PANX1,459
460,PYGL,460
461,SLC26A11,461
462,CNN3,462
463,ITPR2,463
464,EFNA1,464
465,UBA7,465
466,GIMAP1,466
467,PARVG,467
