,TF,Target,Label
0,0,505,1
1,0,41,1
2,0,475,1
3,0,25,1
4,0,536,1
5,0,468,1
6,1,9,1
7,2,247,1
8,2,42,1
9,2,429,1
10,2,35,1
11,2,50,1
12,2,464,1
13,2,441,1
14,2,53,1
15,2,236,1
16,2,70,1
17,2,305,1
18,2,76,1
19,2,382,1
20,4,339,1
21,4,95,1
22,4,8,1
23,4,220,1
24,4,53,1
25,4,24,1
26,4,76,1
27,7,492,1
28,9,247,1
29,9,52,1
30,9,690,1
31,9,134,1
32,9,673,1
33,9,359,1
34,9,63,1
35,9,1,1
36,9,397,1
37,9,638,1
38,10,434,1
39,10,20,1
40,13,32,1
41,15,52,1
42,15,588,1
43,15,2,1
44,15,581,1
45,15,119,1
46,15,690,1
47,16,548,1
48,19,427,1
49,22,24,1
50,22,13,1
51,23,47,1
52,23,13,1
53,24,56,1
54,24,22,1
55,25,475,1
56,25,299,1
57,25,505,1
58,25,634,1
59,25,536,1
60,25,370,1
61,26,19,1
62,26,481,1
63,26,44,1
64,26,12,1
65,26,649,1
66,30,13,1
67,32,356,1
68,32,52,1
69,32,621,1
70,32,305,1
71,32,427,1
72,33,286,1
73,33,165,1
74,33,19,1
75,33,554,1
76,33,2,1
77,33,580,1
78,33,100,1
79,33,305,1
80,33,460,1
81,33,13,1
82,33,263,1
83,33,566,1
84,33,29,1
85,33,323,1
86,35,2,1
87,36,55,1
88,36,129,1
89,36,581,1
90,41,13,1
91,41,509,1
92,41,299,1
93,41,536,1
94,41,468,1
95,42,57,1
96,43,318,1
97,43,27,1
98,44,57,1
99,44,69,1
100,47,526,1
101,47,458,1
102,47,652,1
103,47,492,1
104,47,328,1
105,49,13,1
106,51,423,1
107,51,680,1
108,52,247,1
109,52,165,1
110,52,634,1
111,52,48,1
112,52,441,1
113,52,121,1
114,52,201,1
115,52,325,1
116,52,377,1
117,52,420,1
118,52,64,1
119,52,301,1
120,52,23,1
121,52,382,1
122,52,406,1
123,52,231,1
124,52,56,1
125,52,154,1
126,52,38,1
127,52,126,1
128,52,73,1
129,52,77,1
130,52,523,1
131,52,31,1
132,53,427,1
133,55,108,1
134,55,36,1
135,56,23,1
136,56,52,1
137,57,177,1
138,57,199,1
139,57,584,1
140,57,26,1
141,57,187,1
142,57,280,1
143,57,19,1
144,57,44,1
145,58,128,1
146,58,530,1
147,58,523,1
148,58,604,1
149,58,667,1
150,58,90,1
151,58,270,1
152,58,332,1
153,58,259,1
154,58,456,1
155,58,555,1
156,58,447,1
157,58,229,1
158,58,382,1
159,58,301,1
160,58,97,1
161,58,172,1
162,58,38,1
163,58,401,1
164,58,28,1
165,58,658,1
166,58,31,1
167,58,686,1
168,58,430,1
169,58,542,1
170,0,506,0
171,0,524,0
172,0,144,0
173,0,546,0
174,0,199,0
175,0,316,0
176,1,689,0
177,2,646,0
178,2,105,0
179,2,282,0
180,2,561,0
181,2,44,0
182,2,302,0
183,2,629,0
184,2,405,0
185,2,650,0
186,2,672,0
187,2,299,0
188,2,298,0
189,2,316,0
190,4,537,0
191,4,368,0
192,4,133,0
193,4,17,0
194,4,443,0
195,4,194,0
196,4,679,0
197,7,157,0
198,9,656,0
199,9,528,0
200,9,137,0
201,9,488,0
202,9,642,0
203,9,225,0
204,9,257,0
205,9,604,0
206,9,503,0
207,9,616,0
208,10,211,0
209,10,687,0
210,13,631,0
211,15,203,0
212,15,129,0
213,15,513,0
214,15,162,0
215,15,378,0
216,15,310,0
217,16,627,0
218,19,301,0
219,22,628,0
220,22,439,0
221,23,240,0
222,23,275,0
223,24,348,0
224,24,503,0
225,25,357,0
226,25,661,0
227,25,91,0
228,25,625,0
229,25,232,0
230,25,368,0
231,26,502,0
232,26,531,0
233,26,597,0
234,26,442,0
235,26,364,0
236,30,291,0
237,32,62,0
238,32,627,0
239,32,637,0
240,32,606,0
241,32,565,0
242,33,522,0
243,33,120,0
244,33,230,0
245,33,458,0
246,33,149,0
247,33,283,0
248,33,487,0
249,33,34,0
250,33,640,0
251,33,194,0
252,33,285,0
253,33,296,0
254,33,218,0
255,33,534,0
256,35,11,0
257,36,247,0
258,36,134,0
259,36,608,0
260,41,213,0
261,41,454,0
262,41,409,0
263,41,107,0
264,41,133,0
265,42,333,0
266,43,166,0
267,43,12,0
268,44,586,0
269,44,636,0
270,47,315,0
271,47,98,0
272,47,371,0
273,47,90,0
274,47,236,0
275,49,358,0
276,51,343,0
277,51,182,0
278,52,63,0
279,52,362,0
280,52,354,0
281,52,125,0
282,52,66,0
283,52,120,0
284,52,400,0
285,52,601,0
286,52,408,0
287,52,146,0
288,52,459,0
289,52,94,0
290,52,188,0
291,52,266,0
292,52,507,0
293,52,335,0
294,52,72,0
295,52,108,0
296,52,585,0
297,52,293,0
298,52,190,0
299,52,576,0
300,52,393,0
301,52,58,0
302,53,165,0
303,55,616,0
304,55,134,0
305,56,617,0
306,56,370,0
307,57,587,0
308,57,569,0
309,57,452,0
310,57,442,0
311,57,364,0
312,57,143,0
313,57,264,0
314,57,492,0
315,58,267,0
316,58,22,0
317,58,289,0
318,58,373,0
319,58,425,0
320,58,262,0
321,58,480,0
322,58,559,0
323,58,643,0
324,58,76,0
325,58,580,0
326,58,232,0
327,58,492,0
328,58,60,0
329,58,79,0
330,58,141,0
331,58,460,0
332,58,445,0
333,58,682,0
334,58,317,0
335,58,623,0
336,58,489,0
337,58,110,0
338,58,68,0
339,58,330,0
