,TF,Target,Label
0,0,505,1
1,0,577,1
2,0,299,1
3,0,634,1
4,0,25,1
5,0,468,1
6,1,9,1
7,2,464,1
8,2,70,1
9,2,261,1
10,2,305,1
11,2,50,1
12,2,441,1
13,2,140,1
14,2,53,1
15,2,246,1
16,2,382,1
17,2,35,1
18,2,76,1
19,2,244,1
20,4,220,1
21,4,193,1
22,4,43,1
23,4,95,1
24,4,24,1
25,4,76,1
26,4,77,1
27,4,47,1
28,7,492,1
29,8,4,1
30,9,331,1
31,9,134,1
32,9,358,1
33,9,63,1
34,9,673,1
35,9,397,1
36,9,23,1
37,9,1,1
38,9,660,1
39,9,52,1
40,10,34,1
41,10,434,1
42,13,32,1
43,15,120,1
44,15,52,1
45,15,119,1
46,15,497,1
47,15,2,1
48,15,588,1
49,16,548,1
50,19,427,1
51,22,359,1
52,22,24,1
53,23,47,1
54,23,4,1
55,24,22,1
56,24,502,1
57,24,56,1
58,25,475,1
59,25,634,1
60,25,370,1
61,25,468,1
62,25,505,1
63,25,577,1
64,26,584,1
65,26,57,1
66,26,328,1
67,26,19,1
68,26,649,1
69,26,177,1
70,30,13,1
71,32,305,1
72,32,319,1
73,32,52,1
74,32,356,1
75,32,135,1
76,32,621,1
77,33,180,1
78,33,566,1
79,33,651,1
80,33,647,1
81,33,630,1
82,33,263,1
83,33,576,1
84,33,453,1
85,33,13,1
86,33,580,1
87,33,554,1
88,33,115,1
89,33,165,1
90,33,447,1
91,35,2,1
92,36,55,1
93,36,129,1
94,36,581,1
95,41,505,1
96,41,0,1
97,41,13,1
98,41,299,1
99,41,577,1
100,42,57,1
101,43,681,1
102,43,27,1
103,44,57,1
104,44,26,1
105,47,305,1
106,47,328,1
107,47,7,1
108,47,526,1
109,47,22,1
110,49,13,1
111,51,181,1
112,51,52,1
113,51,423,1
114,52,280,1
115,52,406,1
116,52,154,1
117,52,229,1
118,52,325,1
119,52,676,1
120,52,231,1
121,52,23,1
122,52,5,1
123,52,64,1
124,52,420,1
125,52,577,1
126,52,370,1
127,52,126,1
128,52,634,1
129,52,77,1
130,52,45,1
131,52,121,1
132,52,48,1
133,52,523,1
134,52,201,1
135,52,165,1
136,52,460,1
137,52,247,1
138,52,427,1
139,53,427,1
140,55,553,1
141,55,36,1
142,56,52,1
143,56,23,1
144,57,584,1
145,57,12,1
146,57,481,1
147,57,51,1
148,57,187,1
149,57,19,1
150,57,328,1
151,57,402,1
152,57,44,1
153,58,356,1
154,58,128,1
155,58,484,1
156,58,270,1
157,58,359,1
158,58,401,1
159,58,570,1
160,58,532,1
161,58,31,1
162,58,506,1
163,58,259,1
164,58,667,1
165,58,441,1
166,58,231,1
167,58,172,1
168,58,456,1
