#ID	Name
G0	MCM4
G1	PGR
G2	FOXO1
G3	EYA2
G4	GATA2
G5	NFIA
G6	BTG2
G7	ELF1
G8	HLF
G9	ESR1
G10	NR3C2
G11	CD7
G12	DACH1
G13	RUNX2
G14	ZBTB20
G15	REL
G16	TEAD2
G17	NFE2
G18	CTR9
G19	SATB1
G20	MLLT3
G21	XPC
G22	MEF2C
G23	NOTCH1
G24	HDAC7
G25	MCM7
G26	HOXA9
G27	H1F0
G28	CBX7
G29	KLF6
G30	CBFB
G31	NUPR1
G32	IKZF1
G33	MECOM
G34	TSC22D3
G35	HNF4A
G36	IRF8
G37	MCM5
G38	HNRNPAB
G39	KLF3
G40	SOX18
G41	HMGB2
G42	GFI1B
G43	RARB
G44	PBX1
G45	PRDM16
G46	RORA
G47	SPI1
G48	YBX1
G49	VDR
G50	TRIB3
G51	NDN
G52	MYC
G53	RUNX1T1
G54	ELL2
G55	IRF6
G56	MAML3
G57	MEIS1
G58	MYCN
G59	XRCC6
G60	LARS2
G61	SLC35D3
G62	PPCDC
G63	NUDT19
G64	UNC93B1
G65	H2-Q6
G66	PRUNE2
G67	ABCG3
G68	CCL9
G69	PF4
G70	VAMP5
G71	IL18RAP
G72	TMEM37
G73	SLC6A15
G74	IL10RA
G75	CD38
G76	CCNG2
G77	DUSP1
G78	NCKAP1
G79	IGHV1-76
G80	TTC39B
G81	CD244A
G82	APOE
G83	CHIL5
G84	AI504432
G85	ELOVL5
G86	CARD6
G87	CMAH
G88	MMRN1
G89	ZFP367
G90	N4BP3
G91	GNG2
G92	PAFAH2
G93	IGHD
G94	LY9
G95	CRIP1
G96	CD93
G97	NPM1
G98	IFI213
G99	IFI209
G100	ST8SIA4
G101	APP
G102	VAV3
G103	SCARF1
G104	SIGLECG
G105	TFR2
G106	CD34
G107	PKIA
G108	FDFT1
G109	GM8203
G110	GIMAP8
G111	LDHB
G112	CD53
G113	TRIM59
G114	ITGAL
G115	GNG11
G116	GUCY1A1
G117	PLXDC2
G118	PDZK1IP1
G119	FKBP9
G120	NEO1
G121	RANBP1
G122	GGT5
G123	ATP8B4
G124	GM11346
G125	CLIP3
G126	CD63
G127	ABCG2
G128	ITSN1
G129	LY86
G130	GRAMD1A
G131	HACD4
G132	CORO7
G133	CAMSAP2
G134	PRR5
G135	NCAPD2
G136	TM6SF1
G137	STK17B
G138	PDGFD
G139	RNF213
G140	IPCEF1
G141	F630028O10RIK
G142	WFDC18
G143	CLCA3A1
G144	ARHGAP15
G145	CYP26B1
G146	COX6A2
G147	AP1S2
G148	CIPC
G149	PLXNC1
G150	DCK
G151	F2R
G152	9530082P21RIK
G153	ADSSL1
G154	PDGFRB
G155	ITM2A
G156	GM37124
G157	ENG
G158	GIMAP5
G159	ZFP612
G160	SERPINA3F
G161	AMIGO2
G162	NAV1
G163	TRPV2
G164	ARHGAP18
G165	MYCT1
G166	FGD5
G167	SLC18A2
G168	PLXNA4OS1
G169	GM4951
G170	TYROBP
G171	TINAGL1
G172	SGMS1
G173	PEAR1
G174	TMEM173
G175	LAG3
G176	SLC2A3
G177	SYK
G178	COQ8A
G179	TSPAN13
G180	2810468N07RIK
G181	NUCB2
G182	MAMDC2
G183	DPP4
G184	DYNLL1
G185	CAPG
G186	NWD1
G187	RNF38
G188	IGHV1-77
G189	SERP1
G190	FAM171B
G191	H2-OB
G192	SERPINA3G
G193	TEK
G194	GAS2L3
G195	OTUB2
G196	MCTP2
G197	PLK2
G198	CLU
G199	SCRN1
G200	GIMAP1OS
G201	IFITM3
G202	CLEC12A
G203	LTB
G204	NDNF
G205	IGFBP4
G206	GBP2
G207	CTNNAL1
G208	SLA
G209	TMSB4X
G210	IFI206
G211	UBASH3A
G212	SULT1A1
G213	UNC45BOS
G214	UAP1L1
G215	RP2
G216	UQCR11
G217	S100A6
G218	TFPI
G219	GM15564
G220	CDK6
G221	ANXA2
G222	NRROS
G223	DOK2
G224	CD52
G225	SMPDL3A
G226	TBXA2R
G227	TMEM206
G228	SELENOP
G229	ZNRF2
G230	DUSP6
G231	SLC29A1
G232	SERPINB6A
G233	JPT1
G234	KRT18
G235	ARHGEF18
G236	CCR7
G237	CYFIP2
G238	SLC22A3
G239	P2RY14
G240	D630039A03RIK
G241	RPL41
G242	CD9
G243	AMPD2
G244	INHBA
G245	ZMIZ1
G246	CCDC112
G247	VEGFC
G248	EMB
G249	SFRP1
G250	FCGRT
G251	RAB40B
G252	ITGB2
G253	CTSS
G254	GHR
G255	UPP1
G256	GM26917
G257	IFI27
G258	LPCAT2
G259	ATPIF1
