#ID,TF,index
0,25,420
1,6,213
2,6,36
3,6,259
4,13,472
5,13,415
6,13,57
7,13,386
8,13,47
9,13,395
10,13,40
11,46,59
12,14,33
13,14,320
14,15,47
15,27,533
16,57,386
17,57,36
18,57,24
19,53,521
20,53,59
21,29,47
22,29,66
23,33,313
24,33,533
25,36,397
26,36,41
27,36,388
28,48,36
29,24,46
30,24,47
31,24,59
32,26,55
33,26,12
34,43,313
35,58,6
36,37,521
37,37,36
38,19,397
39,47,57
40,18,397
41,18,59
42,59,25
43,59,533
44,59,226
45,59,386
46,59,53
47,59,29
48,59,518
49,59,371
50,2,47
51,23,299
52,5,47
53,5,433
54,6,413
55,6,552
56,6,131
57,6,190
58,6,538
59,6,385
60,6,108
61,6,24
62,6,102
63,6,58
64,6,246
65,6,66
66,6,474
67,13,145
68,13,529
69,13,528
70,13,525
71,13,0
72,13,543
73,13,14
74,13,551
75,13,31
76,13,131
77,13,156
78,13,104
79,13,19
80,13,411
81,13,474
82,46,472
83,46,99
84,46,526
85,46,60
86,46,39
87,46,51
88,46,387
89,46,4
90,46,19
91,46,121
92,46,317
93,39,32
94,39,29
95,39,24
96,51,46
97,15,115
98,15,21
99,15,22
100,15,122
101,15,510
102,15,231
103,15,163
104,15,289
105,31,13
106,31,2
107,27,380
108,27,258
109,27,0
110,27,110
111,27,453
112,27,33
113,27,43
114,27,18
115,27,376
116,57,397
117,57,502
118,57,412
119,57,347
120,57,487
121,57,182
122,57,530
123,11,528
124,11,421
125,11,53
126,53,528
127,53,11
128,32,39
129,32,36
130,32,24
131,21,115
132,21,177
133,21,15
134,21,22
135,21,122
136,21,554
137,21,510
138,21,147
139,21,231
140,21,163
141,21,289
142,22,115
143,22,177
144,22,15
145,22,21
146,22,122
147,22,554
148,22,510
149,22,147
150,22,231
151,22,163
152,22,289
153,7,489
154,7,128
155,7,400
156,7,465
157,7,135
158,7,13
159,7,199
160,7,107
161,7,330
162,7,386
163,7,303
164,7,190
165,7,45
166,7,300
167,7,368
168,7,514
169,7,320
170,7,19
171,7,47
172,7,18
173,7,448
174,7,559
175,7,282
176,29,39
177,33,380
178,33,258
179,33,501
180,33,0
181,33,110
182,33,27
183,33,453
184,33,48
185,33,43
186,33,112
187,33,18
188,33,376
189,36,489
190,36,271
191,36,380
192,36,334
193,36,501
194,36,459
195,36,513
196,36,99
197,36,177
198,36,525
199,36,420
200,36,60
201,36,152
202,36,533
203,36,551
204,36,30
205,36,32
206,36,368
207,16,271
208,16,211
209,16,35
210,16,459
211,16,513
212,16,115
213,16,432
214,16,332
215,16,225
216,16,525
217,16,502
218,16,478
219,16,28
220,16,423
221,16,551
222,16,30
223,16,80
224,16,303
225,16,172
226,16,377
227,16,169
228,16,557
229,16,102
230,16,17
231,36,24
232,16,363
233,16,487
234,16,425
235,16,106
236,16,360
237,16,424
238,16,90
239,16,66
240,16,133
241,16,289
242,36,17
243,16,23
244,16,155
245,16,118
246,36,101
247,36,554
248,36,52
249,36,514
250,36,425
251,36,447
252,36,90
253,36,66
254,36,89
255,36,88
256,36,224
257,36,289
258,36,85
259,36,474
260,36,23
261,36,118
262,48,359
263,48,123
264,48,86
265,43,27
266,43,33
267,4,50
268,4,398
269,4,310
270,37,355
271,37,263
272,37,13
273,37,87
274,37,538
275,37,169
276,37,518
277,47,5
278,2,31
