#ID,TF,index
0,DACH1,0
1,SOX18,1
2,VDR,2
3,XRCC6,3
4,RARB,4
5,CBFB,5
6,ESR1,6
7,MECOM,7
8,RORA,8
9,XPC,9
10,TEAD2,10
11,IRF6,11
12,TSC22D3,12
13,FOXO1,13
14,GFI1B,14
15,HMGB2,15
16,MYCN,16
17,NUPR1,17
18,SATB1,18
19,RUNX1T1,19
20,CTR9,20
21,MCM4,21
22,MCM7,22
23,YBX1,23
24,NOTCH1,24
25,ELF1,25
26,NR3C2,26
27,HOXA9,27
28,ELL2,28
29,MEF2C,29
30,HNRNPAB,30
31,HNF4A,31
32,MAML3,32
33,MEIS1,33
34,NFE2,34
35,CBX7,35
36,MYC,36
37,REL,37
38,KLF3,38
39,HDAC7,39
40,TRIB3,40
41,NFIA,41
42,ZBTB20,42
43,PBX1,43
44,EYA2,44
45,KLF6,45
46,GATA2,46
47,RUNX2,47
48,NDN,48
49,MCM5,49
50,H1F0,50
51,HLF,51
52,PRDM16,52
53,IRF8,53
54,BTG2,54
55,MLLT3,55
56,CD7,56
57,IKZF1,57
58,PGR,58
59,SPI1,59
