G0	DACH1
G1	SOX18
G2	VDR
G3	XRCC6
G4	RARB
G5	CBFB
G6	ESR1
G7	MECOM
G8	RORA
G9	XPC
G10	TEAD2
G11	IRF6
G12	TSC22D3
G13	FOXO1
G14	GFI1B
G15	HMGB2
G16	MYCN
G17	NUPR1
G18	SATB1
G19	RUNX1T1
G20	CTR9
G21	MCM4
G22	MCM7
G23	YBX1
G24	NOTCH1
G25	ELF1
G26	NR3C2
G27	HOXA9
G28	ELL2
G29	MEF2C
G30	HNRNPAB
G31	HNF4A
G32	MAML3
G33	MEIS1
G34	NFE2
G35	CBX7
G36	MYC
G37	REL
G38	KLF3
G39	HDAC7
G40	TRIB3
G41	NFIA
G42	ZBTB20
G43	PBX1
G44	EYA2
G45	KLF6
G46	GATA2
G47	RUNX2
G48	NDN
G49	MCM5
G50	H1F0
G51	HLF
G52	PRDM16
G53	IRF8
G54	BTG2
G55	MLLT3
G56	CD7
G57	IKZF1
G58	PGR
G59	SPI1
