#ID	Name
G0	DACH1
G1	SOX18
G2	VDR
G3	XRCC6
G4	RARB
G5	CBFB
G6	ESR1
G7	MECOM
G8	RORA
G9	XPC
G10	TEAD2
G11	IRF6
G12	TSC22D3
G13	FOXO1
G14	GFI1B
G15	HMGB2
G16	MYCN
G17	NUPR1
G18	SATB1
G19	RUNX1T1
G20	CTR9
G21	MCM4
G22	MCM7
G23	YBX1
G24	NOTCH1
G25	ELF1
G26	NR3C2
G27	HOXA9
G28	ELL2
G29	MEF2C
G30	HNRNPAB
G31	HNF4A
G32	MAML3
G33	MEIS1
G34	NFE2
G35	CBX7
G36	MYC
G37	REL
G38	KLF3
G39	HDAC7
G40	TRIB3
G41	NFIA
G42	ZBTB20
G43	PBX1
G44	EYA2
G45	KLF6
G46	GATA2
G47	RUNX2
G48	NDN
G49	MCM5
G50	H1F0
G51	HLF
G52	PRDM16
G53	IRF8
G54	BTG2
G55	MLLT3
G56	CD7
G57	IKZF1
G58	PGR
G59	SPI1
G60	DUSP1
G61	TFEC
G62	GIMAP8
G63	F2R
G64	PLXNC1
G65	ITGAM
G66	SOCS2
G67	IGHV1-82
G68	TINAGL1
G69	EPSTI1
G70	EBI3
G71	PSTPIP1
G72	TTC39B
G73	USP11
G74	ITPR2
G75	LDHD
G76	SERP1
G77	VLDLR
G78	TYROBP
G79	FAM171A1
G80	ITSN1
G81	H2-OB
G82	SPC24
G83	NEURL3
G84	SLC16A10
G85	UNC93B1
G86	NUCB2
G87	HSD3B7
G88	TMEM246
G89	SPNS2
G90	SLC29A1
G91	FGD5
G92	WFDC17
G93	TBXAS1
G94	C230085N15RIK
G95	CISH
G96	TMEM37
G97	D630039A03RIK
G98	SLC39A13
G99	CDK6
G100	IRAK3
G101	OBSCN
G102	NUDT19
G103	GM37124
G104	ITGB7
G105	KBTBD11
G106	RGS19
G107	GNG11
G108	NEAT1
G109	CYFIP2
G110	FCHO2
G111	CD33
G112	RNF38
G113	F11R
G114	GIMAP1OS
G115	CDT1
G116	PRPS2
G117	TXNIP
G118	ZNRF2
G119	DEF8
G120	IL18BP
G121	TEK
G122	MKI67
G123	MAGED1
G124	CERS4
G125	NKG7
G126	SULT1A1
G127	RNF213
G128	ARHGAP27
G129	UPP1
G130	TRAF1
G131	ICA1
G132	ZFP422
G133	TAPT1
G134	MAMDC2
G135	FHL1
G136	FCRL1
G137	GDF3
G138	SDC1
G139	DYNLL1
G140	CDK19
G141	ITGAL
G142	IFI27L2A
G143	NRROS
G144	ENG
G145	ANKRD44
G146	DOCK11
G147	SLBP
G148	BDH2
G149	AI504432
G150	LAG3
G151	PLSCR4
G152	EMP1
G153	LYN
G154	TFR2
G155	ZFP62
G156	IPCEF1
G157	FADS1
G158	SERPINF1
G159	VAV3
G160	FUCA2
G161	ATP8B4
G162	PLXDC2
G163	TOP2A
G164	PRNP
G165	CD9
G166	CSF3R
G167	SAT1
G168	TRIM59
G169	N4BP3
G170	CTSW
G171	C130089K02RIK
G172	ME2
G173	KLHL4
G174	CD69
G175	EVI2A
G176	HACD4
G177	CKS1B
G178	SCARF1
G179	ARHGAP15
G180	AKNA
G181	TBXA2R
G182	SLC43A2
G183	P2RY14
G184	ABCG2
G185	LTB
G186	SEMA3D
G187	SSTR2
G188	PRUNE2
G189	FGD2
G190	KCTD12
G191	5430427O19RIK
G192	SELENOP
G193	CD244A
G194	ACAP1
G195	ANXA2
G196	CTSG
G197	CD34
G198	FAM110C
G199	FUT8
G200	LDHB
G201	ZFP367
G202	GSN
G203	PPP1R15A
G204	ITM2A
G205	SH2D5
G206	SLFN2
G207	GM10384
G208	MAN1A
G209	TRIM47
G210	FRMD6
G211	CADPS2
G212	IGHV1-77
G213	CASP12
G214	CD55
G215	AFF3
G216	COQ8A
G217	GM4951
G218	GIMAP5
G219	SLC16A11
G220	LONP2
G221	LPCAT2
G222	MSMO1
G223	CD93
G224	TRIM16
G225	CTSF
G226	IGHM
G227	2610307P16RIK
G228	CRACR2B
G229	SLA
G230	UBASH3A
G231	TIPIN
G232	HAAO
G233	KIF17
G234	TLR7
G235	S100A6
G236	APP
G237	PGRMC1
G238	GPR18
G239	LRRC8C
G240	GNG2
G241	GRAMD1A
G242	GIMAP3
G243	IGHV1-81
G244	CLEC12A
G245	PEAR1
G246	PRR5
G247	PAQR5
G248	CORO7
G249	TESPA1
G250	CST7
G251	RAB27B
G252	LGALS1
G253	C1RL
G254	CREG1
G255	CTSS
G256	GAS2L3
G257	GAA
G258	ARPP21
G259	PTGS1
G260	LGMN
G261	ITGA6
G262	AFDN
G263	FKBP9
G264	PLD4
G265	PLEK
G266	IL18RAP
G267	UBA7
G268	TSPAN2
G269	PANX1
G270	PDZK1IP1
G271	AMPD2
G272	RAB38
G273	OAS2
G274	PPCDC
G275	CD48
G276	CPNE8
G277	DHRS3
G278	PLPPR3
G279	WFDC18
G280	RAMP1
G281	CD81
G282	WLS
G283	FCGRT
G284	CD52
G285	GBP4
G286	GPR65
G287	DCK
G288	PPM1G
G289	UHRF1
G290	PAFAH2
G291	RCSD1
G292	TMEM268
G293	APLP2
G294	ART4
G295	RNASE6
G296	ARL11
G297	LSP1
G298	CAPG
G299	SLC2A3
G300	MGAT1
G301	VAMP1
G302	GM1966
G303	KCNK5
G304	H2-Q6
G305	ARHGEF18
G306	SIGLECG
G307	MCTP2
G308	ABHD17B
G309	SMPDL3A
G310	TGM2
G311	MPL
G312	IFI213
G313	PF4
G314	PPIC
G315	C030034L19RIK
G316	PLXNA4OS1
G317	TMEM14C
G318	SERPINA3G
G319	TRPV2
G320	RAG2
G321	STK10
G322	F630028O10RIK
G323	SLC35D3
G324	9030619P08RIK
G325	SYTL1
G326	COL4A2
G327	FUT7
G328	GM973
G329	DUSP5
G330	GP9
G331	SAMSN1
G332	CPXM1
G333	IL17RA
G334	AP1S2
G335	BLNK
G336	MPO
G337	PARVG
G338	GUCY1A1
G339	ABCG3
G340	RNF13
G341	ZMIZ1
G342	STARD4
G343	SDSL
G344	GM4759
G345	PKIB
G346	SLC9A9
G347	NCAPD2
G348	ALDH1A1
G349	CFP
G350	OTULINL
G351	IFI206
G352	ADGRL4
G353	RASA4
G354	ARHGAP18
G355	CD74
G356	FSTL1
G357	AC174780.1
G358	SLC18A2
G359	ITGB5
G360	RHOF
G361	LAX1
G362	TFPI
G363	PKN3
G364	LHCGR
G365	GIMAP1
G366	EMB
G367	GM20342
G368	MYCT1
G369	TMEM206
G370	GBP9
G371	PIRB
G372	TMEM173
G373	CCL9
G374	CD53
G375	SLCO3A1
G376	SYK
G377	MYO5A
G378	SNAP23
G379	GM2A
G380	ANGPT1
G381	RP2
G382	JPT1
G383	NAV1
G384	TM6SF1
G385	NDRG2
G386	IL7R
G387	OSGIN1
G388	PDGFRB
G389	CIPC
G390	PRKCH
G391	GM45837
G392	ADSSL1
G393	IGKC
G394	RBPMS
G395	SELL
G396	LY9
G397	BCL2
G398	NPDC1
G399	LCK
G400	CAV2
G401	TRPC6
G402	ARHGEF39
G403	CAMK1D
G404	SSH2
G405	PDE1B
G406	GM11346
G407	ADAM17
G408	PLAC8
G409	RFTN1
G410	OTUB2
G411	VAMP5
G412	MPZL1
G413	APOE
G414	ARID5A
G415	CCR7
G416	CNN3
G417	PARP8
G418	TPM4
G419	NCEH1
G420	DNTT
G421	FDFT1
G422	ANXA5
G423	ENPP5
G424	SGMS1
G425	RANBP1
G426	TES
G427	IFI27
G428	UAP1L1
G429	COL4A1
G430	GSTT1
G431	RHOH
G432	CHRNB1
G433	TIE1
G434	NHP2
G435	CD63-PS
G436	GM5111
G437	DOCK10
G438	SLC44A2
G439	ADGRG3
G440	4833407H14RIK
G441	RRAS
G442	HID1
G443	NAPSA
G444	RGS2
G445	PRSS57
G446	IGHV1-74
G447	RASAL3
G448	ST8SIA4
G449	SNAP47
G450	BC035044
G451	SERPINB6A
G452	TBC1D5
G453	IL1R1
G454	SLC26A11
G455	SERPINB1A
G456	CPQ
G457	TSPAN3
G458	CDK17
G459	CCT2
G460	MILR1
G461	STK17B
G462	DUSP6
G463	BPIFC
G464	NLRC3
G465	ERP29
G466	CMAH
G467	TNS2
G468	IGFBP4
G469	STXBP1
G470	JCHAIN
G471	LACTB
G472	CCNG2
G473	EEPD1
G474	VEGFC
G475	NWD1
G476	ITGB2
G477	DPP4
G478	DTL
G479	ANKRD33B
G480	IFI209
G481	KRT18
G482	PROCR
G483	MN1
G484	E430014B02RIK
G485	BGN
G486	GGT5
G487	PTP4A3
G488	CDK18
G489	2810468N07RIK
G490	CCL3
G491	GSTM1
G492	ESAM
G493	SERPINA3F
G494	PTPRE
G495	DDX4
G496	GOLM1
G497	CTTN
G498	P2RX1
G499	GIMAP4
G500	PLIN3
G501	ARRDC4
G502	DENND2D
G503	SLC22A3
G504	GMNN
G505	UBE2L6
G506	NSMF
G507	9530082P21RIK
G508	OBSL1
G509	GBP2
G510	PRIM1
G511	SLC39A6
G512	MMRN1
G513	CD63
G514	PYGL
G515	CTSH
G516	MAGED2
G517	JAM3
G518	NCF1
G519	RNF125
G520	MYLK
G521	IL12A
G522	DOK2
G523	SPNS3
G524	ROBO4
G525	CTSL
G526	CRIP1
G527	BTLA
G528	CD44
G529	CCDC112
G530	TUBB4B
G531	SELPLG
G532	IL10RA
G533	FLT3
G534	PAG1
G535	ELOVL5
G536	FLNA
G537	PECAM1
G538	MOGS
G539	KAZALD1
G540	CTNNAL1
G541	WFDC2
G542	SLC18A1
G543	EFNA1
G544	IL17RE
G545	RASSF2
G546	GPR171
G547	METTL7A1
G548	SP100
G549	CDKN1C
G550	TNFAIP2
G551	H2-DMA
G552	GGTA1
G553	CTSB
G554	POLA2
G555	SLAMF1
G556	CLIP3
G557	NT5C3
G558	CSGALNACT1
G559	TMEM123
