#ID,TF,index
0,84,172
1,172,84
2,84,127
3,127,84
4,84,14
5,14,84
6,94,1075
7,53,1075
8,204,597
9,204,967
10,204,1211
11,204,1270
12,204,85
13,85,204
14,204,970
15,204,1252
16,204,1304
17,204,1311
18,204,1341
19,204,788
20,204,651
21,204,774
22,204,642
23,204,535
24,204,1084
25,204,1357
26,204,936
27,204,585
28,204,1290
29,204,735
30,204,523
31,204,1338
32,204,53
33,53,204
34,204,1007
35,204,635
36,204,547
37,204,628
38,204,1107
39,204,551
40,204,444
41,204,545
42,204,1197
43,204,230
44,230,204
45,204,442
46,299,711
47,271,711
48,345,711
49,15,711
50,208,711
51,367,711
52,399,711
53,190,711
54,210,248
55,248,210
56,210,179
57,179,210
58,210,742
59,210,865
60,210,585
61,94,1096
62,50,1096
63,98,1096
64,267,1096
65,85,1096
66,164,1096
67,369,1096
68,270,1096
69,77,1096
70,23,1096
71,198,1096
72,53,1096
73,287,1096
74,317,1096
75,230,1096
76,104,1096
77,356,46
78,46,356
79,356,1029
80,356,474
81,356,231
82,231,356
83,356,164
84,164,356
85,356,63
86,63,356
87,356,366
88,366,356
89,356,131
90,131,356
91,356,642
92,356,373
93,373,356
94,356,129
95,129,356
96,356,430
97,356,62
98,62,356
99,356,183
100,183,356
101,356,155
102,155,356
103,356,374
104,374,356
105,356,217
106,217,356
107,356,335
108,335,356
109,356,1377
110,356,394
111,394,356
112,356,205
113,205,356
114,356,422
115,356,212
116,212,356
117,356,12
118,12,356
119,356,368
120,368,356
121,356,105
122,105,356
123,356,239
124,239,356
125,356,14
126,14,356
127,8,731
128,184,183
129,183,184
130,94,569
131,94,1109
132,94,50
133,50,94
134,94,597
135,94,967
136,94,997
137,94,417
138,94,1211
139,94,930
140,94,1098
141,94,1270
142,94,85
143,85,94
144,94,970
145,94,837
146,94,1304
147,94,1341
148,94,455
149,94,964
150,94,788
151,94,651
152,94,774
153,94,1232
154,94,1069
155,94,642
156,94,535
157,94,725
158,94,1357
159,94,77
160,77,94
161,94,1290
162,94,735
163,94,523
164,94,583
165,94,1338
166,94,53
167,53,94
168,94,635
169,94,1125
170,94,628
171,94,528
172,94,1377
173,94,444
174,94,88
175,88,94
176,94,205
177,205,94
178,94,757
179,94,287
180,287,94
181,94,317
182,317,94
183,94,230
184,230,94
185,94,104
186,104,94
187,94,442
188,216,129
189,129,216
190,216,62
191,62,216
192,216,351
193,351,216
194,216,183
195,183,216
196,216,141
197,141,216
198,216,266
199,266,216
200,216,583
201,216,15
202,15,216
203,216,1098
204,216,128
205,128,216
206,216,568
207,216,208
208,208,216
209,216,312
210,312,216
211,216,102
212,102,216
213,216,353
214,353,216
215,216,88
216,88,216
217,216,367
218,367,216
219,216,399
220,399,216
221,216,1232
222,216,317
223,317,216
224,216,230
225,230,216
226,216,18
227,18,216
228,216,308
229,308,216
230,133,616
231,133,1254
232,133,743
233,183,545
234,131,173
235,173,131
236,131,1109
237,131,46
238,46,131
239,131,1028
240,131,455
241,131,788
242,131,651
243,131,1232
244,131,62
245,62,131
246,131,183
247,183,131
248,131,155
249,155,131
