#ID,TF,index
0,ETV1,0
1,HNRNPD,1
2,MLLT6,2
3,SLA2,3
4,ZNF160,4
5,CBFA2T2,5
6,SHOX,6
7,NFAT5,7
8,TGFB1,8
9,EGF,9
10,PBX1,10
11,SMAD2,11
12,AR,12
13,BMPR1A,13
14,HCFC1,14
15,GTF2H2,15
16,ZNF585B,16
17,LIMD1,17
18,TCEA1,18
19,SFPQ,19
20,SF1,20
21,SP110,21
22,SATB2,22
23,TFDP1,23
24,ZBTB38,24
25,GATA6,25
26,RXRG,26
27,ETV4,27
28,HIF3A,28
29,BCL11B,29
30,KHSRP,30
31,SATB1,31
32,ZNF238,32
33,POU5F1,33
34,ISL1,34
35,PDGFA,35
36,LZTS1,36
37,RNPS1,37
38,ASB9,38
39,MECOM,39
40,YAF2,40
41,SMG6,41
42,HOXB6,42
43,NFKBIA,43
44,POU2F1,44
45,GRHL1,45
46,XRCC5,46
47,GCM1,47
48,ETV3,48
49,ZFHX3,49
50,MCM6,50
51,SMAD6,51
52,DMBX1,52
53,MCM2,53
54,DAXX,54
55,SRSF10,55
56,SRSF1,56
57,KLF8,57
58,BMP2,58
59,SOX17,59
60,ZNF219,60
61,ENO1,61
62,XRCC6,62
63,DNMT3B,63
64,ETS1,64
65,DAB2,65
66,FOXJ2,66
67,E2F3,67
68,MLL3,68
69,APC,69
70,ASB4,70
71,CALCOCO1,71
72,SRSF2,72
73,ZNF764,73
74,SNRPB,74
75,EEF1A1,75
76,PITX2,76
77,MCM7,77
78,DDX54,78
79,TCF7L1,79
80,ZNF107,80
81,SNAI1,81
82,TRIM27,82
83,SMARCD3,83
84,NFE2L3,84
85,RAD51,85
86,TRIM25,86
87,SALL2,87
88,CHAF1A,88
89,TLE2,89
90,CXXC1,90
91,TEAD4,91
92,GATA4,92
93,ID3,93
94,MCM5,94
95,BRWD1,95
96,PHF21A,96
97,SNRPD1,97
98,MYBL2,98
99,ETV7,99
100,ZNF202,100
101,TBX20,101
102,RUVBL1,102
103,MAPK10,103
104,UHRF1,104
105,EZH2,105
106,ARID4B,106
107,TRIP11,107
108,HOPX,108
109,FUS,109
110,DNMT3A,110
111,BCLAF1,111
112,RARG,112
113,HOXB7,113
114,WWTR1,114
115,AFF1,115
116,MAML3,116
117,ZNF165,117
118,HAND2,118
119,CBX3,119
120,GSC,120
121,NR2C1,121
122,PGR,122
123,LDB2,123
124,RORB,124
125,MXD4,125
126,RAX2,126
127,MAFG,127
128,SMARCC1,128
129,POLR2G,129
130,ELK3,130
131,APEX1,131
132,MED14,132
133,SOS2,133
134,DACH1,134
135,RBMX,135
136,NAA15,136
137,IRF1,137
138,BARX2,138
139,TLE3,139
140,BTG2,140
141,MLLT3,141
142,MDM4,142
143,ZNF83,143
144,WDR5,144
145,NCOA6,145
146,CEBPZ,146
147,PSIP1,147
