G0	ETV1
G1	HNRNPD
G2	MLLT6
G3	SLA2
G4	ZNF160
G5	CBFA2T2
G6	SHOX
G7	NFAT5
G8	TGFB1
G9	EGF
G10	PBX1
G11	SMAD2
G12	AR
G13	BMPR1A
G14	HCFC1
G15	GTF2H2
G16	ZNF585B
G17	LIMD1
G18	TCEA1
G19	SFPQ
G20	SF1
G21	SP110
G22	SATB2
G23	TFDP1
G24	ZBTB38
G25	GATA6
G26	RXRG
G27	ETV4
G28	HIF3A
G29	BCL11B
G30	KHSRP
G31	SATB1
G32	ZNF238
G33	POU5F1
G34	ISL1
G35	PDGFA
G36	LZTS1
G37	RNPS1
G38	ASB9
G39	MECOM
G40	YAF2
G41	SMG6
G42	HOXB6
G43	NFKBIA
G44	POU2F1
G45	GRHL1
G46	XRCC5
G47	GCM1
G48	ETV3
G49	ZFHX3
G50	MCM6
G51	SMAD6
G52	DMBX1
G53	MCM2
G54	DAXX
G55	SRSF10
G56	SRSF1
G57	KLF8
G58	BMP2
G59	SOX17
G60	ZNF219
G61	ENO1
G62	XRCC6
G63	DNMT3B
G64	ETS1
G65	DAB2
G66	FOXJ2
G67	E2F3
G68	MLL3
G69	APC
G70	ASB4
G71	CALCOCO1
G72	SRSF2
G73	ZNF764
G74	SNRPB
G75	EEF1A1
G76	PITX2
G77	MCM7
G78	DDX54
G79	TCF7L1
G80	ZNF107
G81	SNAI1
G82	TRIM27
G83	SMARCD3
G84	NFE2L3
G85	RAD51
G86	TRIM25
G87	SALL2
G88	CHAF1A
G89	TLE2
G90	CXXC1
G91	TEAD4
G92	GATA4
G93	ID3
G94	MCM5
G95	BRWD1
G96	PHF21A
G97	SNRPD1
G98	MYBL2
G99	ETV7
G100	ZNF202
G101	TBX20
G102	RUVBL1
G103	MAPK10
G104	UHRF1
G105	EZH2
G106	ARID4B
G107	TRIP11
G108	HOPX
G109	FUS
G110	DNMT3A
G111	BCLAF1
G112	RARG
G113	HOXB7
G114	WWTR1
G115	AFF1
G116	MAML3
G117	ZNF165
G118	HAND2
G119	CBX3
G120	GSC
G121	NR2C1
G122	PGR
G123	LDB2
G124	RORB
G125	MXD4
G126	RAX2
G127	MAFG
G128	SMARCC1
G129	POLR2G
G130	ELK3
G131	APEX1
G132	MED14
G133	SOS2
G134	DACH1
G135	RBMX
G136	NAA15
G137	IRF1
G138	BARX2
G139	TLE3
G140	BTG2
G141	MLLT3
G142	MDM4
G143	ZNF83
G144	WDR5
G145	NCOA6
G146	CEBPZ
G147	PSIP1
G148	KLF7
G149	ILF3
G150	KLF5
G151	ATRX
G152	CUX1
G153	PDCD11
G154	TFAP2A
G155	PARP1
G156	TRIM22
G157	NFKBIB
G158	NHLH2
G159	AES
G160	CENPK
G161	ZIC3
G162	ARID5B
G163	KLF6
G164	RBBP4
G165	MYOCD
G166	PARN
G167	ARID3B
G168	FOXH1
G169	HESX1
G170	RAI1
G171	RNF19A
G172	MAFF
G173	YBX1
G174	CCND1
G175	ATF6
G176	MKI67IP
G177	TCOF1
G178	AEBP1
G179	SRC
G180	UPF2
G181	CTBP1
G182	BMP4
G183	TP53
G184	MIF
G185	TCF4
G186	IFI16
G187	FXR1
G188	CNBP
G189	PHF17
G190	POLR1C
G191	RFXANK
G192	SP100
G193	CRABP2
G194	PTMA
G195	FOXP1
G196	ZBTB2
G197	ANKRD6
G198	PSMD9
G199	LEF1
G200	SMAD5
G201	SKIL
G202	STAT2
G203	FOXF1
G204	TRIP13
G205	DNMT1
G206	POLR3E
G207	ZFPM2
G208	POLR2H
G209	KHDRBS2
G210	TRIP6
G211	SPIB
G212	HDAC9
G213	SHOX2
G214	HIST1H1B
G215	TWIST1
G216	SUPT16H
G217	GATAD2A
G218	HOXB3
G219	SETBP1
G220	NR0B1
G221	SNAPC4
G222	LMX1B
G223	MITF
G224	POU3F1
G225	WWP1
G226	SOX4
G227	NONO
G228	SRSF3
G229	LHX1
G230	MCM4
G231	MEF2D
G232	ZNF239
G233	GRHL2
G234	HELZ
G235	TRIM33
G236	SNAI2
G237	HDGF
G238	SOX7
G239	HIF1A
G240	CNTRL
G241	ID1
G242	ARID3A
G243	ZNF398
G244	VHL
G245	POU2F2
G246	ZNF8
G247	PRIC285
G248	NR3C1
G249	APBB2
G250	TLR4
G251	NRIP1
G252	HNRNPK
G253	TRAF6
G254	RUVBL2
G255	TFE3
G256	ASH2L
G257	BHLHE40
G258	ALYREF
G259	ZHX3
G260	ARNT2
G261	AIRE
G262	FOXD3
G263	ZFP42
G264	ELL2
G265	ZRANB2
G266	POLR2D
G267	E2F7
G268	UPF1
G269	SOX2
G270	KAT7
G271	POLR1B
G272	ZNF142
G273	PLAGL1
G274	TRPS1
G275	TRERF1
G276	APBB1
G277	GATA2
G278	CREB3L4
G279	RAI14
G280	TCF19
G281	EOMES
G282	CSDE1
G283	NANOG
G284	GATA3
G285	MED16
G286	RUNX1
G287	ESPL1
G288	ZIC2
G289	BTF3
G290	CIITA
G291	SOX13
G292	PURA
G293	HLX
G294	TEAD1
G295	RBPJ
G296	ANKRD1
G297	CDCA7L
G298	ESRRG
G299	UBTF
G300	TMF1
G301	NFIC
G302	SOX5
G303	TAF1L
G304	BCL11A
G305	U2AF1
G306	NFIB
G307	ZNF488
G308	POLR2A
G309	TLE1
G310	CITED2
G311	EWSR1
G312	SMARCD1
G313	SIX6
G314	MEIS2
G315	ANKZF1
G316	REL
G317	MCM3
