,TF,Target,Label
0,0,12,1
1,1,37,1
2,1,357,1
3,1,19,1
4,1,30,1
5,1,456,1
6,1,135,1
7,1,266,1
8,1,1043,1
9,1,173,1
10,1,56,1
11,1,367,1
12,1,109,1
13,1,308,1
14,1,129,1
15,1,20,1
16,1,860,1
17,2,141,1
18,3,470,1
19,4,333,1
20,5,185,1
21,8,65,1
22,8,590,1
23,8,1352,1
24,8,622,1
25,8,1029,1
26,8,51,1
27,8,1066,1
28,8,1359,1
29,8,49,1
30,8,1383,1
31,8,225,1
32,8,200,1
33,8,522,1
34,9,183,1
35,9,1029,1
36,9,35,1
37,9,1035,1
38,9,394,1
39,9,12,1
40,9,368,1
41,9,923,1
42,9,81,1
43,9,236,1
44,9,381,1
45,9,122,1
46,9,771,1
47,9,872,1
48,9,65,1
49,9,1008,1
50,9,1116,1
51,9,366,1
52,9,1366,1
53,9,1216,1
54,9,921,1
55,10,389,1
56,10,1179,1
57,10,283,1
58,10,222,1
59,10,382,1
60,10,115,1
61,10,145,1
62,10,269,1
63,10,208,1
64,10,116,1
65,10,353,1
66,10,295,1
67,10,129,1
68,10,113,1
69,10,1333,1
70,10,367,1
71,11,181,1
72,11,23,1
73,11,81,1
74,11,1029,1
75,11,368,1
76,11,358,1
77,11,51,1
78,11,155,1
79,11,65,1
80,11,1383,1
81,11,369,1
82,11,236,1
83,11,815,1
84,11,200,1
85,11,182,1
86,11,8,1
87,11,225,1
88,11,168,1
89,11,145,1
90,11,13,1
91,11,183,1
92,11,114,1
93,11,789,1
94,12,766,1
95,12,422,1
96,12,394,1
97,12,386,1
98,12,248,1
99,12,365,1
100,12,368,1
101,12,929,1
102,12,105,1
103,12,414,1
104,12,356,1
105,12,366,1
106,12,183,1
107,12,332,1
108,12,1333,1
109,12,9,1
110,13,520,1
111,13,789,1
112,13,92,1
113,13,1204,1
114,13,11,1
115,13,472,1
116,13,51,1
117,14,144,1
118,14,254,1
119,14,356,1
120,14,84,1
121,14,1105,1
122,14,370,1
123,15,216,1
124,15,299,1
125,15,442,1
126,15,345,1
127,15,711,1
128,15,266,1
129,15,190,1
130,15,155,1
131,15,455,1
132,15,1232,1
133,15,1125,1
134,15,129,1
135,15,18,1
136,15,208,1
137,17,239,1
138,17,198,1
139,17,570,1
140,17,28,1
141,18,399,1
142,18,367,1
143,18,129,1
144,18,308,1
145,18,216,1
146,18,208,1
147,18,455,1
148,18,351,1
149,18,1125,1
150,19,342,1
151,19,149,1
152,19,252,1
153,19,258,1
154,19,357,1
155,19,349,1
156,19,30,1
157,19,344,1
158,20,860,1
159,20,399,1
160,20,72,1
161,20,266,1
162,20,1,1
163,20,56,1
164,20,372,1
165,20,429,1
166,20,349,1
167,20,129,1
168,20,135,1
169,20,19,1
170,20,37,1
171,20,353,1
172,20,97,1
173,20,228,1
174,22,29,1
175,23,119,1
176,23,116,1
177,23,1096,1
178,23,67,1
179,23,174,1
180,23,335,1
181,23,569,1
182,23,744,1
183,23,597,1
184,23,333,1
185,23,583,1
186,23,120,1
187,23,11,1
188,23,459,1
189,23,98,1
190,23,105,1
191,23,1125,1
192,23,369,1
193,24,181,1
194,25,207,1
195,25,354,1
196,25,284,1
197,25,283,1
198,25,238,1
199,25,59,1
200,25,101,1
201,26,193,1
202,26,374,1
203,27,311,1
204,28,1244,1
205,28,310,1
206,28,244,1
207,28,239,1
208,29,281,1
209,29,284,1
210,29,22,1
211,30,166,1
212,30,1,1
213,30,20,1
214,30,228,1
215,30,149,1
216,30,349,1
217,30,486,1
218,31,284,1
219,31,181,1
220,33,161,1
221,33,311,1
222,33,144,1
223,33,105,1
224,33,1200,1
225,33,503,1
226,33,11,1
227,33,921,1
228,33,220,1
229,33,362,1
230,33,1383,1
231,33,333,1
232,33,354,1
233,33,63,1
234,33,382,1
235,33,92,1
236,33,25,1
237,33,205,1
238,33,368,1
239,33,185,1
240,33,262,1
241,34,92,1
242,34,101,1
243,34,213,1
244,34,269,1
245,35,1116,1
246,35,1366,1
247,36,487,1
248,37,180,1
249,37,20,1
250,37,1043,1
251,37,308,1
252,37,860,1
253,37,129,1
254,37,266,1
255,37,1,1
256,37,353,1
257,37,372,1
258,37,173,1
259,37,393,1
260,37,109,1
261,37,135,1
262,37,489,1
263,37,55,1
264,37,665,1
265,37,258,1
266,37,344,1
267,37,41,1
268,38,515,1
269,38,244,1
270,38,766,1
271,38,1325,1
272,38,420,1
273,38,815,1
274,38,225,1
275,38,428,1
276,38,543,1
277,38,361,1
278,38,70,1
279,38,1304,1
280,39,286,1
281,39,381,1
282,39,181,1
283,39,236,1
284,39,217,1
285,39,183,1
286,40,286,1
287,40,119,1
288,41,180,1
289,41,268,1
290,41,1043,1
291,41,634,1
292,42,543,1
293,42,398,1
294,43,157,1
295,43,374,1
296,43,1333,1
297,43,198,1
298,43,86,1
299,43,253,1
300,43,404,1
301,43,1400,1
302,44,264,1
303,44,363,1
304,44,926,1
305,44,353,1
306,44,245,1
307,44,190,1
308,44,399,1
309,44,269,1
310,44,367,1
311,44,129,1
312,45,689,1
313,45,145,1
314,45,233,1
315,46,1125,1
316,46,702,1
317,46,344,1
318,46,1377,1
319,46,356,1
320,46,341,1
321,46,131,1
322,46,744,1
323,46,1028,1
324,46,155,1
325,46,1092,1
326,49,8,1
327,50,1338,1
328,50,629,1
329,50,455,1
330,50,583,1
331,50,1253,1
332,50,788,1
333,50,1341,1
334,50,287,1
335,50,523,1
336,50,85,1
337,50,1357,1
338,50,967,1
339,50,94,1
340,50,1377,1
341,50,628,1
342,50,444,1
343,50,230,1
344,50,735,1
345,50,535,1
346,50,205,1
347,50,53,1
348,50,1096,1
349,50,651,1
350,50,757,1
351,51,92,1
352,51,683,1
353,51,58,1
354,51,11,1
355,51,1359,1
356,51,181,1
357,51,594,1
358,51,8,1
359,53,1346,1
360,53,50,1
361,53,997,1
362,53,88,1
363,53,230,1
364,53,1304,1
365,53,1098,1
366,53,1377,1
367,53,528,1
368,53,1075,1
369,53,569,1
370,53,1007,1
371,53,205,1
372,53,930,1
373,53,597,1
374,53,270,1
375,53,583,1
376,53,1107,1
377,53,1197,1
378,53,444,1
379,53,757,1
380,53,551,1
381,53,585,1
382,53,1125,1
383,53,735,1
384,53,422,1
385,53,970,1
386,53,1232,1
387,53,94,1
388,53,774,1
389,53,788,1
390,54,394,1
391,54,64,1
392,54,192,1
393,54,8,1
394,55,228,1
395,55,74,1
396,55,208,1
397,55,367,1
398,55,308,1
399,55,37,1
400,55,129,1
401,55,20,1
402,55,252,1
403,55,97,1
404,55,135,1
405,55,173,1
