#ID,TF,index
0,172,344
1,344,172
2,172,350
3,350,172
4,172,212
5,212,172
6,405,632
7,405,774
8,405,568
9,405,313
10,313,405
11,405,567
12,405,737
13,405,728
14,405,706
15,405,417
16,405,509
17,405,898
18,405,691
19,405,462
20,405,720
21,405,585
22,405,13
23,13,405
24,405,736
25,405,758
26,405,871
27,405,411
28,405,266
29,266,405
30,405,654
31,15,572
32,158,572
33,125,572
34,188,572
35,101,572
36,60,572
37,296,572
38,180,572
39,72,258
40,258,72
41,72,274
42,274,72
43,72,726
44,341,76
45,76,341
46,341,124
47,124,341
48,341,248
49,248,341
50,341,352
51,352,341
52,341,149
53,149,341
54,341,241
55,241,341
56,341,47
57,47,341
58,341,122
59,122,341
60,341,287
61,287,341
62,341,399
63,399,341
64,341,392
65,392,341
66,341,322
67,322,341
68,341,118
69,118,341
70,341,377
71,377,341
72,341,753
73,341,380
74,380,341
75,341,106
76,106,341
77,341,450
78,341,391
79,391,341
80,341,351
81,351,341
82,341,317
83,317,341
84,341,347
85,347,341
86,341,383
87,383,341
88,341,212
89,212,341
90,32,883
91,356,399
92,399,356
93,294,767
94,294,267
95,267,294
96,294,632
97,294,774
98,294,725
99,294,568
100,294,313
101,313,294
102,294,567
103,294,728
104,294,417
105,294,783
106,294,509
107,294,898
108,294,691
109,294,797
110,294,462
111,294,21
112,21,294
113,294,720
114,294,585
115,294,13
116,13,294
117,294,758
118,294,786
119,294,753
120,294,411
121,294,302
122,302,294
123,294,106
124,106,294
125,294,829
126,294,210
127,210,294
128,294,213
129,213,294
130,294,266
131,266,294
132,294,201
133,201,294
134,294,654
135,152,122
136,122,152
137,152,287
138,287,152
139,152,233
140,233,152
141,152,399
142,399,152
143,152,78
144,78,152
145,152,142
146,142,152
147,152,188
148,188,152
149,152,725
150,152,64
151,64,152
152,152,101
153,101,152
154,152,384
155,384,152
156,152,80
157,80,152
158,152,332
159,332,152
160,152,302
161,302,152
162,152,60
163,60,152
164,152,296
165,296,152
166,152,213
167,213,152
168,152,266
169,266,152
170,152,228
171,228,152
172,152,148
173,148,152
174,154,722
175,241,289
176,289,241
177,241,76
178,76,241
179,241,509
180,241,287
181,287,241
182,241,399
183,399,241
184,241,392
185,392,241
186,241,84
187,84,241
188,241,635
189,241,719
190,241,206
191,206,241
192,241,383
193,383,241
194,241,654
195,75,274
196,274,75
197,75,193
198,193,75
199,75,357
200,357,75
201,75,35
202,35,75
203,75,145
204,145,75
205,75,399
206,399,75
207,75,10
208,10,75
209,75,588
210,75,880
211,75,831
212,75,322
213,322,75
214,75,800
215,75,290
216,290,75
217,75,381
218,381,75
219,138,568
220,138,567
221,138,248
222,248,138
223,138,728
224,138,417
225,138,898
226,138,691
227,138,197
228,197,138
229,138,194
230,194,138
231,138,758
232,138,79
233,79,138
234,138,343
235,343,138
236,138,299
237,299,138
238,138,210
239,210,138
240,138,206
241,206,138
242,191,719
243,380,719
244,79,606
245,149,606
246,362,218
247,218,362
248,362,196
249,196,362
250,362,171
251,171,362
252,362,31
253,31,362
254,362,110
255,110,362
256,362,670
257,362,149
258,149,362
259,362,85
260,85,362
261,332,348
262,348,332
263,332,90
264,90,332
265,332,402
266,402,332
267,332,289
268,289,332
269,332,122
