G0	BTG2
G1	FOXP1
G2	ETV3
G3	BMP2
G4	ZRANB2
G5	HIF3A
G6	MAPK10
G7	ZNF238
G8	MED16
G9	POU5F1
G10	PSMD9
G11	PSIP1
G12	ETV1
G13	MCM2
G14	OTX2
G15	UBTF
G16	YAF2
G17	CALCOCO1
G18	TCF19
G19	KLF7
G20	SNRPD1
G21	MCM7
G22	AFF1
G23	NFIA
G24	HOXB7
G25	HESX1
G26	SSB
G27	MITF
G28	PHB2
G29	ZNF589
G30	EWSR1
G31	HLX
G32	TGFB1
G33	HOXB6
G34	TGFB1I1
G35	KLF6
G36	TRPS1
G37	MDM4
G38	CRX
G39	HNRNPAB
G40	RAI1
G41	SFPQ
G42	CBFA2T2
G43	ZBTB2
G44	ARID3B
G45	RBM14
G46	NKX3-1
G47	MYCN
G48	RFXANK
G49	GATA2
G50	JUND
G51	CITED2
G52	KAT6A
G53	GCM1
G54	NFYB
G55	PGR
G56	FOXN3
G57	SIX6
G58	CSDE1
G59	GRHL1
G60	POLR2F
G61	CIITA
G62	DEK
G63	NRIP1
G64	SMARCC1
G65	CREB3L4
G66	NFIB
G67	PPARGC1B
G68	CRABP2
G69	SOX4
G70	ZNF142
G71	MLL3
G72	TRIP6
G73	UPF2
G74	ZBTB38
G75	NFKBIA
G76	XRCC5
G77	IFI16
G78	MLLT3
G79	CCND1
G80	RUVBL1
G81	LMO2
G82	ALYREF
G83	NHLH2
G84	ILF2
G85	CTBP1
G86	POU2AF1
G87	ZEB2
G88	DNAJC2
G89	ATF6
G90	MEIS1
G91	CENPK
G92	H1F0
G93	MKI67IP
G94	GTF3C4
G95	ISL1
G96	SCD5
G97	TCOF1
G98	FXR1
G99	GATA6
G100	GSC
G101	POLR2H
G102	SMARCD3
G103	SETBP1
G104	IRF1
G105	ZHX3
G106	DNMT1
G107	FOXD3
G108	RNPS1
G109	SOX3
G110	LEF1
G111	PATZ1
G112	HIST1H1B
G113	NAA15
G114	WWP1
G115	POU2F1
G116	CSRP2
G117	SERTAD2
G118	GATAD2A
G119	DAXX
G120	HNRNPK
G121	HELZ
G122	POLR2G
G123	ETS1
G124	MEF2D
G125	POLR1A
G126	GATA4
G127	ETV7
G128	RBMX
G129	TBX3
G130	SNRPB
G131	FOXJ2
G132	SRSF2
G133	SPIB
