,TF,Target,Label
0,0,302,1
1,0,35,1
2,0,399,1
3,3,278,1
4,3,685,1
5,3,622,1
6,3,546,1
7,3,532,1
8,3,126,1
9,3,300,1
10,3,165,1
11,3,292,1
12,5,272,1
13,5,525,1
14,5,318,1
15,5,51,1
16,6,503,1
17,6,535,1
18,6,258,1
19,6,461,1
20,6,311,1
21,6,193,1
22,6,399,1
23,6,135,1
24,8,67,1
25,8,146,1
26,8,45,1
27,9,399,1
28,9,347,1
29,9,352,1
30,9,300,1
31,9,14,1
32,9,30,1
33,9,281,1
34,9,99,1
35,9,338,1
36,9,47,1
37,9,253,1
38,9,317,1
39,9,404,1
40,9,365,1
41,9,371,1
42,9,109,1
43,9,149,1
44,9,442,1
45,9,355,1
46,9,232,1
47,10,486,1
48,10,114,1
49,10,417,1
50,10,399,1
51,10,758,1
52,10,454,1
53,10,500,1
54,10,79,1
55,10,145,1
56,10,852,1
57,10,831,1
58,10,357,1
59,11,422,1
60,11,376,1
61,12,351,1
62,13,302,1
63,13,783,1
64,13,632,1
65,13,725,1
66,13,786,1
67,13,417,1
68,13,267,1
69,13,213,1
70,13,106,1
71,13,774,1
72,13,393,1
73,13,736,1
74,13,411,1
75,13,828,1
76,13,567,1
77,13,898,1
78,13,758,1
79,13,767,1
80,13,266,1
81,13,568,1
82,14,141,1
83,14,9,1
84,14,57,1
85,14,345,1
86,14,95,1
87,14,292,1
88,15,377,1
89,15,572,1
90,15,180,1
91,15,188,1
92,15,118,1
93,15,248,1
94,16,409,1
95,16,377,1
96,16,194,1
97,18,201,1
98,18,898,1
99,18,728,1
100,18,691,1
101,20,332,1
102,20,108,1
103,20,370,1
104,20,333,1
105,20,128,1
106,20,122,1
107,20,26,1
108,20,120,1
109,20,142,1
110,20,136,1
111,20,82,1
112,20,84,1
113,20,879,1
114,20,289,1
115,20,296,1
116,21,313,1
117,21,411,1
118,21,767,1
119,21,774,1
120,21,725,1
121,21,302,1
122,21,267,1
123,21,106,1
124,21,294,1
125,21,417,1
126,21,567,1
127,21,79,1
128,21,829,1
129,21,213,1
130,21,797,1
131,21,148,1
132,21,462,1
133,22,408,1
134,22,173,1
135,23,192,1
136,23,66,1
