#ID,TF,index
0,25,1164
1,420,1164
2,353,1164
3,434,1164
4,353,554
5,25,554
6,420,554
7,294,554
8,434,554
9,203,1422
10,111,508
11,208,508
12,376,508
13,181,508
14,125,508
15,42,508
16,116,508
17,23,508
18,86,508
19,267,508
20,166,508
21,432,508
22,117,508
23,136,508
24,215,508
25,288,508
26,358,508
27,158,508
28,211,508
29,169,508
30,377,508
31,124,508
32,438,508
33,13,508
34,391,508
35,406,508
36,386,508
37,233,508
38,40,508
39,230,508
40,6,252
41,252,6
42,6,209
43,209,6
44,6,307
45,307,6
46,6,1417
47,6,1246
48,111,990
49,158,990
50,374,990
51,56,990
52,231,1380
53,231,518
54,231,556
55,231,1426
56,231,110
57,110,231
58,231,1224
59,231,893
60,231,635
61,231,1188
62,231,1238
63,231,181
64,181,231
65,231,872
66,231,568
67,231,605
68,231,330
69,330,231
70,231,1370
71,231,543
72,231,820
73,231,914
74,231,782
75,231,758
76,231,1167
77,231,1249
78,231,1068
79,231,1328
80,231,1348
81,231,306
82,306,231
83,231,1157
84,231,1036
85,231,488
86,231,1302
87,231,615
88,231,1219
89,231,1360
90,231,1319
91,231,1181
92,231,952
93,231,694
94,231,641
95,231,1055
96,231,585
97,231,1293
98,231,976
99,231,158
100,158,231
101,231,1309
102,231,888
103,231,1428
104,231,1312
105,231,631
106,231,1063
107,231,1444
108,231,677
109,231,156
110,156,231
111,231,40
112,40,231
113,382,1352
114,92,658
115,447,658
116,366,658
117,43,658
118,404,658
119,26,658
120,350,658
121,7,658
122,95,658
123,145,658
124,255,658
125,346,590
126,165,166
127,166,165
128,165,353
129,353,165
130,165,14
131,14,165
132,165,98
133,98,165
134,165,22
135,22,165
136,165,203
137,203,165
138,165,138
139,138,165
140,329,1266
141,111,1011
142,208,1011
143,110,1011
144,0,1011
145,225,1011
146,71,1011
147,181,1011
148,109,1011
149,113,1011
150,203,1011
151,219,1011
152,306,1011
153,309,1011
154,86,1011
155,148,1011
156,249,1011
157,402,1011
158,14,1011
159,158,1011
160,272,1011
161,438,1011
162,431,1011
163,233,1011
164,40,1011
165,359,1011
166,194,963
167,287,963
168,293,963
169,375,963
170,11,963
171,198,963
172,389,963
173,146,963
174,259,963
175,3,963
176,119,963
177,114,963
178,19,1380
179,19,265
180,265,19
181,19,352
182,352,19
183,19,9
184,9,19
185,19,417
186,417,19
187,19,330
188,330,19
189,19,1300
190,19,4
191,4,19
192,19,109
193,109,19
194,19,217
195,217,19
196,19,758
197,19,73
198,73,19
199,19,121
200,121,19
201,19,203
202,203,19
203,19,69
204,69,19
205,19,42
206,42,19
207,19,340
208,340,19
209,19,306
210,306,19
211,19,273
212,273,19
213,19,48
214,48,19
215,19,82
216,82,19
217,19,267
218,267,19
219,19,290
220,290,19
221,19,166
222,166,19
223,19,307
224,307,19
225,19,220
226,220,19
227,19,433
228,433,19
229,19,867
230,19,358
231,358,19
232,19,321
233,321,19
234,19,179
235,179,19
236,19,1358
237,19,80
238,80,19
239,19,334
240,334,19
241,19,94
242,94,19
243,19,1317
244,19,1178
245,19,89
246,89,19
247,19,1065
248,19,1443
249,19,140
250,140,19
251,19,243
252,243,19
253,19,133
254,133,19
255,19,308
256,308,19
257,294,1001
258,100,387
259,387,100
260,100,870
261,100,153
262,153,100
263,100,422
264,422,100
265,100,218
266,218,100
267,100,938
268,100,353
269,353,100
270,100,895
271,100,74
272,74,100
273,100,43
274,43,100
275,100,404
276,404,100
277,100,1402
278,100,672
279,100,578
280,100,1300
281,100,511
282,100,493
283,100,217
284,217,100
285,100,690
286,100,83
287,83,100
288,100,1042
289,100,99
290,99,100
291,100,1088
292,100,1197
293,100,203
294,203,100
295,100,338
296,338,100
297,100,340
298,340,100
299,100,1173
300,100,273
301,273,100
302,100,398
303,398,100
304,100,344
305,344,100
306,100,266
307,266,100
308,100,668
309,100,657
310,100,166
311,166,100
312,100,307
313,307,100
314,100,128
315,128,100
316,100,294
317,294,100
318,100,433
319,433,100
320,100,358
321,358,100
322,100,1407
323,100,434
324,434,100
325,100,80
326,80,100
327,100,1234
328,100,1261
329,100,204
330,204,100
331,100,961
332,100,1386
333,100,502
334,100,484
335,100,1178
336,100,88
337,88,100
338,100,443
339,443,100
340,100,1337
341,100,1283
342,100,929
343,100,205
344,205,100
345,100,712
346,100,156
347,156,100
348,100,517
349,100,90
350,90,100
351,187,307
352,307,187
353,187,429
354,429,187
355,187,977
356,187,437
357,437,187
358,187,368
359,368,187
360,187,868
