#ID,TF,index
0,MYBL2,0
1,GLI1,1
2,NFATC2,2
3,SNRPD1,3
4,TAF1B,4
5,ZIC2,5
6,CREB3L3,6
7,ZBTB16,7
8,ETV4,8
9,NR1H3,9
10,TFE3,10
11,SP100,11
12,TCFL5,12
13,TRIM25,13
14,CDKN1A,14
15,ETV1,15
16,SALL3,16
17,PWP1,17
18,TAF11,18
19,SIRT1,19
20,KLF3,20
21,EIF5B,21
22,PITX2,22
23,SSRP1,23
24,HIST1H1B,24
25,DAB2,25
26,TCEB1,26
27,RUVBL2,27
28,IRF1,28
29,ZNF217,29
30,VEZF1,30
31,MED21,31
32,HIPK2,32
33,HMGXB4,33
34,PDGFA,34
35,EHMT1,35
36,GMEB1,36
37,TAF7,37
38,MED14,38
39,ZNRD1,39
40,MCM4,40
41,NR1I3,41
42,APEX1,42
43,SMAD3,43
44,PTMA,44
45,ADNP,45
46,WDR5,46
47,ILF3,47
48,MYCN,48
49,MEF2C,49
50,ID2,50
51,TGIF1,51
52,ZNF101,52
53,THAP11,53
54,MAFF,54
55,ZNF670,55
56,MAZ,56
57,ZNHIT3,57
58,SP4,58
59,CEBPD,59
60,ZNF398,60
61,MED30,61
62,EOMES,62
63,NONO,63
64,NR2F6,64
65,RFX5,65
66,DDX54,66
67,GATA5,67
68,BCOR,68
69,HDAC1,69
70,PAPOLA,70
71,E2F8,71
72,SUPT16H,72
73,SIRT2,73
74,FXR1,74
75,TRERF1,75
76,DNAJC2,76
77,AFF4,77
78,SRSF10,78
79,TCF19,79
80,PPARA,80
81,KDM4C,81
82,TAF1A,82
83,TBX3,83
84,TCF25,84
85,ZNF91,85
86,MCM7,86
87,LIN28A,87
88,ETS1,88
89,DNMT1,89
90,KHDRBS1,90
91,HNF1B,91
92,MAF,92
93,HDGF,93
94,EHMT2,94
95,COPS2,95
96,TADA3,96
97,NME2,97
98,YEATS4,98
99,GATA4,99
100,MAPK1,100
101,THAP1,101
102,GLI2,102
103,LDB2,103
104,ZBTB24,104
105,ZNF143,105
106,RAD54B,106
107,IVNS1ABP,107
108,RFX6,108
109,RBBP4,109
110,PTTG1,110
111,MCM5,111
112,MEIS3,112
113,ORC2,113
114,SRSF1,114
115,RBM39,115
116,TCEA1,116
117,POLR2L,117
118,NAA15,118
119,SRSF6,119
120,PEG3,120
121,DNMT3B,121
122,HIST1H1C,122
123,SMARCA4,123
124,GTF2H3,124
125,POLR2B,125
126,RAI14,126
127,U2AF1,127
128,FOSL2,128
129,ZNF354A,129
130,PIAS2,130
131,ZNF239,131
132,SSBP2,132
133,RBBP7,133
134,POLR1E,134
135,HIF1AN,135
136,POLR2D,136
137,ZNF107,137
138,PRDM14,138
139,CDX2,139
140,EZH2,140
141,HINFP,141
142,GTF3C4,142
143,RFXANK,143
144,NR2F2,144
145,RNF19A,145
146,SRRM1,146
147,KLF5,147
148,SRF,148
149,TRIM28,149
150,POU5F1,150
151,CDCA7L,151
152,HNRNPK,152
153,JUND,153
154,ELAVL2,154
155,TNFAIP3,155
156,THRB,156
157,PHB2,157
158,MCM2,158
159,JAZF1,159
160,MED20,160
161,ID3,161
162,ABT1,162
163,ZFP64,163
164,RREB1,164
165,TFAP2C,165
166,TP53,166
167,HNRNPR,167
168,ZIC3,168
169,POLR2F,169
170,GTF2F2,170
171,ZSCAN21,171
172,ZNF146,172
173,ZNF208,173
