G0	MYBL2
G1	GLI1
G2	NFATC2
G3	SNRPD1
G4	TAF1B
G5	ZIC2
G6	CREB3L3
G7	ZBTB16
G8	ETV4
G9	NR1H3
G10	TFE3
G11	SP100
G12	TCFL5
G13	TRIM25
G14	CDKN1A
G15	ETV1
G16	SALL3
G17	PWP1
G18	TAF11
G19	SIRT1
G20	KLF3
G21	EIF5B
G22	PITX2
G23	SSRP1
G24	HIST1H1B
G25	DAB2
G26	TCEB1
G27	RUVBL2
G28	IRF1
G29	ZNF217
G30	VEZF1
G31	MED21
G32	HIPK2
G33	HMGXB4
G34	PDGFA
G35	EHMT1
G36	GMEB1
G37	TAF7
G38	MED14
G39	ZNRD1
G40	MCM4
G41	NR1I3
G42	APEX1
G43	SMAD3
G44	PTMA
G45	ADNP
G46	WDR5
G47	ILF3
G48	MYCN
G49	MEF2C
G50	ID2
G51	TGIF1
G52	ZNF101
G53	THAP11
G54	MAFF
G55	ZNF670
G56	MAZ
G57	ZNHIT3
G58	SP4
G59	CEBPD
G60	ZNF398
G61	MED30
G62	EOMES
G63	NONO
G64	NR2F6
G65	RFX5
G66	DDX54
G67	GATA5
G68	BCOR
G69	HDAC1
G70	PAPOLA
G71	E2F8
G72	SUPT16H
G73	SIRT2
G74	FXR1
G75	TRERF1
G76	DNAJC2
G77	AFF4
G78	SRSF10
G79	TCF19
G80	PPARA
G81	KDM4C
G82	TAF1A
G83	TBX3
G84	TCF25
G85	ZNF91
G86	MCM7
G87	LIN28A
G88	ETS1
G89	DNMT1
G90	KHDRBS1
G91	HNF1B
G92	MAF
G93	HDGF
G94	EHMT2
G95	COPS2
G96	TADA3
G97	NME2
G98	YEATS4
G99	GATA4
G100	MAPK1
G101	THAP1
G102	GLI2
G103	LDB2
G104	ZBTB24
G105	ZNF143
G106	RAD54B
G107	IVNS1ABP
G108	RFX6
G109	RBBP4
G110	PTTG1
G111	MCM5
G112	MEIS3
G113	ORC2
G114	SRSF1
G115	RBM39
G116	TCEA1
G117	POLR2L
G118	NAA15
G119	SRSF6
G120	PEG3
G121	DNMT3B
G122	HIST1H1C
G123	SMARCA4
G124	GTF2H3
G125	POLR2B
G126	RAI14
G127	U2AF1
G128	FOSL2
G129	ZNF354A
G130	PIAS2
G131	ZNF239
G132	SSBP2
G133	RBBP7
G134	POLR1E
G135	HIF1AN
G136	POLR2D
G137	ZNF107
G138	PRDM14
G139	CDX2
G140	EZH2
G141	HINFP
G142	GTF3C4
G143	RFXANK
G144	NR2F2
G145	RNF19A
G146	SRRM1
G147	KLF5
G148	SRF
G149	TRIM28
G150	POU5F1
G151	CDCA7L
G152	HNRNPK
G153	JUND
G154	ELAVL2
G155	TNFAIP3
G156	THRB
G157	PHB2
G158	MCM2
G159	JAZF1
G160	MED20
G161	ID3
G162	ABT1
G163	ZFP64
G164	RREB1
G165	TFAP2C
G166	TP53
G167	HNRNPR
G168	ZIC3
G169	POLR2F
G170	GTF2F2
G171	ZSCAN21
G172	ZNF146
G173	ZNF208
G174	GATAD2B
G175	TBPL1
G176	MYCBP
G177	E2F3
G178	ZNF160
G179	HIST1H1E
G180	BMP2
G181	RAD51
G182	ZNF675
G183	LHX1
G184	ZFP36
G185	SOX2
G186	TCF3
G187	XBP1
G188	PLRG1
G189	BPTF
G190	CBX3
G191	EED
G192	PDLIM7
G193	WBP11
G194	SRSF3
G195	NANOG
G196	CENPK
G197	NFKBIZ
G198	DDX20
G199	SUB1
G200	DRAP1
G201	POU2F1
G202	ZBTB3
G203	MYC
G204	CCND1
G205	GABPB1
G206	ZNF644
G207	GTF3C5
G208	MCM6
G209	CREB3L2
G210	NCOA6
G211	POLR2I
G212	FUBP1
G213	GTF2I
G214	BCL11A
G215	TIMELESS
G216	EEF1A1
G217	FOXO1
G218	YBX1
G219	E2F4
G220	SMARCD2
G221	HMGN2
G222	ARID2
G223	AEBP2
G224	ZNF766
G225	E2F7
G226	CHD8
G227	THRAP3
G228	ASCC3
G229	ZNF397
G230	DDB2
G231	TRIP13
G232	OTX2
G233	MCM3
G234	ELL2
G235	TCERG1
G236	PAX6
G237	TOP2B
G238	BMPR1A
G239	AATF
G240	ZNF300
G241	TAF6
G242	HMGB2
G243	FOXA2
G244	SSB
G245	SNAPC1
G246	SCD5
G247	TOPORS
G248	FOXP1
G249	E2F5
G250	ASXL1
G251	TCEB3
G252	CREB3L4
G253	ECD
G254	DDX5
G255	NEIL2
G256	CSRP2
G257	HESX1
G258	PBX1
G259	NPM1
G260	PIAS3
G261	RUVBL1
G262	SALL2
G263	TEAD2
G264	ANKRD1
G265	XRCC5
G266	PA2G4
G267	POLR2G
G268	HIF3A
G269	PCGF6
G270	DNMT3A
G271	MLXIPL
G272	MCM8
G273	JUN
G274	TEAD4
G275	AHR
G276	POLR1C
G277	TRIM27
G278	YAF2
G279	CTBP1
G280	CXXC1
G281	ING1
G282	ZNF589
G283	CSDE1
G284	PMS1
G285	STAT2
G286	JAG1
G287	RNPS1
G288	GTF2H2
G289	NCOA1
G290	XRCC6
G291	PDCD11
G292	ZNF287
G293	GEMIN2
G294	F2
G295	SKIL
G296	RBMX
G297	NUPR1
G298	NFYB
G299	POLR1D
G300	AES
G301	MTF2
G302	SMAD5
G303	TTF2
G304	CEBPZ
G305	PREB
G306	FOXM1
G307	CREB1
G308	HCFC1
G309	KAT7
G310	ZNF74
G311	PSIP1
G312	TBL1X
G313	TAF9B
G314	ETV5
G315	CEBPA
G316	NOTCH3
G317	DAXX
G318	ILF2
G319	IRF9
G320	ELF1
G321	SUV39H2
G322	MED4
G323	ZNF227
G324	TAF5
G325	ZNF581
G326	TFDP2
G327	MMS19
G328	GTF2E1
G329	CNTRL
G330	DOT1L
G331	MYBBP1A
G332	BTF3
G333	ZFHX3
G334	FOSB
G335	AEBP1
G336	ZHX1
G337	CNBP
G338	EGR1
G339	CTDSPL
G340	FHL2
G341	TGIF2
G342	EWSR1
G343	DEK
G344	RARG
G345	ARID3B
G346	POLR3D
G347	REST
G348	CRABP2
G349	PLAGL2
G350	TCEB2
G351	ZNF638
G352	HDAC2
G353	EGFR
G354	ZRANB2
G355	TCOF1
G356	TRIM22
G357	HMGA2
G358	PARP1
G359	UHRF1
G360	BTG1
G361	H1F0
G362	MIS18BP1
G363	TARDBP
G364	ZNF567
G365	FOXA1
G366	COPS5
G367	BCL11B
G368	PRDM1
G369	SOX11
G370	TCF7L1
G371	MXD1
G372	SERTAD3
G373	CNOT7
G374	KNTC1
G375	SNRPB
G376	BRIP1
G377	POLR2K
G378	CHAF1A
G379	GLIS3
G380	PITX1
G381	ING5
G382	TARBP2
G383	ZNF202
G384	RNF2
G385	EYA3
G386	HMGN1
G387	NRIP1
G388	JARID2
G389	SRSF2
G390	MATR3
G391	ERCC8
G392	NSD1
G393	SMARCC1
G394	DEDD
G395	GATA6
G396	HTATSF1
G397	JMJD1C
G398	FOSL1
G399	DR1
G400	BTG2
G401	PAWR
G402	TFDP1
G403	POLR1B
G404	SMAD2
G405	RUNX1T1
G406	RFC1
G407	ZNF33A
G408	TCF4
G409	ENO1
G410	HNRNPUL1
G411	SOX4
G412	PTRF
G413	KLF6
G414	BDP1
G415	IRF3
G416	DPF2
G417	EPAS1
G418	NR5A2
G419	HNRNPAB
G420	BIN1
G421	HNRNPD
G422	NR3C1
G423	SMARCE1
G424	SEC14L2
G425	GTF3C2
G426	HMGA1
G427	HMGN3
G428	ZNF232
G429	ATF3
G430	SSBP3
G431	ESPL1
G432	BRCA2
G433	HNF4A
G434	EGF
G435	ZFP42
G436	SMARCA5
G437	DDIT3
G438	BRCA1
G439	POLR3E
G440	NFIB
G441	GRHL1
G442	RBPJ
G443	CREG1
G444	ING3
G445	SALL4
G446	FOXH1
G447	RNF4
