,TF,Target,Label
0,0,402,1
1,0,259,1
2,0,1068,1
3,0,677,1
4,0,1428,1
5,0,204,1
6,0,306,1
7,0,1181,1
8,0,1249,1
9,0,1444,1
10,0,952,1
11,0,1011,1
12,0,568,1
13,0,109,1
14,0,635,1
15,0,249,1
16,1,69,1
17,1,133,1
18,1,1044,1
19,1,1371,1
20,1,1365,1
21,1,203,1
22,1,109,1
23,2,92,1
24,2,148,1
25,2,99,1
26,2,338,1
27,3,170,1
28,3,687,1
29,3,1191,1
30,3,604,1
31,3,1077,1
32,3,963,1
33,3,768,1
34,3,984,1
35,3,167,1
36,3,267,1
37,3,389,1
38,3,261,1
39,3,318,1
40,3,410,1
41,3,287,1
42,3,997,1
43,3,117,1
44,3,1222,1
45,3,837,1
46,3,152,1
47,3,198,1
48,3,125,1
49,3,1090,1
50,3,146,1
51,3,193,1
52,3,621,1
53,3,421,1
54,3,968,1
55,3,194,1
56,3,235,1
57,3,78,1
58,3,296,1
59,4,412,1
60,4,352,1
61,4,39,1
62,4,331,1
63,4,109,1
64,4,436,1
65,4,94,1
66,4,19,1
67,4,174,1
68,4,134,1
69,4,403,1
70,4,169,1
71,6,1246,1
72,6,209,1
73,6,307,1
74,7,948,1
75,7,890,1
76,7,50,1
77,7,366,1
78,7,888,1
79,7,773,1
80,7,543,1
81,7,970,1
82,7,350,1
83,7,1350,1
84,7,1038,1
85,7,523,1
86,7,703,1
87,7,826,1
88,7,145,1
89,7,910,1
90,8,273,1
91,9,289,1
92,9,1437,1
93,9,19,1
94,9,1394,1
95,9,80,1
96,10,402,1
97,10,43,1
98,11,963,1
99,11,13,1
100,11,415,1
101,11,166,1
102,11,28,1
103,11,1359,1
104,11,656,1
105,11,550,1
106,11,319,1
107,13,415,1
108,13,11,1
109,13,1229,1
110,13,406,1
111,13,508,1
112,13,704,1
113,13,28,1
114,13,591,1
115,14,43,1
116,14,273,1
117,14,751,1
118,14,888,1
119,14,491,1
120,14,177,1
121,14,249,1
122,14,949,1
123,14,1302,1
124,14,1044,1
125,14,1178,1
126,14,1371,1
127,14,204,1
128,14,1068,1
129,14,219,1
130,14,165,1
131,14,864,1
132,14,1380,1
133,14,1011,1
134,14,69,1
135,15,342,1
136,17,1384,1
137,17,1347,1
138,17,614,1
139,17,763,1
140,17,688,1
141,17,788,1
142,17,729,1
143,17,485,1
144,17,1245,1
145,17,331,1
146,17,291,1
147,17,562,1
148,17,700,1
149,17,1191,1
150,17,239,1
151,17,1156,1
152,17,134,1
153,17,609,1
154,17,1186,1
155,17,162,1
156,17,266,1
157,17,304,1
158,18,211,1
159,18,241,1
160,18,267,1
161,18,377,1
162,18,234,1
163,18,169,1
164,18,117,1
165,18,116,1
166,18,124,1
167,18,37,1
168,18,324,1
169,18,752,1
170,18,245,1
171,19,358,1
172,19,140,1
173,19,308,1
174,19,330,1
175,19,758,1
176,19,133,1
177,19,4,1
178,19,94,1
179,19,1317,1
180,19,80,1
181,19,42,1
182,19,867,1
183,19,1380,1
184,19,89,1
185,19,1443,1
186,19,1065,1
187,19,267,1
188,19,217,1
189,19,265,1
190,19,48,1
191,19,121,1
192,19,220,1
193,19,290,1
194,19,69,1
195,21,1432,1
196,21,417,1
197,21,216,1
198,21,1201,1
199,21,838,1
200,21,524,1
201,21,956,1
202,21,922,1
203,22,165,1
204,22,69,1
205,22,653,1
206,23,242,1
207,23,124,1
208,23,125,1
209,23,267,1
210,23,133,1
211,23,208,1
212,23,117,1
213,23,1328,1
214,23,170,1
215,23,109,1
216,23,251,1
217,23,111,1
218,23,725,1
219,23,350,1
220,23,683,1
221,23,77,1
222,23,620,1
223,23,136,1
224,23,40,1
225,23,26,1
226,23,960,1
227,23,748,1
228,23,1182,1
229,24,242,1
230,24,179,1
231,24,191,1
232,24,190,1
233,24,867,1
234,24,357,1
235,25,43,1
236,25,1071,1
237,25,746,1
238,25,353,1
239,25,1164,1
240,26,1229,1
241,26,377,1
242,26,703,1
243,26,95,1
244,26,888,1
245,26,251,1
246,26,909,1
247,26,136,1
248,26,350,1
249,26,23,1
250,26,124,1
251,26,910,1
252,26,77,1
253,26,116,1
254,26,1018,1
255,26,417,1
256,26,861,1
257,26,169,1
258,26,1182,1
259,26,1420,1
260,26,751,1
261,26,1044,1
262,26,1350,1
263,26,366,1
264,26,924,1
265,26,822,1
266,26,170,1
267,26,267,1
268,27,203,1
269,27,308,1
270,27,94,1
271,27,640,1
272,27,828,1
273,27,934,1
274,27,384,1
275,27,37,1
276,27,226,1
277,27,1346,1
278,27,96,1
279,27,1133,1
280,27,1218,1
281,27,600,1
282,27,589,1
283,28,423,1
284,28,69,1
285,28,338,1
